Time (s)	 x(m)	 y(m)	 theta(rad)	 error	 velocidad(m/s)

0.000045	 0.000000	 0.000000	 0.000000	 1.414214	 0.424264
0.010271	 0.000636	 0.000001	 0.002534	 1.413763	 0.424129
0.020468	 0.003054	 0.000018	 0.012161	 1.412043	 0.423613
0.030336	 0.005470	 0.000059	 0.021781	 1.410309	 0.423093
0.040558	 0.010081	 0.000202	 0.040152	 1.406960	 0.422088
0.050313	 0.012992	 0.000335	 0.051753	 1.404818	 0.421446
0.060823	 0.012992	 0.000335	 0.051753	 1.404818	 0.421446
0.070406	 0.015265	 0.000463	 0.060818	 1.403131	 0.420939
0.080596	 0.018711	 0.000696	 0.074571	 1.400548	 0.420165
0.090376	 0.021602	 0.000929	 0.086119	 1.398358	 0.419508
0.100150	 0.021978	 0.000962	 0.087623	 1.398072	 0.419421
0.110211	 0.024735	 0.001219	 0.098647	 1.395961	 0.418788
0.120189	 0.027445	 0.001502	 0.109498	 1.393866	 0.418160
0.130696	 0.027487	 0.001506	 0.109665	 1.393833	 0.418150
0.140370	 0.031434	 0.001972	 0.125488	 1.390748	 0.417224
0.150148	 0.034540	 0.002383	 0.137964	 1.388291	 0.416487
0.160201	 0.037344	 0.002789	 0.149248	 1.386050	 0.415815
0.170232	 0.040551	 0.003292	 0.162171	 1.383463	 0.415039
0.181106	 0.045420	 0.004137	 0.181850	 1.379480	 0.413844
0.190309	 0.048309	 0.004686	 0.193560	 1.377086	 0.413126
0.200475	 0.051266	 0.005284	 0.205572	 1.374611	 0.412383
0.211314	 0.055419	 0.006186	 0.222492	 1.371094	 0.411328
0.220761	 0.057664	 0.006705	 0.231667	 1.369172	 0.410752
0.230311	 0.059104	 0.007049	 0.237563	 1.367932	 0.410379
0.240345	 0.063127	 0.008058	 0.254076	 1.364434	 0.409330
0.250149	 0.066017	 0.008826	 0.265984	 1.361892	 0.408568
0.260164	 0.067988	 0.009372	 0.274125	 1.360144	 0.408043
0.270368	 0.070069	 0.009967	 0.282746	 1.358285	 0.407485
0.280234	 0.075300	 0.011548	 0.304505	 1.353554	 0.406066
