Time (s)	 x(m)	 y(m)	 theta(rad)	 error	 velocidad(m/s)

0.000039	 0.000000	 0.000000	 0.000000	 1.414214	 0.707107
0.010228	 0.000636	 0.000001	 0.002534	 1.413763	 0.706882
0.020386	 0.007564	 0.000113	 0.030123	 1.408795	 0.704397
0.030960	 0.007564	 0.000113	 0.030123	 1.408795	 0.704397
0.040450	 0.014466	 0.000415	 0.057631	 1.403726	 0.701863
0.052627	 0.021967	 0.000959	 0.087577	 1.398081	 0.699041
0.060657	 0.023784	 0.001125	 0.094844	 1.396692	 0.698346
0.070279	 0.024831	 0.001227	 0.099033	 1.395887	 0.697944
0.080390	 0.024831	 0.001227	 0.099033	 1.395887	 0.697944
0.090356	 0.024831	 0.001227	 0.099033	 1.395887	 0.697944
0.100405	 0.024831	 0.001227	 0.099033	 1.395887	 0.697944
0.110256	 0.031075	 0.001925	 0.124048	 1.391032	 0.695516
0.120609	 0.031075	 0.001925	 0.124048	 1.391032	 0.695516
0.130491	 0.031075	 0.001925	 0.124048	 1.391032	 0.695516
0.140350	 0.031075	 0.001925	 0.124048	 1.391032	 0.695516
0.151917	 0.043480	 0.003786	 0.173999	 1.381077	 0.690538
0.160547	 0.043548	 0.003798	 0.174276	 1.381021	 0.690510
0.170422	 0.043548	 0.003798	 0.174276	 1.381021	 0.690510
0.180313	 0.049692	 0.004958	 0.199172	 1.375934	 0.687967
0.190416	 0.049692	 0.004958	 0.199172	 1.375934	 0.687967
0.200343	 0.049692	 0.004958	 0.199172	 1.375934	 0.687967
0.211239	 0.049692	 0.004958	 0.199172	 1.375934	 0.687967
0.220236	 0.061508	 0.007640	 0.247420	 1.365850	 0.682925
0.230215	 0.061508	 0.007640	 0.247420	 1.365850	 0.682925
0.240247	 0.073110	 0.010866	 0.295373	 1.355548	 0.677774
0.251460	 0.079525	 0.012912	 0.322184	 1.349673	 0.674837
0.260366	 0.081450	 0.013563	 0.330278	 1.347884	 0.673942
0.270223	 0.088433	 0.016071	 0.359821	 1.341294	 0.670647
0.280170	 0.095874	 0.019006	 0.391672	 1.334089	 0.667045
0.290188	 0.095874	 0.019006	 0.391672	 1.334089	 0.667045
0.300289	 0.102616	 0.021905	 0.420893	 1.327392	 0.663696
0.310204	 0.109795	 0.025254	 0.452437	 1.320074	 0.660037
0.320219	 0.109795	 0.025254	 0.452437	 1.320074	 0.660037
0.330217	 0.119910	 0.030455	 0.497495	 1.309418	 0.654709
0.340266	 0.119910	 0.030455	 0.497495	 1.309418	 0.654709
0.350629	 0.129369	 0.035852	 0.539554	 1.299069	 0.649534
0.360273	 0.129537	 0.035953	 0.540307	 1.298881	 0.649441
0.370212	 0.136714	 0.040412	 0.571793	 1.290764	 0.645382
0.380287	 0.136714	 0.040412	 0.571793	 1.290764	 0.645382
0.390194	 0.144990	 0.045953	 0.608231	 1.281112	 0.640556
0.400171	 0.144990	 0.045953	 0.608231	 1.281112	 0.640556
0.410202	 0.150941	 0.050213	 0.634274	 1.273969	 0.636985
0.420246	 0.150941	 0.050213	 0.634274	 1.273969	 0.636985
0.430264	 0.156134	 0.054123	 0.656777	 1.267594	 0.633797
0.440269	 0.156134	 0.054123	 0.656777	 1.267594	 0.633797
