t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.004353	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.010119	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.016864	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.024959	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.035681	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.045365	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.055148	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.064878	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.074941	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.085453	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.094876	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.104866	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.116010	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.125420	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.135225	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.145048	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.155739	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.165520	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.175085	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.184950	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.194945	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.204839	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.214882	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.224940	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.234877	0.274855	0.233067	0.117367	0.250000	0.604678	0.016043
0.244835	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
0.255045	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
0.264899	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
0.274976	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
0.284938	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
0.295235	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
0.305064	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
0.315405	0.276533	0.233571	0.109647	0.250000	0.668931	0.018323
