x(i)	y(i)	theta(i)
0.244166	0.251758	-0.260056
0.249686	0.250345	-0.241071
0.255165	0.249053	-0.221916
0.260602	0.247881	-0.202588
0.265996	0.246828	-0.183079
0.271345	0.245892	-0.163386
0.276647	0.245072	-0.143501
0.281901	0.244366	-0.123418
0.287106	0.243774	-0.103129
0.292258	0.243294	-0.082627
0.297358	0.242924	-0.061904
0.302403	0.242664	-0.040951
0.307392	0.242513	-0.019759
0.312323	0.242468	0.001682
0.317194	0.242529	0.023382
0.322005	0.242694	0.045352
0.326753	0.242962	0.067602
0.331436	0.243332	0.090146
0.336054	0.243802	0.112995
0.340604	0.244372	0.136162
0.345085	0.245039	0.159661
0.349496	0.245803	0.183505
0.353834	0.246663	0.207710
0.358098	0.247616	0.232289
0.362287	0.248662	0.257258
0.366399	0.249800	0.282633
0.370432	0.251027	0.308430
0.374385	0.252344	0.334663
0.378256	0.253748	0.361350
0.382044	0.255238	0.388506
0.385747	0.256813	0.416147
0.389362	0.258472	0.444288
0.392890	0.260214	0.472945
0.396328	0.262036	0.502132
0.399674	0.263938	0.531861
0.402927	0.265919	0.562145
0.406085	0.267977	0.592994
0.409147	0.270111	0.624418
0.412112	0.272320	0.656423
0.414976	0.274602	0.689012
0.417740	0.276956	0.722189
0.420401	0.279380	0.755951
0.422958	0.281875	0.790293
0.425408	0.284437	0.825207
0.427752	0.287067	0.860679
0.429986	0.289762	0.896692
0.432109	0.292521	0.933224
0.434120	0.295343	0.970247
0.436018	0.298228	1.007731
0.437799	0.301172	1.045638
0.439464	0.304176	1.083926
0.441010	0.307238	1.122510
0.442437	0.310356	1.160646
0.443747	0.313529	1.197992
0.444941	0.316757	1.234461
0.446023	0.320037	1.269981
0.446993	0.323369	1.304491
0.447855	0.326751	1.337946
0.448610	0.330181	1.370311
0.449260	0.333659	1.401564
0.449807	0.337184	1.431692
0.450254	0.340753	1.460694
0.450602	0.344367	1.488575
0.450853	0.348022	1.515346
0.451010	0.351719	1.541027
0.451075	0.355455	1.565640
0.451050	0.359230	1.589213
0.450936	0.363042	1.611773
0.450736	0.366890	1.633354
0.450453	0.370773	1.653988
0.450087	0.374689	1.673709
0.449641	0.378638	1.692552
0.449117	0.382617	1.710549
0.448518	0.386625	1.727736
0.447845	0.390662	1.744123
0.447101	0.394725	1.759398
0.446290	0.398815	1.773490
0.445417	0.402928	1.786444
0.444484	0.407065	1.798305
0.443497	0.411223	1.809114
0.442460	0.415402	1.818908
0.441377	0.419600	1.827722
0.440251	0.423816	1.835588
0.439087	0.428048	1.842535
0.437889	0.432296	1.848589
0.436662	0.436557	1.853773
0.435408	0.440832	1.858106
0.434133	0.445118	1.861606
0.432841	0.449414	1.864287
0.431535	0.453719	1.866161
0.430220	0.458031	1.867238
0.428900	0.462350	1.867522
0.427579	0.466673	1.867018
0.426261	0.471001	1.865728
0.424951	0.475330	1.863649
0.423651	0.479661	1.860778
0.422367	0.483992	1.857109
0.421103	0.488321	1.852632
0.419862	0.492647	1.847337
0.418650	0.496970	1.841210
0.417469	0.501287	1.834234
0.416324	0.505597	1.826390
0.415219	0.509899	1.817815
0.414156	0.514193	1.809218
0.413134	0.518479	1.800695
0.412152	0.522758	1.792250
0.411209	0.527028	1.783887
0.410305	0.531291	1.775611
0.409439	0.535547	1.767426
0.408611	0.539796	1.759335
0.407819	0.544038	1.751343
0.407063	0.548274	1.743455
0.406342	0.552504	1.735672
0.405656	0.556727	1.728001
0.405004	0.560945	1.720443
0.404385	0.565157	1.713003
0.403798	0.569364	1.705684
0.403243	0.573566	1.698489
0.402720	0.577763	1.691423
0.402226	0.581956	1.684486
0.401762	0.586144	1.677684
0.401328	0.590328	1.671018
0.400921	0.594509	1.664491
0.400542	0.598685	1.658106
0.400190	0.602858	1.651865
0.399864	0.607028	1.645771
0.399564	0.611196	1.639826
0.399288	0.615360	1.634032
0.399036	0.619522	1.628392
0.398808	0.623682	1.622906
0.398602	0.627840	1.617577
0.398418	0.631996	1.612407
0.398256	0.636150	1.607397
0.398114	0.640304	1.602548
0.397992	0.644456	1.597862
0.397889	0.648607	1.593340
0.397804	0.652758	1.588984
0.397738	0.656909	1.584794
0.397688	0.661059	1.580771
0.397655	0.665210	1.576917
0.397637	0.669361	1.573231
0.397634	0.673512	1.569715
0.397646	0.677665	1.566369
0.397671	0.681818	1.563194
0.397709	0.685973	1.560190
0.397759	0.690130	1.557358
0.397820	0.694288	1.554697
0.397892	0.698448	1.552208
0.397975	0.702611	1.549892
0.398066	0.706776	1.547748
0.398166	0.710944	1.545776
0.398275	0.715114	1.543976
0.398390	0.719288	1.542349
0.398512	0.723466	1.540893
0.398640	0.727647	1.539609
0.398773	0.731832	1.538496
0.398910	0.736021	1.537555
0.399051	0.740215	1.536784
0.399195	0.744413	1.536183
0.399342	0.748616	1.535752
0.399490	0.752824	1.535490
0.399639	0.757038	1.535397
0.399788	0.761257	1.535472
0.399937	0.765482	1.535714
0.400085	0.769713	1.536122
0.400231	0.773950	1.536697
0.400374	0.778194	1.537436
0.400514	0.782445	1.538339
0.400650	0.786702	1.539405
0.400781	0.790967	1.540634
0.400907	0.795239	1.542023
0.401027	0.799519	1.543573
0.401141	0.803807	1.545282
0.401246	0.808103	1.547148
0.401344	0.812407	1.549172
0.401432	0.816720	1.551351
0.401511	0.821042	1.553683
0.401580	0.825373	1.556169
0.401638	0.829714	1.558806
0.401684	0.834064	1.561594
0.401718	0.838424	1.564530
0.401739	0.842794	1.567613
0.401746	0.847174	1.570841
0.401738	0.851565	1.574213
0.401715	0.855966	1.577728
0.401677	0.860379	1.581383
0.401622	0.864802	1.585177
0.401549	0.869238	1.589107
0.401459	0.873685	1.593173
0.401350	0.878143	1.597372
0.401221	0.882615	1.601702
0.401072	0.887098	1.606161
0.400903	0.891594	1.610747
0.400712	0.896103	1.615458
0.400499	0.900625	1.620168
0.400265	0.905160	1.624459
0.400012	0.909706	1.628303
0.399742	0.914263	1.631705
0.399457	0.918829	1.634672
0.399158	0.923404	1.637209
0.398848	0.927987	1.639319
0.398529	0.932576	1.641006
0.398203	0.937171	1.642274
0.397871	0.941770	1.643125
0.397537	0.946373	1.643561
0.397201	0.950978	1.643582
0.396866	0.955585	1.643190
0.396533	0.960192	1.642384
0.396206	0.964799	1.641164
0.395885	0.969405	1.639529
0.395572	0.974008	1.637476
0.395271	0.978608	1.635003
0.394982	0.983204	1.632108
0.394707	0.987794	1.628786
0.394450	0.992377	1.625033
0.394211	0.996953	1.620845
0.393992	1.001521	1.616216
0.393797	1.006080	1.611139
0.393625	1.010628	1.605609
0.393481	1.015164	1.599618
0.393365	1.019688	1.593159
0.393279	1.024199	1.586223
0.393227	1.028695	1.578801
0.393208	1.033176	1.570885
0.393226	1.037641	1.562465
0.393283	1.042088	1.553529
0.393380	1.046517	1.544069
