t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.000327	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.001772	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.011113	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.020822	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.031100	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.041325	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.051131	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.060808	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.071022	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.081418	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.090914	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.100885	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.111607	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.121426	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.131154	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.140980	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.150889	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.160782	0.621172	0.190054	1.634287	0.250000	-0.332212	0.006806
0.170709	0.621111	0.190766	1.637662	0.250000	-0.341344	0.006324
0.180971	0.621111	0.190766	1.637662	0.250000	-0.341344	0.006324
0.190718	0.621111	0.190766	1.637662	0.250000	-0.341344	0.006324
0.200750	0.621111	0.190766	1.637662	0.250000	-0.341344	0.006324
0.211207	0.621000	0.193134	1.637747	0.250000	-0.374936	0.004993
0.220806	0.621000	0.193134	1.637747	0.250000	-0.374936	0.004993
0.230743	0.621000	0.193134	1.637747	0.250000	-0.374936	0.004993
0.241500	0.621000	0.193134	1.637747	0.250000	-0.374936	0.004993
0.251209	0.621000	0.193134	1.637747	0.250000	-0.374936	0.004993
0.260839	0.621000	0.193134	1.637747	0.250000	-0.374936	0.004993
0.270768	0.621000	0.193134	1.637747	0.250000	-0.374936	0.004993
