x(i)	y(i)	theta(i)
0.602558	0.206829	1.831453
0.601653	0.210313	1.818173
0.600801	0.213784	1.804650
0.600002	0.217243	1.790887
0.599257	0.220690	1.776884
0.598564	0.224124	1.762644
0.597925	0.227547	1.748167
0.597339	0.230957	1.733457
0.596807	0.234356	1.718516
0.596329	0.237744	1.703350
0.595906	0.241119	1.687962
0.595536	0.244484	1.672357
0.595221	0.247837	1.656541
0.594961	0.251178	1.640520
0.594755	0.254509	1.624300
0.594605	0.257829	1.607891
0.594509	0.261138	1.591298
0.594469	0.264436	1.574532
0.594485	0.267723	1.557602
0.594556	0.271000	1.540517
0.594683	0.274267	1.523288
0.594866	0.277523	1.505927
0.595105	0.280769	1.488444
0.595401	0.284005	1.470852
0.595753	0.287231	1.453163
0.596163	0.290447	1.435391
0.596629	0.293653	1.417548
0.597152	0.296850	1.399648
0.597732	0.300037	1.381705
0.598370	0.303215	1.363732
0.599065	0.306384	1.345744
0.599819	0.309543	1.327755
0.600630	0.312694	1.309779
0.601499	0.315835	1.291831
0.602427	0.318968	1.273923
0.603413	0.322091	1.256069
0.604458	0.325207	1.238284
0.605562	0.328313	1.220580
0.606725	0.331412	1.202970
0.607947	0.334502	1.185466
0.609228	0.337584	1.168081
0.610569	0.340657	1.150826
0.611970	0.343723	1.133712
0.613430	0.346781	1.116749
0.614951	0.349832	1.099947
0.616532	0.352875	1.083315
0.618173	0.355910	1.066862
0.619875	0.358938	1.050596
0.621638	0.361958	1.034524
0.623462	0.364972	1.018653
0.625347	0.367978	1.002989
0.627293	0.370978	0.987537
0.629301	0.373970	0.972303
0.631370	0.376956	0.957290
0.633501	0.379936	0.942502
0.635695	0.382909	0.927943
0.637950	0.385875	0.913615
0.640268	0.388836	0.899519
0.642648	0.391790	0.885658
0.645091	0.394738	0.872033
0.647597	0.397680	0.858727
0.650164	0.400617	0.846459
0.652786	0.403547	0.835346
0.655460	0.406472	0.825339
0.658180	0.409392	0.816391
0.660942	0.412307	0.808461
0.663740	0.415216	0.801513
0.666569	0.418120	0.795517
0.669425	0.421019	0.790447
0.672302	0.423913	0.786281
0.675196	0.426802	0.783003
0.678102	0.429687	0.780600
0.681015	0.432567	0.779063
0.683929	0.435442	0.778390
0.686841	0.438313	0.778580
0.689745	0.441180	0.779639
0.692635	0.444043	0.781576
0.695509	0.446902	0.784404
0.698359	0.449757	0.788142
0.701182	0.452608	0.792814
0.703972	0.455456	0.798448
0.706725	0.458300	0.805077
0.709436	0.461141	0.812742
0.712099	0.463978	0.821488
0.714710	0.466812	0.831366
0.717264	0.469643	0.842436
0.719756	0.472471	0.854763
0.722181	0.475296	0.868421
0.724534	0.478118	0.883492
0.726810	0.480938	0.900064
0.729005	0.483755	0.918238
0.731113	0.486570	0.938120
0.733129	0.489382	0.959826
0.735049	0.492192	0.983481
0.736867	0.495000	1.009216
0.738579	0.497806	1.037168
0.740180	0.500611	1.067478
