t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.003519	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.007708	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.014046	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.024578	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.034358	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.044078	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.056038	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.064554	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.075348	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.084164	0.523773	0.335977	0.081764	0.250000	1.336879	0.060641
0.093992	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.104625	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.114383	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.124095	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.134904	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.144618	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.154304	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.164632	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.175028	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.184626	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.194414	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.204110	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.213959	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.224630	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.234374	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.244218	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.254881	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.264713	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.274217	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.284163	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.294242	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.304708	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.314019	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.324189	0.525487	0.336749	0.078242	0.250000	1.369590	0.062624
0.333930	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.344668	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.355417	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.364237	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.373956	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.384785	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.394511	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.404344	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.413970	0.534943	0.337073	0.094208	0.250000	1.378962	0.064165
0.424790	0.547137	0.336607	0.127496	0.250000	1.430596	0.070390
0.434507	0.547137	0.336607	0.127496	0.250000	1.430596	0.070390
0.444536	0.547137	0.336607	0.127496	0.250000	1.430596	0.070390
0.454006	0.547137	0.336607	0.127496	0.250000	1.430596	0.070390
0.464746	0.565544	0.338954	0.172700	0.250000	1.477995	0.076755
0.474318	0.565544	0.338954	0.172700	0.250000	1.477995	0.076755
0.484258	0.565544	0.338954	0.172700	0.250000	1.477995	0.076755
0.494002	0.565544	0.338954	0.172700	0.250000	1.477995	0.076755
0.504899	0.565544	0.338954	0.172700	0.250000	1.477995	0.076755
0.514070	0.565544	0.338954	0.172700	0.250000	1.477995	0.076755
0.524250	0.565544	0.338954	0.172700	0.250000	1.477995	0.076755
