x(i)	y(i)	theta(i)
0.499774	0.339171	0.365779
0.504167	0.340885	0.378404
0.508478	0.342631	0.391215
0.512710	0.344409	0.404206
0.516864	0.346218	0.417374
0.520940	0.348058	0.430711
0.524941	0.349929	0.444212
0.528866	0.351830	0.457868
0.532718	0.353761	0.471673
0.536497	0.355721	0.485618
0.540204	0.357712	0.499693
0.543841	0.359731	0.513889
0.547409	0.361778	0.528195
0.550910	0.363855	0.542600
0.554343	0.365959	0.557093
0.557710	0.368091	0.571661
0.561013	0.370250	0.586291
0.564253	0.372436	0.600970
0.567430	0.374649	0.615685
0.570547	0.376888	0.630420
0.573603	0.379153	0.645161
0.576601	0.381444	0.659895
0.579541	0.383760	0.674604
0.582425	0.386101	0.689274
0.585253	0.388467	0.703890
0.588027	0.390857	0.718436
0.590748	0.393271	0.732896
0.593418	0.395709	0.747255
0.596036	0.398170	0.761498
0.598606	0.400654	0.775608
0.601126	0.403160	0.789573
0.603600	0.405690	0.803375
0.606028	0.408241	0.817003
0.608410	0.410813	0.830440
0.610749	0.413407	0.843675
0.613045	0.416022	0.856694
0.615300	0.418658	0.869484
0.617515	0.421314	0.882034
0.619690	0.423990	0.894332
0.621828	0.426685	0.906368
0.623928	0.429400	0.918131
0.625993	0.432134	0.929613
0.628024	0.434887	0.940803
0.630021	0.437658	0.951694
0.631986	0.440447	0.962279
0.633920	0.443253	0.972549
0.635824	0.446077	0.982500
0.637699	0.448918	0.992124
0.639547	0.451775	1.001417
0.641368	0.454649	1.010374
0.643164	0.457538	1.018991
0.644936	0.460444	1.027264
0.646685	0.463364	1.035190
0.648412	0.466300	1.042766
0.650118	0.469250	1.049991
0.651805	0.472215	1.056861
0.653474	0.475193	1.063377
0.655125	0.478185	1.069537
0.656760	0.481191	1.075339
0.658381	0.484209	1.080785
0.659988	0.487240	1.085872
0.661582	0.490284	1.090603
0.663165	0.493339	1.095083
0.664736	0.496406	1.099730
0.666294	0.499484	1.104586
0.667839	0.502573	1.109655
0.669369	0.505673	1.114938
0.670883	0.508783	1.120438
0.672381	0.511903	1.126159
0.673861	0.515033	1.132103
0.675322	0.518172	1.138273
0.676763	0.521320	1.144673
0.678183	0.524477	1.151307
0.679582	0.527642	1.158178
0.680958	0.530814	1.165290
0.682309	0.533995	1.172648
0.683636	0.537183	1.180255
0.684936	0.540377	1.188117
0.686210	0.543579	1.196238
0.687456	0.546786	1.204623
0.688673	0.550000	1.212451
0.689869	0.553219	1.216730
0.691059	0.556443	1.217177
0.692256	0.559673	1.213804
0.693474	0.562907	1.206657
0.694728	0.566145	1.195810
0.696030	0.569387	1.181372
0.697395	0.572633	1.163481
0.698837	0.575882	1.142315
0.700369	0.579134	1.118085
0.702006	0.582389	1.091044
0.703762	0.585646	1.061477
0.705650	0.588905	1.029705
0.707681	0.592165	0.998313
