x(i)	y(i)	theta(i)
0.708293	0.159576	2.172929
0.706122	0.162828	2.145718
0.704085	0.166070	2.117726
0.702179	0.169302	2.088971
0.700404	0.172525	2.059481
0.698757	0.175739	2.029290
0.697236	0.178943	1.998442
0.695839	0.182139	1.966985
0.694565	0.185325	1.934975
0.693413	0.188503	1.902479
0.692379	0.191672	1.869567
0.691462	0.194833	1.836315
0.690661	0.197986	1.802808
0.689974	0.201131	1.769130
0.689398	0.204268	1.735373
0.688932	0.207397	1.701627
0.688575	0.210519	1.667985
0.688324	0.213633	1.634536
0.688177	0.216740	1.601370
0.688133	0.219841	1.568570
0.688190	0.222934	1.536216
0.688347	0.226020	1.504383
0.688600	0.229100	1.473138
0.688949	0.232174	1.442541
0.689391	0.235241	1.412646
0.689926	0.238302	1.383498
0.690550	0.241358	1.355136
0.691262	0.244407	1.327589
0.692061	0.247451	1.300882
0.692945	0.250490	1.275033
0.693911	0.253523	1.250051
0.694958	0.256551	1.225942
0.696084	0.259575	1.202708
0.697287	0.262593	1.180345
0.698566	0.265607	1.158844
0.699919	0.268617	1.138196
0.701343	0.271622	1.118387
0.702837	0.274623	1.099400
0.704400	0.277620	1.081220
0.706029	0.280614	1.063827
0.707722	0.283603	1.047201
0.709478	0.286590	1.031322
0.711295	0.289573	1.016170
0.713172	0.292553	1.001722
0.715105	0.295529	0.987959
0.717094	0.298504	0.974859
0.719137	0.301475	0.962401
0.721231	0.304444	0.950567
0.723375	0.307411	0.939336
0.725568	0.310375	0.928690
0.727807	0.313337	0.918610
0.730091	0.316298	0.909079
0.732417	0.319257	0.900080
0.734784	0.322214	0.891597
0.737191	0.325171	0.883615
0.739634	0.328126	0.876120
0.742113	0.331079	0.869097
0.744626	0.334032	0.862535
0.747171	0.336985	0.856421
0.749745	0.339937	0.850744
0.752348	0.342888	0.845494
0.754977	0.345839	0.840653
0.757631	0.348791	0.836212
0.760308	0.351742	0.832161
0.763005	0.354693	0.828494
0.765722	0.357644	0.825202
0.768456	0.360596	0.822281
0.771205	0.363549	0.819724
0.773968	0.366501	0.817526
0.776743	0.369455	0.815684
0.779528	0.372409	0.814192
0.782321	0.375365	0.813050
0.785121	0.378321	0.812253
0.787925	0.381278	0.811800
0.790732	0.384237	0.811690
0.793539	0.387197	0.811922
0.796346	0.390158	0.812496
0.799151	0.393121	0.813413
0.801950	0.396086	0.814674
0.804744	0.399053	0.816280
0.807529	0.402021	0.818234
0.810304	0.404992	0.820538
0.813068	0.407964	0.823197
0.815818	0.410939	0.826213
0.818552	0.413916	0.829593
0.821269	0.416896	0.833341
0.823968	0.419878	0.837462
0.826645	0.422863	0.841965
0.829300	0.425851	0.846855
0.831930	0.428842	0.852142
0.834534	0.431836	0.857832
0.837109	0.434833	0.863936
0.839655	0.437833	0.870463
0.842169	0.440837	0.877425
0.844650	0.443844	0.884831
0.847095	0.446854	0.892695
0.849502	0.449869	0.901028
0.851871	0.452887	0.909845
0.854199	0.455909	0.919159
0.856484	0.458935	0.928984
0.858725	0.461966	0.939337
0.860919	0.465000	0.950234
0.863065	0.468039	0.961690
0.865162	0.471083	0.973723
0.867206	0.474131	0.986350
0.869197	0.477184	0.999590
0.871133	0.480242	1.013461
0.873011	0.483305	1.027982
0.874830	0.486372	1.043170
0.876589	0.489445	1.059045
0.878284	0.492523	1.075624
0.879916	0.495607	1.092926
0.881481	0.498696	1.110967
0.882978	0.501791	1.129764
0.884405	0.504891	1.149331
0.885760	0.507998	1.169680
0.887041	0.511110	1.190823
0.888248	0.514228	1.212768
0.889377	0.517353	1.235037
0.890431	0.520484	1.256776
0.891413	0.523620	1.277925
0.892326	0.526763	1.298442
0.893172	0.529912	1.318286
0.893953	0.533067	1.337424
0.894674	0.536228	1.355824
0.895336	0.539394	1.373459
0.895942	0.542567	1.390305
0.896496	0.545745	1.406341
0.896999	0.548929	1.421551
0.897455	0.552118	1.435921
0.897866	0.555314	1.449439
0.898236	0.558514	1.462096
0.898566	0.561721	1.473886
0.898861	0.564933	1.484804
0.899121	0.568150	1.494848
0.899352	0.571372	1.504016
0.899554	0.574600	1.512308
0.899731	0.577833	1.519724
0.899885	0.581072	1.526266
0.900021	0.584315	1.531937
0.900139	0.587564	1.536740
0.900243	0.590818	1.540677
0.900336	0.594076	1.543752
0.900420	0.597340	1.545968
0.900499	0.600609	1.547330
0.900575	0.603882	1.547840
0.900650	0.607161	1.547504
0.900729	0.610444	1.546323
0.900812	0.613732	1.544303
0.900904	0.617024	1.541447
0.901007	0.620321	1.537759
0.901123	0.623623	1.533242
0.901256	0.626929	1.527902
0.901408	0.630240	1.521742
0.901582	0.633555	1.514767
0.901781	0.636875	1.506984
0.902007	0.640199	1.498397
0.902264	0.643527	1.489014
0.902554	0.646860	1.478843
0.902880	0.650196	1.467892
0.903245	0.653537	1.456172
0.903651	0.656882	1.443695
0.904101	0.660231	1.430473
0.904598	0.663584	1.416522
0.905146	0.666940	1.401858
0.905745	0.670301	1.386501
0.906400	0.673666	1.370472
0.907113	0.677034	1.353793
0.907887	0.680406	1.336492
0.908725	0.683782	1.318595
0.909629	0.687161	1.300135
0.910602	0.690544	1.281143
0.911647	0.693931	1.262245
0.912760	0.697321	1.244999
0.913937	0.700714	1.229443
0.915171	0.704111	1.215527
0.916457	0.707512	1.203205
0.917789	0.710915	1.192434
0.919162	0.714322	1.183174
0.920570	0.717732	1.175389
0.922008	0.721145	1.169049
