t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.006737	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.010944	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.017198	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.027267	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.037217	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.048084	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.057795	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.067543	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.077257	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.087996	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.097753	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.107678	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.117286	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.127968	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.137674	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.147505	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.159095	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.168013	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.177746	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.187547	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.197295	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.208035	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.217822	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.227583	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.237276	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.248103	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.257791	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
0.267536	0.693733	0.151280	1.583504	0.250000	-0.588448	-0.016395
