t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.006886	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.009205	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.017396	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.027462	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.037291	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.048064	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.057919	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.067509	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.078232	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.087953	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.097769	0.605291	0.270811	1.554819	0.250000	-0.028808	-0.004127
0.107544	0.605419	0.270413	1.560682	0.250000	-0.042716	-0.004799
0.118236	0.605419	0.270413	1.560682	0.250000	-0.042716	-0.004799
0.128492	0.605548	0.270015	1.566545	0.250000	-0.056671	-0.005476
0.137726	0.605548	0.270015	1.566545	0.250000	-0.056671	-0.005476
0.147509	0.605548	0.270015	1.566545	0.250000	-0.056671	-0.005476
0.158219	0.605548	0.270015	1.566545	0.250000	-0.056671	-0.005476
0.167998	0.605548	0.270015	1.566545	0.250000	-0.056671	-0.005476
0.177781	0.605548	0.270015	1.566545	0.250000	-0.056671	-0.005476
0.187591	0.605411	0.270994	1.564818	0.250000	-0.053799	-0.005380
0.197300	0.605411	0.270994	1.564818	0.250000	-0.053799	-0.005380
0.208036	0.605411	0.270994	1.564818	0.250000	-0.053799	-0.005380
0.217762	0.605411	0.270994	1.564818	0.250000	-0.053799	-0.005380
0.227631	0.604987	0.273634	1.555933	0.250000	-0.029832	-0.004576
0.237341	0.604987	0.273634	1.555933	0.250000	-0.029832	-0.004576
0.247953	0.604987	0.273634	1.555933	0.250000	-0.029832	-0.004576
0.257418	0.604987	0.273634	1.555933	0.250000	-0.029832	-0.004576
0.267613	0.604987	0.273634	1.555933	0.250000	-0.029832	-0.004576
0.277790	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.288090	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.297432	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.307610	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.317419	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.328111	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.337824	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.347591	0.604458	0.280136	1.550822	0.250000	-0.003987	-0.004278
0.358337	0.604151	0.289480	1.551056	0.250000	0.020472	-0.004279
0.367367	0.604151	0.289480	1.551056	0.250000	0.020472	-0.004279
0.377313	0.604151	0.289480	1.551056	0.250000	0.020472	-0.004279
0.387823	0.604151	0.289480	1.551056	0.250000	0.020472	-0.004279
0.399308	0.604394	0.302268	1.546904	0.250000	0.086599	-0.002528
0.408110	0.604394	0.302268	1.546904	0.250000	0.086599	-0.002528
0.417905	0.604394	0.302268	1.546904	0.250000	0.086599	-0.002528
0.427747	0.604394	0.302268	1.546904	0.250000	0.086599	-0.002528
0.437363	0.604394	0.302268	1.546904	0.250000	0.086599	-0.002528
0.447308	0.604394	0.302268	1.546904	0.250000	0.086599	-0.002528
0.457316	0.604299	0.313508	1.546197	0.250000	0.151132	-0.001014
0.467755	0.604299	0.313508	1.546197	0.250000	0.151132	-0.001014
0.477353	0.604299	0.313508	1.546197	0.250000	0.151132	-0.001014
0.488132	0.604299	0.313508	1.546197	0.250000	0.151132	-0.001014
0.497479	0.604299	0.313508	1.546197	0.250000	0.151132	-0.001014
0.507834	0.604813	0.323609	1.527704	0.250000	0.253891	0.003279
0.517413	0.604813	0.323609	1.527704	0.250000	0.253891	0.003279
0.528111	0.605314	0.334159	1.524407	0.250000	0.333218	0.006214
0.537389	0.605314	0.334159	1.524407	0.250000	0.333218	0.006214
0.547358	0.605314	0.334159	1.524407	0.250000	0.333218	0.006214
0.557337	0.605314	0.334159	1.524407	0.250000	0.333218	0.006214
0.567359	0.605314	0.334159	1.524407	0.250000	0.333218	0.006214
0.577343	0.605314	0.334159	1.524407	0.250000	0.333218	0.006214
0.587719	0.605314	0.334159	1.524407	0.250000	0.333218	0.006214
0.597474	0.605501	0.344911	1.520751	0.250000	0.413327	0.009263
0.608235	0.605501	0.344911	1.520751	0.250000	0.413327	0.009263
0.617311	0.605501	0.344911	1.520751	0.250000	0.413327	0.009263
