x(i)	y(i)	theta(i)
0.596383	0.245700	1.449822
0.596731	0.248554	1.449070
0.597080	0.251396	1.448385
0.597429	0.254227	1.447768
0.597778	0.257047	1.447220
0.598128	0.259856	1.446741
0.598477	0.262654	1.446332
0.598827	0.265441	1.445995
0.599175	0.268218	1.445730
0.599523	0.270983	1.445537
0.599870	0.273738	1.445418
0.600216	0.276482	1.445374
0.600561	0.279215	1.445405
0.600904	0.281938	1.445512
0.601245	0.284650	1.445697
0.601585	0.287352	1.445960
0.601922	0.290043	1.446301
0.602257	0.292724	1.446723
0.602589	0.295394	1.447226
0.602919	0.298055	1.447810
0.603246	0.300705	1.448477
0.603569	0.303345	1.449228
0.603889	0.305974	1.450064
0.604206	0.308594	1.450986
0.604519	0.311203	1.451994
0.604828	0.313803	1.453089
0.605132	0.316393	1.454274
0.605433	0.318973	1.455548
0.605728	0.321543	1.456913
0.606019	0.324103	1.458370
0.606305	0.326653	1.459919
0.606586	0.329194	1.461563
0.606862	0.331726	1.463301
0.607131	0.334247	1.465135
0.607395	0.336760	1.467067
0.607653	0.339262	1.469096
0.607905	0.341756	1.471225
0.608151	0.344240	1.473454
0.608389	0.346715	1.475784
0.608621	0.349180	1.478217
0.608846	0.351637	1.480754
0.609064	0.354084	1.483395
0.609274	0.356522	1.486142
0.609477	0.358951	1.488996
0.609672	0.361371	1.491958
0.609859	0.363783	1.495029
0.610037	0.366185	1.498210
0.610207	0.368579	1.501503
0.610369	0.370963	1.504907
0.610521	0.373340	1.508426
0.610665	0.375707	1.512058
0.610799	0.378066	1.515807
0.610924	0.380416	1.519671
0.611039	0.382758	1.523654
0.611145	0.385091	1.527755
0.611240	0.387416	1.531975
0.611325	0.389733	1.536317
0.611399	0.392041	1.540779
0.611463	0.394342	1.545364
0.611516	0.396634	1.550073
0.611558	0.398917	1.554905
0.611588	0.401193	1.559863
0.611607	0.403461	1.564946
0.611615	0.405721	1.570156
0.611610	0.407973	1.575493
0.611594	0.410217	1.580958
0.611565	0.412453	1.586552
0.611523	0.414681	1.592274
0.611469	0.416902	1.598126
0.611402	0.419115	1.604108
0.611322	0.421320	1.610220
0.611228	0.423518	1.616463
0.611121	0.425709	1.622837
0.611000	0.427892	1.629342
0.610866	0.430067	1.635977
0.610717	0.432235	1.642744
0.610553	0.434396	1.649642
0.610376	0.436550	1.656671
0.610183	0.438697	1.663830
0.609976	0.440836	1.671119
0.609753	0.442969	1.678538
