t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.001818	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.005809	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.014676	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.022389	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.032333	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.042180	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.052806	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.062583	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.072315	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.082223	0.525226	0.207477	1.638422	0.250000	-0.278453	-0.032321
0.092269	0.525190	0.206429	1.642549	0.250000	-0.289731	-0.033009
0.103624	0.525190	0.206429	1.642549	0.250000	-0.289731	-0.033009
0.112404	0.525190	0.206429	1.642549	0.250000	-0.289731	-0.033009
0.122295	0.525154	0.205380	1.646675	0.250000	-0.302398	-0.033835
0.132925	0.525154	0.205380	1.646675	0.250000	-0.302398	-0.033835
0.142376	0.525154	0.205380	1.646675	0.250000	-0.302398	-0.033835
0.152452	0.525154	0.205380	1.646675	0.250000	-0.302398	-0.033835
0.163166	0.525154	0.205380	1.646675	0.250000	-0.302398	-0.033835
0.172254	0.525281	0.206701	1.641673	0.250000	-0.286430	-0.032775
0.182587	0.525281	0.206701	1.641673	0.250000	-0.286430	-0.032775
0.192408	0.525281	0.206701	1.641673	0.250000	-0.286430	-0.032775
0.203134	0.525281	0.206701	1.641673	0.250000	-0.286430	-0.032775
0.212853	0.525281	0.206701	1.641673	0.250000	-0.286430	-0.032775
0.222641	0.525320	0.208845	1.640697	0.250000	-0.280963	-0.032310
0.232347	0.525320	0.208845	1.640697	0.250000	-0.280963	-0.032310
0.242281	0.525320	0.208845	1.640697	0.250000	-0.280963	-0.032310
0.252299	0.525320	0.208845	1.640697	0.250000	-0.280963	-0.032310
0.262299	0.525320	0.208845	1.640697	0.250000	-0.280963	-0.032310
0.272365	0.525952	0.212826	1.636669	0.250000	-0.259610	-0.030565
0.282416	0.525952	0.212826	1.636669	0.250000	-0.259610	-0.030565
0.292328	0.525952	0.212826	1.636669	0.250000	-0.259610	-0.030565
0.302742	0.525952	0.212826	1.636669	0.250000	-0.259610	-0.030565
0.312447	0.525952	0.212826	1.636669	0.250000	-0.259610	-0.030565
0.322239	0.525952	0.212826	1.636669	0.250000	-0.259610	-0.030565
0.332951	0.525952	0.212826	1.636669	0.250000	-0.259610	-0.030565
0.342743	0.525261	0.222477	1.624475	0.250000	-0.226314	-0.028085
0.352328	0.525261	0.222477	1.624475	0.250000	-0.226314	-0.028085
0.362205	0.525261	0.222477	1.624475	0.250000	-0.226314	-0.028085
0.372269	0.525261	0.222477	1.624475	0.250000	-0.226314	-0.028085
0.382680	0.525261	0.222477	1.624475	0.250000	-0.226314	-0.028085
0.392849	0.525261	0.222477	1.624475	0.250000	-0.226314	-0.028085
0.402366	0.525261	0.222477	1.624475	0.250000	-0.226314	-0.028085
0.414988	0.524886	0.236810	1.599825	0.250000	-0.160488	-0.022975
0.422246	0.524886	0.236810	1.599825	0.250000	-0.160488	-0.022975
0.432531	0.524886	0.236810	1.599825	0.250000	-0.160488	-0.022975
0.442314	0.524886	0.236810	1.599825	0.250000	-0.160488	-0.022975
0.452713	0.524886	0.236810	1.599825	0.250000	-0.160488	-0.022975
0.462743	0.524886	0.236810	1.599825	0.250000	-0.160488	-0.022975
