x(i)	y(i)	theta(i)
0.548414	0.200322	1.208679
0.548918	0.201676	1.219855
0.549407	0.203034	1.230937
0.549880	0.204396	1.241920
0.550338	0.205763	1.252803
0.550781	0.207133	1.263581
0.551209	0.208507	1.274253
0.551622	0.209886	1.284815
0.552021	0.211268	1.295265
0.552405	0.212654	1.305600
0.552775	0.214044	1.315819
0.553131	0.215438	1.325919
0.553473	0.216835	1.335898
0.553801	0.218236	1.345755
0.554115	0.219641	1.355487
0.554416	0.221049	1.365094
0.554703	0.222461	1.374574
0.554978	0.223877	1.383925
0.555239	0.225295	1.393147
0.555488	0.226718	1.402238
0.555724	0.228143	1.411198
0.555948	0.229572	1.420026
0.556159	0.231004	1.428722
0.556358	0.232440	1.437284
0.556545	0.233879	1.445712
0.556720	0.235320	1.454006
0.556884	0.236765	1.462167
0.557036	0.238213	1.470192
0.557176	0.239664	1.478083
0.557306	0.241118	1.485840
0.557424	0.242575	1.493462
0.557532	0.244034	1.500950
0.557629	0.245497	1.508304
0.557715	0.246962	1.515524
0.557791	0.248430	1.522611
0.557857	0.249901	1.529565
0.557913	0.251374	1.536387
0.557958	0.252850	1.543076
0.557995	0.254328	1.549635
0.558021	0.255809	1.556062
0.558038	0.257293	1.562359
0.558046	0.258779	1.568527
0.558045	0.260267	1.574566
0.558035	0.261757	1.580477
0.558016	0.263250	1.586261
0.557989	0.264745	1.591917
0.557953	0.266242	1.597449
0.557909	0.267742	1.602855
0.557857	0.269243	1.608137
0.557797	0.270747	1.613296
0.557729	0.272252	1.618332
0.557654	0.273759	1.623246
0.557571	0.275269	1.628040
0.557481	0.276780	1.632714
0.557383	0.278293	1.637268
0.557279	0.279808	1.641704
0.557168	0.281324	1.646023
0.557050	0.282843	1.650225
0.556926	0.284363	1.654312
0.556796	0.285884	1.658283
0.556659	0.287407	1.662140
0.556517	0.288932	1.665884
0.556368	0.290457	1.669515
0.556214	0.291985	1.673034
0.556055	0.293514	1.676443
0.555890	0.295044	1.679740
0.555720	0.296575	1.682929
0.555545	0.298108	1.686008
0.555365	0.299641	1.688980
0.555181	0.301176	1.691843
0.554992	0.302712	1.694600
0.554798	0.304249	1.697251
0.554601	0.305787	1.699796
0.554399	0.307326	1.702236
0.554194	0.308866	1.704571
0.553985	0.310407	1.706803
0.553772	0.311949	1.708931
0.553556	0.313491	1.710957
0.553337	0.315034	1.712880
0.553115	0.316578	1.714701
0.552889	0.318122	1.716421
0.552661	0.319668	1.718040
0.552431	0.321213	1.719558
0.552198	0.322759	1.720976
0.551963	0.324306	1.722294
0.551726	0.325853	1.723512
0.551487	0.327400	1.724631
0.551246	0.328948	1.725650
0.551004	0.330496	1.726571
0.550760	0.332044	1.727393
0.550515	0.333592	1.728117
0.550269	0.335141	1.728743
0.550022	0.336689	1.729270
0.549774	0.338238	1.729699
0.549525	0.339786	1.730031
0.549276	0.341335	1.730264
0.549027	0.342883	1.730400
0.548778	0.344432	1.730438
0.548529	0.345980	1.730377
0.548280	0.347528	1.730219
0.548031	0.349076	1.729963
0.547783	0.350623	1.729609
0.547536	0.352170	1.729156
0.547289	0.353717	1.728606
0.547043	0.355263	1.727956
0.546799	0.356809	1.727208
0.546556	0.358354	1.726361
0.546315	0.359898	1.725414
0.546075	0.361442	1.724368
0.545837	0.362985	1.723222
0.545601	0.364528	1.721976
0.545367	0.366070	1.720629
0.545135	0.367611	1.719181
0.544906	0.369151	1.717632
0.544680	0.370690	1.715981
0.544457	0.372228	1.714227
0.544236	0.373765	1.712371
0.544019	0.375301	1.710411
0.543804	0.376836	1.708348
0.543594	0.378370	1.706180
0.543387	0.379903	1.703907
0.543183	0.381435	1.701529
0.542984	0.382965	1.699044
0.542789	0.384494	1.696452
0.542598	0.386022	1.693753
0.542412	0.387548	1.690945
0.542230	0.389072	1.688028
0.542053	0.390596	1.685002
0.541881	0.392117	1.681865
0.541714	0.393638	1.678616
0.541552	0.395156	1.675255
0.541395	0.396673	1.671782
0.541245	0.398188	1.668194
0.541100	0.399701	1.664492
0.540960	0.401213	1.660674
0.540827	0.402722	1.656739
0.540701	0.404230	1.652688
0.540580	0.405736	1.648518
0.540466	0.407240	1.644229
0.540359	0.408742	1.639819
0.540259	0.410241	1.635289
0.540166	0.411739	1.630637
0.540079	0.413234	1.625861
0.540001	0.414727	1.620962
0.539930	0.416218	1.615938
0.539866	0.417707	1.610788
0.539811	0.419193	1.605511
0.539763	0.420677	1.600106
0.539724	0.422158	1.594573
0.539693	0.423637	1.588911
0.539670	0.425113	1.583117
0.539657	0.426587	1.577193
0.539652	0.428058	1.571136
0.539656	0.429526	1.564946
0.539669	0.430992	1.558623
0.539691	0.432455	1.552164
0.539723	0.433915	1.545570
0.539765	0.435372	1.538840
0.539816	0.436827	1.531973
0.539878	0.438278	1.524968
0.539950	0.439726	1.517826
0.540031	0.441172	1.510544
0.540124	0.442614	1.503124
0.540227	0.444053	1.495564
0.540341	0.445489	1.487864
0.540465	0.446922	1.480024
0.540601	0.448351	1.472043
0.540748	0.449777	1.463922
0.540907	0.451200	1.455660
0.541077	0.452620	1.447258
0.541259	0.454036	1.438715
0.541453	0.455448	1.430032
0.541659	0.456857	1.421210
0.541877	0.458262	1.412248
0.542108	0.459664	1.403147
0.542351	0.461062	1.393908
0.542607	0.462456	1.384532
0.542876	0.463847	1.375019
0.543158	0.465233	1.365371
0.543453	0.466616	1.355589
0.543761	0.467995	1.345675
0.544084	0.469370	1.335629
0.544419	0.470741	1.325454
0.544769	0.472108	1.315151
0.545133	0.473471	1.304723
0.545511	0.474830	1.294171
0.545903	0.476184	1.283497
0.546310	0.477535	1.272705
0.546732	0.478881	1.261797
0.547168	0.480222	1.250776
0.547620	0.481560	1.239644
0.548087	0.482893	1.228405
0.548569	0.484221	1.217062
0.549066	0.485545	1.205618
