t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.006288	0.694486	0.170395	1.625820	0.250000	-0.052099	-0.007755
0.006760	0.694486	0.170395	1.625820	0.250000	-0.052099	-0.007755
0.017092	0.694486	0.170395	1.625820	0.250000	-0.052099	-0.007755
0.026831	0.694486	0.170395	1.625820	0.250000	-0.052099	-0.007755
0.037677	0.694486	0.170395	1.625820	0.250000	-0.052099	-0.007755
0.046982	0.694486	0.170395	1.625820	0.250000	-0.052099	-0.007755
0.057980	0.694486	0.170395	1.625820	0.250000	-0.052099	-0.007755
0.066781	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.076849	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.087413	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.098927	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.106833	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.117263	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.127418	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.137116	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.146855	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.157628	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.167358	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.177113	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.186851	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.197593	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.207350	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.217117	0.695497	0.169485	1.621398	0.250000	-0.029045	-0.006192
0.226807	0.694479	0.171549	1.625837	0.250000	-0.055071	-0.007564
0.236806	0.694479	0.171549	1.625837	0.250000	-0.055071	-0.007564
0.246820	0.694479	0.171549	1.625837	0.250000	-0.055071	-0.007564
0.257163	0.694479	0.171549	1.625837	0.250000	-0.055071	-0.007564
0.266824	0.694479	0.171549	1.625837	0.250000	-0.055071	-0.007564
0.277498	0.694479	0.171549	1.625837	0.250000	-0.055071	-0.007564
0.287141	0.694450	0.176159	1.625906	0.250000	-0.057132	-0.007232
0.297206	0.694450	0.176159	1.625906	0.250000	-0.057132	-0.007232
0.306897	0.694450	0.176159	1.625906	0.250000	-0.057132	-0.007232
0.317055	0.694450	0.176159	1.625906	0.250000	-0.057132	-0.007232
0.326846	0.694450	0.176159	1.625906	0.250000	-0.057132	-0.007232
0.337114	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.346902	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.356768	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.366811	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.376863	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.386938	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.396808	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.408698	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.417162	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.426940	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.437829	0.694405	0.183072	1.626013	0.250000	-0.065537	-0.006749
0.448034	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.457258	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.466838	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.476846	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.487473	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.497225	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.507132	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.518017	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.527464	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.537288	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.547041	0.694169	0.198305	1.622928	0.250000	-0.087821	-0.005755
0.556907	0.692291	0.215740	1.614981	0.250000	-0.153464	-0.006480
0.567558	0.692291	0.215740	1.614981	0.250000	-0.153464	-0.006480
0.577182	0.692291	0.215740	1.614981	0.250000	-0.153464	-0.006480
0.586995	0.692291	0.215740	1.614981	0.250000	-0.153464	-0.006480
0.597445	0.692291	0.215740	1.614981	0.250000	-0.153464	-0.006480
0.606838	0.692291	0.215740	1.614981	0.250000	-0.153464	-0.006480
0.618223	0.692291	0.215740	1.614981	0.250000	-0.153464	-0.006480
0.626800	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.636889	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.647596	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.657201	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.667053	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.676780	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.687578	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.697311	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.707199	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.716817	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.727538	0.690177	0.239284	1.611156	0.250000	-0.304924	-0.010037
0.737260	0.688140	0.261762	1.607562	0.250000	-0.483552	-0.016001
0.746989	0.688140	0.261762	1.607562	0.250000	-0.483552	-0.016001
0.756835	0.688140	0.261762	1.607562	0.250000	-0.483552	-0.016001
0.766789	0.688140	0.261762	1.607562	0.250000	-0.483552	-0.016001
0.777335	0.688140	0.261762	1.607562	0.250000	-0.483552	-0.016001
0.787040	0.687095	0.284493	1.599426	0.250000	-0.629488	-0.021460
0.796895	0.687095	0.284493	1.599426	0.250000	-0.629488	-0.021460
0.807862	0.687095	0.284493	1.599426	0.250000	-0.629488	-0.021460
0.817382	0.687095	0.284493	1.599426	0.250000	-0.629488	-0.021460
0.826862	0.687095	0.284493	1.599426	0.250000	-0.629488	-0.021460
0.836843	0.687095	0.284493	1.599426	0.250000	-0.629488	-0.021460
0.846778	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.857388	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.867393	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.876993	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.886889	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.897372	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.907169	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.916914	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.926817	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.937474	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.946861	0.686460	0.304951	1.579986	0.250000	-0.725699	-0.025456
0.956877	0.686741	0.324807	1.555037	0.250000	-0.834141	-0.030630
0.967050	0.686741	0.324807	1.555037	0.250000	-0.834141	-0.030630
0.977616	0.686741	0.324807	1.555037	0.250000	-0.834141	-0.030630
0.986867	0.686741	0.324807	1.555037	0.250000	-0.834141	-0.030630
0.996909	0.686741	0.324807	1.555037	0.250000	-0.834141	-0.030630
1.006844	0.686741	0.324807	1.555037	0.250000	-0.834141	-0.030630
1.017409	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.028246	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.036970	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.046896	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.057577	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.067297	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.077103	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.086819	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.097456	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.107206	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.116927	0.687362	0.343358	1.521827	0.250000	-0.897111	-0.034351
1.126667	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.137442	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.147166	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.156981	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.166798	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.177557	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.187251	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.196791	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.206825	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.217509	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.227266	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.237009	0.689456	0.366351	1.469462	0.250000	-0.938132	-0.037666
1.246807	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.257537	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.267318	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.277047	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.286819	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.297509	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.307316	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.317062	0.691340	0.386253	1.415730	0.250000	-0.979623	-0.042294
1.326754	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.337549	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.346978	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.357419	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.366833	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.377668	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.387302	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.397096	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.408639	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.417032	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.426804	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.437104	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.446885	0.694612	0.407409	1.361224	0.250000	-0.987529	-0.045250
1.456790	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.466805	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.477140	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.487227	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.497619	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.507539	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.517177	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.526925	0.698869	0.426950	1.320259	0.250000	-1.013851	-0.049526
1.536856	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.547416	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.557153	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.566897	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.577667	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.587433	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.597210	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.607125	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.617647	0.703344	0.447174	1.265019	0.250000	-1.030641	-0.054774
1.627403	0.710225	0.468587	1.218281	0.250000	-1.028129	-0.058188
1.637191	0.710225	0.468587	1.218281	0.250000	-1.028129	-0.058188
1.646961	0.710225	0.468587	1.218281	0.250000	-1.028129	-0.058188
