x(i)	y(i)	theta(i)
0.699837	0.147260	1.407927
0.700509	0.151560	1.423603
0.701111	0.155844	1.438924
0.701644	0.160114	1.453877
0.702113	0.164369	1.468446
0.702518	0.168609	1.482620
0.702862	0.172834	1.496385
0.703147	0.177043	1.509730
0.703376	0.181236	1.522644
0.703551	0.185415	1.535117
0.703675	0.189577	1.547141
0.703749	0.193723	1.558707
0.703776	0.197853	1.569807
0.703758	0.201967	1.580433
0.703697	0.206064	1.590579
0.703597	0.210145	1.600239
0.703458	0.214209	1.609406
0.703284	0.218256	1.618075
0.703077	0.222286	1.626241
0.702838	0.226299	1.633897
0.702571	0.230295	1.641040
0.702278	0.234273	1.647663
0.701961	0.238233	1.653762
0.701622	0.242176	1.659331
0.701263	0.246101	1.664366
0.700888	0.250008	1.668860
0.700497	0.253896	1.672808
0.700094	0.257766	1.676203
0.699681	0.261618	1.679040
0.699260	0.265451	1.681311
0.698833	0.269265	1.683009
0.698403	0.273060	1.684127
0.697972	0.276836	1.684656
0.697542	0.280593	1.684588
0.697116	0.284330	1.683913
0.696696	0.288048	1.682621
0.696284	0.291746	1.680701
0.695883	0.295424	1.678143
0.695495	0.299082	1.674935
0.695121	0.302720	1.671064
0.694765	0.306337	1.666516
0.694429	0.309935	1.661280
0.694115	0.313511	1.655339
0.693826	0.317067	1.648680
0.693563	0.320602	1.641288
0.693329	0.324115	1.633145
0.693126	0.327608	1.624238
0.692957	0.331079	1.614549
0.692824	0.334529	1.604062
0.692729	0.337956	1.592762
0.692675	0.341363	1.580633
0.692663	0.344747	1.567660
0.692696	0.348109	1.553828
0.692777	0.351449	1.539126
0.692908	0.354766	1.523540
0.693091	0.358061	1.507381
0.693325	0.361333	1.491165
0.693611	0.364584	1.474915
0.693948	0.367814	1.458645
0.694336	0.371023	1.442368
0.694774	0.374211	1.426101
0.695262	0.377380	1.409857
0.695800	0.380529	1.393652
0.696386	0.383659	1.377500
0.697021	0.386771	1.361416
0.697704	0.389864	1.345414
0.698436	0.392940	1.329509
0.699214	0.395999	1.313714
0.700039	0.399041	1.298043
0.700911	0.402067	1.282508
0.701829	0.405077	1.267123
0.702793	0.408071	1.251900
0.703801	0.411051	1.236850
0.704855	0.414016	1.221985
0.705953	0.416968	1.207313
0.707095	0.419906	1.192847
0.708280	0.422831	1.178593
0.709509	0.425743	1.164562
0.710781	0.428643	1.150760
0.712094	0.431531	1.137196
0.713450	0.434409	1.123874
0.714847	0.437275	1.110802
0.716285	0.440131	1.097985
0.717763	0.442977	1.085426
0.719282	0.445814	1.073131
0.720841	0.448642	1.061102
0.722439	0.451462	1.049343
0.724075	0.454273	1.037855
0.725751	0.457077	1.026640
0.727464	0.459874	1.015700
0.729215	0.462664	1.005035
0.731003	0.465448	0.994647
0.732828	0.468226	0.984534
0.734690	0.470999	0.974696
0.736587	0.473767	0.965133
0.738520	0.476531	0.955844
0.740489	0.479291	0.946827
0.742491	0.482047	0.938080
0.744529	0.484801	0.929602
0.746600	0.487551	0.921390
0.748704	0.490300	0.913443
0.750841	0.493047	0.905757
0.753011	0.495793	0.898330
0.755214	0.498539	0.891158
0.757448	0.501284	0.884241
0.759713	0.504029	0.877573
0.762009	0.506775	0.871152
0.764336	0.509522	0.864974
0.766693	0.512270	0.859038
0.769079	0.515021	0.853338
0.771495	0.517774	0.847871
0.773939	0.520530	0.842636
0.776412	0.523289	0.837626
0.778913	0.526053	0.832841
0.781441	0.528820	0.828275
0.783997	0.531593	0.823926
0.786579	0.534370	0.819790
0.789188	0.537153	0.815864
0.791822	0.539943	0.812144
0.794482	0.542739	0.808628
0.797167	0.545542	0.805331
0.799875	0.548352	0.802353
0.802606	0.551170	0.799703
0.805358	0.553995	0.797373
0.808129	0.556827	0.795356
0.810917	0.559666	0.793646
0.813720	0.562512	0.792238
0.816538	0.565365	0.791127
0.819368	0.568226	0.790309
