t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.004827	0.268891	0.232310	0.076942	0.250000	0.658951	0.019843
0.012052	0.268891	0.232310	0.076942	0.250000	0.658951	0.019843
0.016212	0.268891	0.232310	0.076942	0.250000	0.658951	0.019843
0.025376	0.268891	0.232310	0.076942	0.250000	0.658951	0.019843
0.035824	0.268891	0.232310	0.076942	0.250000	0.658951	0.019843
0.045450	0.268891	0.232310	0.076942	0.250000	0.658951	0.019843
0.056290	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.065937	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.075720	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.085458	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.096212	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.105959	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.115715	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.125476	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.136206	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.146000	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.155716	0.270275	0.232606	0.076661	0.250000	0.657490	0.019690
0.165469	0.270457	0.231835	0.070773	0.250000	0.680756	0.021225
0.176234	0.270457	0.231835	0.070773	0.250000	0.680756	0.021225
0.185385	0.270457	0.231835	0.070773	0.250000	0.680756	0.021225
0.195666	0.270457	0.231835	0.070773	0.250000	0.680756	0.021225
0.205387	0.270457	0.231835	0.070773	0.250000	0.680756	0.021225
0.215338	0.270457	0.231835	0.070773	0.250000	0.680756	0.021225
0.225986	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.235840	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.245550	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.256299	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.265977	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.275781	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.285446	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.295447	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.306018	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.315841	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.325552	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.335473	0.271966	0.231462	0.065229	0.250000	0.699524	0.022403
0.345327	0.279387	0.232033	0.083220	0.250000	0.753780	0.023499
0.355813	0.279387	0.232033	0.083220	0.250000	0.753780	0.023499
0.365540	0.279387	0.232033	0.083220	0.250000	0.753780	0.023499
0.375326	0.279387	0.232033	0.083220	0.250000	0.753780	0.023499
0.385392	0.279387	0.232033	0.083220	0.250000	0.753780	0.023499
0.395750	0.287734	0.233541	0.113652	0.250000	0.775204	0.022565
0.405391	0.287734	0.233541	0.113652	0.250000	0.775204	0.022565
0.415414	0.287734	0.233541	0.113652	0.250000	0.775204	0.022565
0.426331	0.287734	0.233541	0.113652	0.250000	0.775204	0.022565
0.435848	0.287734	0.233541	0.113652	0.250000	0.775204	0.022565
0.445590	0.287734	0.233541	0.113652	0.250000	0.775204	0.022565
0.455588	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.466037	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.475924	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.485572	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.495357	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.506080	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.516064	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.525625	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.535399	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.546176	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.555878	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.565652	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.575366	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.586197	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.596723	0.303999	0.236375	0.157302	0.250000	0.881715	0.024240
0.605635	0.323159	0.240233	0.206249	0.250000	0.999441	0.026602
0.615527	0.323159	0.240233	0.206249	0.250000	0.999441	0.026602
0.625368	0.323159	0.240233	0.206249	0.250000	0.999441	0.026602
0.635985	0.323159	0.240233	0.206249	0.250000	0.999441	0.026602
0.645923	0.323159	0.240233	0.206249	0.250000	0.999441	0.026602
0.655537	0.323159	0.240233	0.206249	0.250000	0.999441	0.026602
0.665346	0.342786	0.245087	0.267121	0.250000	1.113594	0.029017
0.675911	0.342786	0.245087	0.267121	0.250000	1.113594	0.029017
0.685686	0.342786	0.245087	0.267121	0.250000	1.113594	0.029017
0.695462	0.342786	0.245087	0.267121	0.250000	1.113594	0.029017
0.706170	0.342786	0.245087	0.267121	0.250000	1.113594	0.029017
0.715998	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.725710	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.735588	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.745436	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.755971	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.765850	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.775650	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.786234	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.795959	0.367145	0.250440	0.323326	0.250000	1.277204	0.035482
0.805310	0.388148	0.256746	0.376858	0.250000	1.378003	0.040293
0.815521	0.388148	0.256746	0.376858	0.250000	1.378003	0.040293
0.826229	0.388148	0.256746	0.376858	0.250000	1.378003	0.040293
0.836080	0.388148	0.256746	0.376858	0.250000	1.378003	0.040293
0.845765	0.388148	0.256746	0.376858	0.250000	1.378003	0.040293
0.855644	0.388148	0.256746	0.376858	0.250000	1.378003	0.040293
0.865312	0.407457	0.263478	0.415263	0.250000	1.503033	0.047353
0.876035	0.407457	0.263478	0.415263	0.250000	1.503033	0.047353
0.885696	0.407457	0.263478	0.415263	0.250000	1.503033	0.047353
0.895605	0.407457	0.263478	0.415263	0.250000	1.503033	0.047353
0.906260	0.407457	0.263478	0.415263	0.250000	1.503033	0.047353
0.915635	0.407457	0.263478	0.415263	0.250000	1.503033	0.047353
0.926092	0.421401	0.271069	0.456417	0.250000	1.543244	0.049835
