t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.000337	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.010887	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.011337	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.021048	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.031304	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.041065	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.050835	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.060770	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.070762	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.080929	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.090879	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.103624	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.111402	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.121140	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.130893	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.141625	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.150806	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.161186	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.170797	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.181630	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.191375	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.201142	0.614341	0.263664	1.551985	0.250000	0.804497	0.027677
0.210958	0.614682	0.265080	1.556397	0.250000	0.829104	0.029054
0.221671	0.614682	0.265080	1.556397	0.250000	0.829104	0.029054
0.231424	0.614682	0.265080	1.556397	0.250000	0.829104	0.029054
0.241190	0.614682	0.265080	1.556397	0.250000	0.829104	0.029054
0.250902	0.614682	0.265080	1.556397	0.250000	0.829104	0.029054
0.260787	0.614682	0.265080	1.556397	0.250000	0.829104	0.029054
0.270832	0.614682	0.265080	1.556397	0.250000	0.829104	0.029054
0.280807	0.614328	0.269494	1.569446	0.250000	0.825874	0.028692
0.291064	0.614328	0.269494	1.569446	0.250000	0.825874	0.028692
0.300827	0.614328	0.269494	1.569446	0.250000	0.825874	0.028692
0.311410	0.614328	0.269494	1.569446	0.250000	0.825874	0.028692
0.321211	0.613826	0.277909	1.600041	0.250000	0.812245	0.027863
0.330937	0.613826	0.277909	1.600041	0.250000	0.812245	0.027863
0.340663	0.613826	0.277909	1.600041	0.250000	0.812245	0.027863
0.351510	0.612343	0.287024	1.634461	0.250000	0.809861	0.027572
0.361213	0.612343	0.287024	1.634461	0.250000	0.809861	0.027572
0.370946	0.612343	0.287024	1.634461	0.250000	0.809861	0.027572
0.383528	0.611454	0.295245	1.660661	0.250000	0.831436	0.029133
0.390790	0.611454	0.295245	1.660661	0.250000	0.831436	0.029133
0.401217	0.611454	0.295245	1.660661	0.250000	0.831436	0.029133
0.410993	0.611454	0.295245	1.660661	0.250000	0.831436	0.029133
0.420776	0.611454	0.295245	1.660661	0.250000	0.831436	0.029133
0.431499	0.611454	0.295245	1.660661	0.250000	0.831436	0.029133
0.441302	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.451078	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.460817	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.471584	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.481408	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.491290	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.500797	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.510764	0.610070	0.301583	1.677587	0.250000	0.811805	0.028002
0.521315	0.607942	0.310063	1.704634	0.250000	0.817856	0.028684
0.530795	0.607942	0.310063	1.704634	0.250000	0.817856	0.028684
0.541897	0.607942	0.310063	1.704634	0.250000	0.817856	0.028684
0.551747	0.605069	0.320468	1.744316	0.250000	0.788844	0.027624
0.561432	0.605069	0.320468	1.744316	0.250000	0.788844	0.027624
0.571152	0.605069	0.320468	1.744316	0.250000	0.788844	0.027624
0.581018	0.605069	0.320468	1.744316	0.250000	0.788844	0.027624
0.591600	0.602091	0.330917	1.785776	0.250000	0.777069	0.028144
0.601374	0.602091	0.330917	1.785776	0.250000	0.777069	0.028144
0.611088	0.602091	0.330917	1.785776	0.250000	0.777069	0.028144
0.620861	0.602091	0.330917	1.785776	0.250000	0.777069	0.028144
0.630743	0.599810	0.339258	1.817708	0.250000	0.742710	0.027019
0.642340	0.599810	0.339258	1.817708	0.250000	0.742710	0.027019
0.651234	0.599810	0.339258	1.817708	0.250000	0.742710	0.027019
0.660923	0.599810	0.339258	1.817708	0.250000	0.742710	0.027019
0.671803	0.597771	0.345673	1.836647	0.250000	0.736030	0.027390
0.681447	0.597771	0.345673	1.836647	0.250000	0.736030	0.027390
0.691169	0.597771	0.345673	1.836647	0.250000	0.736030	0.027390
0.700909	0.597771	0.345673	1.836647	0.250000	0.736030	0.027390
0.711650	0.597771	0.345673	1.836647	0.250000	0.736030	0.027390
0.721406	0.597771	0.345673	1.836647	0.250000	0.736030	0.027390
0.731260	0.594974	0.354547	1.865837	0.250000	0.722750	0.027972
0.740953	0.594974	0.354547	1.865837	0.250000	0.722750	0.027972
0.750815	0.594974	0.354547	1.865837	0.250000	0.722750	0.027972
0.760774	0.594974	0.354547	1.865837	0.250000	0.722750	0.027972
0.771186	0.594974	0.354547	1.865837	0.250000	0.722750	0.027972
0.780827	0.594974	0.354547	1.865837	0.250000	0.722750	0.027972
0.791665	0.594974	0.354547	1.865837	0.250000	0.722750	0.027972
0.801387	0.590597	0.365223	1.899553	0.250000	0.685767	0.027074
0.811254	0.590597	0.365223	1.899553	0.250000	0.685767	0.027074
0.820951	0.590597	0.365223	1.899553	0.250000	0.685767	0.027074
0.830772	0.590597	0.365223	1.899553	0.250000	0.685767	0.027074
0.840779	0.585769	0.376338	1.937558	0.250000	0.633581	0.025469
0.850776	0.585769	0.376338	1.937558	0.250000	0.633581	0.025469
0.860854	0.585769	0.376338	1.937558	0.250000	0.633581	0.025469
0.870798	0.585769	0.376338	1.937558	0.250000	0.633581	0.025469
0.880908	0.585769	0.376338	1.937558	0.250000	0.633581	0.025469
0.891365	0.585769	0.376338	1.937558	0.250000	0.633581	0.025469
0.901006	0.585769	0.376338	1.937558	0.250000	0.633581	0.025469
0.910716	0.579647	0.387019	1.964437	0.250000	0.602893	0.025151
0.921487	0.579647	0.387019	1.964437	0.250000	0.602893	0.025151
0.931242	0.579647	0.387019	1.964437	0.250000	0.602893	0.025151
0.940973	0.579647	0.387019	1.964437	0.250000	0.602893	0.025151
0.950715	0.579647	0.387019	1.964437	0.250000	0.602893	0.025151
0.961565	0.579647	0.387019	1.964437	0.250000	0.602893	0.025151
0.971307	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
0.981023	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
0.990801	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
1.001545	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
1.011321	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
1.021012	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
1.030813	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
1.040799	0.573773	0.397927	1.999875	0.250000	0.547158	0.023835
1.050771	0.566260	0.410479	2.041483	0.250000	0.458459	0.020641
1.060883	0.566260	0.410479	2.041483	0.250000	0.458459	0.020641
1.070790	0.566260	0.410479	2.041483	0.250000	0.458459	0.020641
1.080742	0.566260	0.410479	2.041483	0.250000	0.458459	0.020641
1.091299	0.558853	0.421686	2.088016	0.250000	0.341030	0.015937
1.100780	0.558853	0.421686	2.088016	0.250000	0.341030	0.015937
1.110794	0.558853	0.421686	2.088016	0.250000	0.341030	0.015937
1.121539	0.558853	0.421686	2.088016	0.250000	0.341030	0.015937
1.131432	0.551692	0.431055	2.119393	0.250000	0.243598	0.011714
1.141139	0.551692	0.431055	2.119393	0.250000	0.243598	0.011714
1.150859	0.551692	0.431055	2.119393	0.250000	0.243598	0.011714
