x(i)	y(i)	theta(i)
0.596379	0.257974	1.175016
0.597809	0.261511	1.198190
0.599137	0.265029	1.221718
0.600365	0.268530	1.245575
0.601493	0.272014	1.269732
0.602523	0.275481	1.294160
0.603457	0.278931	1.318827
0.604296	0.282365	1.343698
0.605041	0.285782	1.368736
0.605693	0.289183	1.393903
0.606254	0.292569	1.419160
0.606726	0.295939	1.444465
0.607109	0.299294	1.469779
0.607405	0.302634	1.495058
0.607615	0.305959	1.520262
0.607741	0.309269	1.545349
0.607784	0.312566	1.570278
0.607745	0.315848	1.595011
0.607625	0.319117	1.619509
0.607427	0.322372	1.643736
0.607151	0.325613	1.667657
0.606799	0.328842	1.691240
0.606372	0.332058	1.714456
0.605871	0.335261	1.737276
0.605298	0.338452	1.759677
0.604654	0.341631	1.781635
0.603940	0.344798	1.803131
0.603158	0.347954	1.824148
0.602309	0.351099	1.844670
0.601395	0.354232	1.864687
0.600416	0.357354	1.884188
0.599375	0.360466	1.903165
0.598272	0.363568	1.921613
0.597109	0.366660	1.939528
0.595887	0.369742	1.956907
0.594608	0.372814	1.973752
0.593272	0.375877	1.990063
0.591882	0.378931	2.005842
0.590438	0.381976	2.021093
0.588942	0.385012	2.035821
0.587396	0.388040	2.050030
0.585800	0.391060	2.063728
0.584156	0.394073	2.076921
0.582465	0.397077	2.089616
0.580729	0.400075	2.101821
0.578949	0.403065	2.113544
0.577127	0.406048	2.124793
0.575263	0.409025	2.135577
0.573359	0.411996	2.145905
0.571416	0.414960	2.155783
0.569437	0.417919	2.165222
0.567421	0.420872	2.174230
0.565370	0.423819	2.182814
0.563287	0.426762	2.190982
0.561171	0.429699	2.198744
0.559025	0.432632	2.206105
0.556850	0.435561	2.213074
0.554647	0.438486	2.219658
0.552418	0.441406	2.225864
0.550163	0.444323	2.231697
0.547885	0.447237	2.237144
0.545584	0.450148	2.242204
0.543262	0.453055	2.246883
0.540921	0.455960	2.251187
0.538563	0.458863	2.255120
0.536187	0.461764	2.258687
0.533797	0.464662	2.261894
0.531394	0.467559	2.264744
0.528978	0.470455	2.267241
0.526553	0.473349	2.269388
0.524118	0.476243	2.271187
0.521675	0.479136	2.272642
0.519227	0.482029	2.273754
0.516774	0.484921	2.274524
0.514318	0.487813	2.274955
0.511860	0.490706	2.275045
0.509403	0.493600	2.274797
0.506946	0.496494	2.274209
0.504493	0.499389	2.273281
0.502044	0.502286	2.272013
0.499600	0.505184	2.270402
0.497164	0.508084	2.268448
0.494737	0.510987	2.266147
0.492320	0.513891	2.263498
0.489914	0.516798	2.260497
0.487522	0.519708	2.257141
0.485145	0.522621	2.253427
0.482783	0.525537	2.249349
0.480440	0.528457	2.244904
0.478115	0.531381	2.240086
0.475811	0.534309	2.234890
0.473530	0.537241	2.229311
0.471271	0.540177	2.223342
0.469038	0.543119	2.216976
0.466831	0.546065	2.210207
0.464652	0.549017	2.203027
0.462503	0.551974	2.195429
0.460385	0.554937	2.187601
0.458296	0.557906	2.180414
0.456232	0.560882	2.173993
0.454191	0.563863	2.168356
0.452168	0.566852	2.163517
0.450159	0.569848	2.159490
0.448161	0.572851	2.156282
0.446171	0.575861	2.153898
0.444183	0.578880	2.152342
0.442196	0.581906	2.151611
0.440204	0.584941	2.151701
0.438205	0.587984	2.152606
0.436194	0.591036	2.154316
0.434168	0.594097	2.156774
0.432125	0.597167	2.159134
0.430066	0.600246	2.161073
0.427994	0.603334	2.162600
0.425909	0.606431	2.163720
0.423815	0.609537	2.164439
0.421712	0.612652	2.164761
0.419602	0.615775	2.164691
0.417489	0.618907	2.164231
0.415372	0.622048	2.163383
0.413254	0.625197	2.162150
0.411137	0.628355	2.160533
0.409023	0.631521	2.158532
0.406913	0.634695	2.156147
0.404810	0.637878	2.153377
0.402715	0.641068	2.150220
0.400630	0.644267	2.146675
0.398557	0.647474	2.142739
0.396497	0.650688	2.138409
0.394453	0.653910	2.133681
0.392426	0.657141	2.128550
0.390419	0.660378	2.123011
0.388432	0.663624	2.117060
0.386469	0.666877	2.110690
0.384530	0.670137	2.103895
0.382617	0.673405	2.096667
0.380733	0.676680	2.088999
0.378879	0.679962	2.080884
0.377057	0.683251	2.072312
0.375269	0.686548	2.063275
0.373516	0.689851	2.053764
0.371801	0.693161	2.043769
0.370125	0.696479	2.033280
0.368491	0.699803	2.022287
0.366899	0.703133	2.010780
0.365352	0.706471	1.998749
0.363852	0.709814	1.986182
0.362401	0.713165	1.973071
0.360999	0.716521	1.959403
0.359650	0.719884	1.945170
0.358355	0.723254	1.930362
0.357115	0.726629	1.914969
0.355933	0.730011	1.898983
0.354811	0.733398	1.882396
0.353750	0.736792	1.865203
0.352752	0.740191	1.847396
0.351819	0.743597	1.828973
0.350952	0.747007	1.809931
0.350155	0.750424	1.790270
0.349427	0.753846	1.769990
0.348773	0.757274	1.749096
0.348192	0.760707	1.727655
0.347685	0.764145	1.706668
0.347250	0.767589	1.686505
0.346883	0.771038	1.667191
0.346581	0.774492	1.648744
0.346342	0.777951	1.631182
0.346162	0.781415	1.614517
0.346038	0.784884	1.598758
0.345966	0.788358	1.583911
0.345945	0.791836	1.569979
0.345971	0.795319	1.556963
0.346041	0.798807	1.544864
0.346151	0.802299	1.533678
0.346299	0.805796	1.523404
0.346482	0.809297	1.514035
0.346696	0.812803	1.505568
0.346939	0.816312	1.497998
0.347208	0.819826	1.491318
0.347498	0.823344	1.485523
0.347808	0.826866	1.480607
0.348135	0.830391	1.476566
0.348474	0.833921	1.473394
0.348824	0.837454	1.471087
0.349180	0.840991	1.469641
0.349541	0.844532	1.469052
0.349903	0.848076	1.469317
0.350262	0.851624	1.470434
0.350617	0.855175	1.472401
0.350963	0.858730	1.475217
0.351297	0.862287	1.478881
0.351618	0.865848	1.483393
0.351921	0.869412	1.488752
0.352203	0.872979	1.494959
0.352462	0.876549	1.502014
0.352694	0.880122	1.509916
0.352897	0.883698	1.518667
0.353066	0.887276	1.528267
0.353200	0.890857	1.538713
0.353295	0.894440	1.550005
0.353348	0.898026	1.562140
0.353356	0.901615	1.575015
0.353319	0.905206	1.587479
0.353238	0.908798	1.599208
0.353115	0.912393	1.610204
0.352955	0.915990	1.620469
0.352759	0.919588	1.630003
0.352529	0.923188	1.638811
0.352269	0.926789	1.646895
0.351981	0.930391	1.654259
0.351667	0.933994	1.660906
0.351330	0.937597	1.666840
0.350973	0.941202	1.672063
0.350599	0.944806	1.676579
0.350209	0.948411	1.680390
0.349806	0.952016	1.683498
0.349394	0.955621	1.685905
0.348974	0.959225	1.687613
0.348549	0.962829	1.688623
0.348121	0.966432	1.688934
0.347694	0.970034	1.688547
0.347270	0.973636	1.687460
0.346851	0.977236	1.685672
0.346440	0.980835	1.683182
0.346040	0.984432	1.679987
0.345653	0.988027	1.676085
0.345281	0.991621	1.671471
0.344928	0.995212	1.666142
0.344595	0.998802	1.660095
0.344286	1.002388	1.653324
0.344003	1.005973	1.645826
0.343748	1.009554	1.637597
0.343525	1.013133	1.628631
0.343335	1.016708	1.618924
0.343181	1.020280	1.608474
0.343066	1.023849	1.597275
0.342993	1.027414	1.585327
0.342964	1.030975	1.572626
0.342981	1.034532	1.559173
0.343047	1.038085	1.544967
0.343165	1.041633	1.530012
0.343337	1.045177	1.514388
0.343565	1.048716	1.498762
0.343848	1.052251	1.483289
0.344185	1.055780	1.467974
0.344575	1.059304	1.452820
0.345019	1.062823	1.437832
0.345516	1.066336	1.423013
0.346064	1.069844	1.408366
0.346664	1.073345	1.393894
0.347315	1.076840	1.379598
0.348016	1.080329	1.365482
0.348766	1.083812	1.351547
0.349566	1.087288	1.337794
0.350414	1.090757	1.324224
0.351311	1.094219	1.310837
0.352254	1.097674	1.297635
0.353244	1.101122	1.284618
0.354281	1.104562	1.271785
0.355363	1.107994	1.259136
0.356489	1.111419	1.246671
0.357661	1.114835	1.234389
0.358876	1.118243	1.222288
0.360134	1.121643	1.210369
0.361435	1.125035	1.198629
0.362778	1.128417	1.187068
0.364163	1.131791	1.175683
0.365588	1.135155	1.164472
0.367054	1.138511	1.153435
0.368559	1.141857	1.142570
0.370104	1.145193	1.131873
0.371687	1.148519	1.121343
0.373308	1.151836	1.110978
0.374967	1.155142	1.100776
0.376662	1.158438	1.090734
0.378393	1.161723	1.080849
0.380161	1.164998	1.071120
0.381963	1.168262	1.061544
0.383799	1.171515	1.052119
0.385670	1.174757	1.042841
0.387573	1.177987	1.033709
0.389510	1.181206	1.024720
0.391478	1.184413	1.015871
0.393478	1.187608	1.007160
0.395509	1.190791	0.998584
0.397571	1.193962	0.990141
0.399662	1.197120	0.981828
0.401782	1.200266	0.973655
0.403931	1.203400	0.965634
0.406108	1.206520	0.957764
0.408313	1.209629	0.950044
0.410545	1.212725	0.942473
0.412803	1.215809	0.935049
0.415087	1.218881	0.927772
0.417397	1.221941	0.920639
0.419732	1.224989	0.913651
0.422091	1.228025	0.906804
0.424474	1.231050	0.900099
0.426881	1.234062	0.893534
0.429310	1.237063	0.887106
0.431762	1.240053	0.880816
0.434235	1.243031	0.874662
0.436730	1.245998	0.868641
0.439245	1.248954	0.862754
0.441781	1.251898	0.856998
0.444336	1.254832	0.851373
0.446911	1.257754	0.845876
0.449504	1.260666	0.840508
0.452115	1.263567	0.835265
0.454744	1.266457	0.830148
0.457390	1.269336	0.825154
0.460052	1.272205	0.820284
0.462730	1.275063	0.815535
0.465424	1.277911	0.810906
0.468133	1.280749	0.806396
0.470856	1.283576	0.802005
0.473593	1.286393	0.797730
0.476343	1.289201	0.793572
0.479107	1.291998	0.789528
0.481882	1.294785	0.785598
0.484669	1.297563	0.781782
0.487468	1.300331	0.778077
0.490277	1.303089	0.774484
0.493096	1.305838	0.771002
0.495925	1.308577	0.767629
0.498763	1.311307	0.764364
0.501610	1.314028	0.761208
0.504465	1.316740	0.758160
0.507327	1.319442	0.755218
0.510196	1.322135	0.752383
0.513072	1.324820	0.749653
0.515954	1.327496	0.747028
0.518841	1.330163	0.744508
0.521733	1.332821	0.742092
0.524629	1.335470	0.739780
0.527530	1.338112	0.737571
0.530433	1.340744	0.735466
0.533340	1.343369	0.733464
0.536248	1.345985	0.731564
0.539159	1.348593	0.729767
0.542070	1.351193	0.728072
0.544983	1.353785	0.726480
0.547895	1.356369	0.724990
0.550807	1.358945	0.723603
0.553718	1.361513	0.722318
0.556628	1.364074	0.721135
0.559536	1.366628	0.720056
0.562441	1.369173	0.719080
0.565343	1.371712	0.718207
0.568242	1.374243	0.717438
0.571136	1.376767	0.716773
0.574026	1.379284	0.716212
0.576911	1.381793	0.715757
0.579790	1.384296	0.715408
