x(i)	y(i)	theta(i)
0.704522	0.161991	2.093701
0.702726	0.165219	2.062854
0.701063	0.168442	2.031383
0.699529	0.171661	1.999345
0.698123	0.174875	1.966807
0.696843	0.178084	1.933839
0.695686	0.181289	1.900522
0.694650	0.184490	1.866939
0.693734	0.187686	1.833179
0.692934	0.190878	1.799335
0.692249	0.194066	1.765500
0.691677	0.197250	1.731769
0.691215	0.200429	1.698236
0.690862	0.203604	1.664991
0.690615	0.206776	1.632123
0.690472	0.209943	1.599714
0.690431	0.213107	1.567841
0.690490	0.216267	1.536574
0.690646	0.219423	1.505975
0.690898	0.222575	1.476101
0.691244	0.225724	1.446998
0.691681	0.228869	1.418706
0.692207	0.232011	1.391258
0.692820	0.235149	1.364677
0.693518	0.238284	1.338982
0.694298	0.241415	1.314186
0.695160	0.244543	1.290293
0.696099	0.247668	1.267305
0.697115	0.250790	1.245218
0.698205	0.253909	1.224025
0.699367	0.257024	1.203717
0.700599	0.260137	1.184278
0.701899	0.263247	1.165695
0.703264	0.266353	1.147949
0.704693	0.269457	1.131022
0.706183	0.272559	1.114895
0.707732	0.275657	1.099547
0.709339	0.278753	1.084958
0.711000	0.281846	1.071108
0.712714	0.284937	1.057976
0.714479	0.288026	1.045541
0.716292	0.291112	1.033784
0.718151	0.294195	1.022686
0.720055	0.297277	1.012228
0.722000	0.300356	1.002392
0.723986	0.303433	0.993162
0.726009	0.306508	0.984520
0.728069	0.309581	0.976452
0.730161	0.312651	0.968944
0.732285	0.315720	0.961980
0.734438	0.318787	0.955550
0.736618	0.321853	0.949640
0.738823	0.324916	0.944241
0.741051	0.327978	0.939342
0.743300	0.331038	0.934935
0.745567	0.334097	0.931011
0.747851	0.337154	0.927563
0.750148	0.340209	0.924586
0.752458	0.343264	0.922073
0.754778	0.346317	0.919953
0.757107	0.349368	0.918126
0.759442	0.352419	0.916588
0.761784	0.355468	0.915338
0.764130	0.358516	0.914375
0.766479	0.361563	0.913698
0.768830	0.364609	0.913305
0.771182	0.367655	0.913198
0.773532	0.370699	0.913376
0.775881	0.373742	0.913839
0.778226	0.376785	0.914589
0.780566	0.379827	0.915627
0.782900	0.382869	0.916953
0.785226	0.385910	0.918570
0.787544	0.388950	0.920480
0.789851	0.391990	0.922686
0.792147	0.395030	0.925190
0.794430	0.398069	0.927996
0.796699	0.401108	0.931108
0.798952	0.404146	0.934529
0.801188	0.407185	0.938264
0.803406	0.410224	0.942317
0.805604	0.413262	0.946694
0.807781	0.416300	0.951401
0.809936	0.419339	0.956443
0.812068	0.422378	0.961826
0.814174	0.425417	0.967557
0.816255	0.428456	0.973643
0.818307	0.431495	0.980092
0.820331	0.434535	0.986912
