t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.000389	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.002752	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.011267	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.020911	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.030903	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.041510	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.051296	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.060980	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.071766	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.080911	0.694366	0.153311	1.586226	0.250000	-0.704817	-0.018162
0.092604	0.692372	0.154999	1.592946	0.250000	-0.743485	-0.020972
0.100965	0.692372	0.154999	1.592946	0.250000	-0.743485	-0.020972
0.111709	0.692372	0.154999	1.592946	0.250000	-0.743485	-0.020972
0.121455	0.692372	0.154999	1.592946	0.250000	-0.743485	-0.020972
0.131256	0.692372	0.154999	1.592946	0.250000	-0.743485	-0.020972
0.140997	0.692372	0.154999	1.592946	0.250000	-0.743485	-0.020972
0.151720	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.161006	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.171008	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.181017	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.192673	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.201108	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.210948	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.220933	0.692956	0.153549	1.593342	0.250000	-0.738209	-0.020470
0.231987	0.691266	0.156898	1.603099	0.250000	-0.779571	-0.023285
0.241500	0.691266	0.156898	1.603099	0.250000	-0.779571	-0.023285
0.251281	0.691266	0.156898	1.603099	0.250000	-0.779571	-0.023285
0.261243	0.691266	0.156898	1.603099	0.250000	-0.779571	-0.023285
0.270921	0.691266	0.156898	1.603099	0.250000	-0.779571	-0.023285
0.280896	0.691266	0.156898	1.603099	0.250000	-0.779571	-0.023285
0.290975	0.694095	0.160942	1.584632	0.250000	-0.766605	-0.021413
0.300976	0.694095	0.160942	1.584632	0.250000	-0.766605	-0.021413
0.310982	0.694095	0.160942	1.584632	0.250000	-0.766605	-0.021413
0.320909	0.694095	0.160942	1.584632	0.250000	-0.766605	-0.021413
0.331349	0.694095	0.160942	1.584632	0.250000	-0.766605	-0.021413
0.341081	0.694095	0.160942	1.584632	0.250000	-0.766605	-0.021413
