x(i)	y(i)	theta(i)
0.350804	0.252539	-0.340274
0.355452	0.250959	-0.314818
0.360065	0.249522	-0.289018
0.364645	0.248225	-0.262910
0.369193	0.247065	-0.236535
0.373707	0.246040	-0.209935
0.378189	0.245147	-0.183157
0.382640	0.244384	-0.156249
0.387059	0.243749	-0.129260
0.391447	0.243239	-0.102241
0.395804	0.242851	-0.075245
0.400131	0.242583	-0.048322
0.404429	0.242433	-0.021526
0.408697	0.242398	0.005094
0.412936	0.242476	0.031486
0.417146	0.242663	0.057604
0.421328	0.242959	0.083400
0.425483	0.243359	0.108833
0.429610	0.243863	0.133860
0.433709	0.244466	0.158444
0.437783	0.245168	0.182552
0.441830	0.245965	0.206151
0.445851	0.246854	0.229215
0.449847	0.247834	0.251719
0.453818	0.248902	0.273642
0.457764	0.250056	0.294966
0.461686	0.251292	0.315678
0.465584	0.252609	0.335765
0.469459	0.254004	0.355219
0.473311	0.255474	0.374034
0.477140	0.257018	0.392205
0.480947	0.258632	0.409730
0.484732	0.260314	0.426610
0.488495	0.262062	0.442846
0.492238	0.263873	0.458441
0.495960	0.265745	0.473400
0.499662	0.267675	0.487728
0.503344	0.269661	0.501431
0.507006	0.271700	0.514515
0.510650	0.273790	0.526988
0.514275	0.275929	0.538857
0.517882	0.278113	0.550131
0.521470	0.280341	0.560817
0.525042	0.282609	0.570923
0.528596	0.284916	0.580457
0.532134	0.287260	0.589426
0.535656	0.289636	0.597838
0.539161	0.292044	0.605700
0.542652	0.294480	0.613017
0.546127	0.296943	0.619797
0.549588	0.299429	0.626044
0.553034	0.301936	0.631816
0.556467	0.304463	0.637304
0.559886	0.307009	0.642525
0.563292	0.309572	0.647482
0.566686	0.312151	0.652174
0.570067	0.314745	0.656604
0.573437	0.317353	0.660771
0.576795	0.319974	0.664676
0.580142	0.322607	0.668321
0.583478	0.325250	0.671705
0.586804	0.327903	0.674829
0.590121	0.330565	0.677694
0.593428	0.333234	0.680299
0.596726	0.335909	0.682646
0.600015	0.338589	0.684733
0.603296	0.341273	0.686561
0.606569	0.343960	0.688130
0.609835	0.346649	0.689438
0.613094	0.349338	0.690487
0.616346	0.352027	0.691274
0.619592	0.354715	0.691800
0.622832	0.357400	0.692063
0.626067	0.360081	0.692061
0.629296	0.362757	0.691795
0.632521	0.365427	0.691262
0.635742	0.368090	0.690461
0.638959	0.370745	0.689389
0.642172	0.373390	0.688046
0.645383	0.376025	0.686429
0.648591	0.378648	0.684535
0.651796	0.381259	0.682362
0.655000	0.383856	0.679908
0.658202	0.386438	0.677198
0.661403	0.389005	0.674538
0.664604	0.391558	0.672016
0.667804	0.394097	0.669635
0.671005	0.396625	0.667397
0.674206	0.399142	0.665304
0.677408	0.401650	0.663360
0.680612	0.404149	0.661566
0.683817	0.406640	0.659923
0.687024	0.409125	0.658433
0.690234	0.411605	0.657098
0.693447	0.414080	0.655918
0.696663	0.416553	0.654894
0.699883	0.419023	0.654028
0.703108	0.421493	0.653319
0.706336	0.423963	0.652767
0.709570	0.426434	0.652372
0.712809	0.428908	0.652134
0.716054	0.431385	0.652053
0.719305	0.433868	0.652128
0.722563	0.436355	0.652357
0.725827	0.438850	0.652740
0.729099	0.441353	0.653274
0.732379	0.443865	0.653960
0.735666	0.446387	0.654793
0.738963	0.448920	0.655774
0.742268	0.451466	0.656899
0.745583	0.454026	0.658166
0.748907	0.456600	0.659558
0.752241	0.459188	0.661046
0.755583	0.461792	0.662628
0.758932	0.464410	0.664305
0.762289	0.467044	0.666076
0.765652	0.469692	0.667940
0.769021	0.472355	0.669898
0.772395	0.475032	0.671949
0.775772	0.477725	0.674093
0.779153	0.480432	0.676331
0.782537	0.483155	0.678663
0.785923	0.485892	0.681088
0.789310	0.488644	0.683607
0.792697	0.491411	0.686220
0.796084	0.494192	0.688928
0.799470	0.496989	0.691731
0.802855	0.499800	0.694629
0.806236	0.502626	0.697623
0.809615	0.505467	0.700714
0.812990	0.508323	0.703903
0.816360	0.511194	0.707189
0.819725	0.514079	0.710574
0.823083	0.516980	0.714059
0.826435	0.519895	0.717645
0.829780	0.522825	0.721331
0.833115	0.525770	0.725121
0.836442	0.528729	0.729014
0.839759	0.531704	0.733011
0.843066	0.534693	0.737115
0.846362	0.537698	0.741325
0.849645	0.540717	0.745644
0.852916	0.543751	0.750073
0.856173	0.546800	0.754612
0.859416	0.549863	0.759264
0.862645	0.552942	0.764030
0.865858	0.556035	0.768912
0.869054	0.559143	0.773910
0.872233	0.562266	0.779028
0.875395	0.565404	0.784266
0.878538	0.568557	0.789625
0.881662	0.571724	0.795109
0.884765	0.574907	0.800719
0.887849	0.578104	0.806456
0.890910	0.581316	0.812323
0.893950	0.584543	0.818322
