t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.000942	0.230359	0.170515	0.110983	0.250000	1.146480	0.044775
0.007214	0.230359	0.170515	0.110983	0.250000	1.146480	0.044775
0.012695	0.230359	0.170515	0.110983	0.250000	1.146480	0.044775
0.021986	0.230359	0.170515	0.110983	0.250000	1.146480	0.044775
0.032537	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.042085	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.051561	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.061642	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.071542	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.081540	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.091627	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.101789	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.111868	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.121515	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.131513	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.141547	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.151891	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.162230	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.171954	0.230971	0.170895	0.114077	0.250000	1.137581	0.044153
0.181741	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.191992	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.201744	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.211467	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.222850	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.231565	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.241575	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.251559	0.233690	0.170009	0.118752	0.250000	1.164758	0.047510
0.261633	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.271551	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.281653	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.291643	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.301975	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.311654	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.321709	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.331735	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.341560	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.351857	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.361642	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.371532	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.381559	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.391565	0.237137	0.170033	0.120645	0.250000	1.164654	0.047708
0.401612	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.411449	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.423221	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.431627	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.441613	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.451617	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.461549	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.471492	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.481548	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
0.491605	0.248886	0.170322	0.171000	0.250000	1.152448	0.051716
