t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.005619	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.006072	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.016725	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.026319	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.036082	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.047684	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.056089	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.066387	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.076080	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.086741	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.096631	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.107906	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.116147	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.126075	0.700068	0.292412	0.072231	0.250000	0.330441	-0.001307
0.136046	0.697966	0.296670	0.079694	0.250000	0.258040	-0.006733
0.146422	0.697966	0.296670	0.079694	0.250000	0.258040	-0.006733
0.156187	0.697966	0.296670	0.079694	0.250000	0.258040	-0.006733
0.166939	0.697966	0.296670	0.079694	0.250000	0.258040	-0.006733
0.176761	0.697966	0.296670	0.079694	0.250000	0.258040	-0.006733
0.186450	0.697966	0.296670	0.079694	0.250000	0.258040	-0.006733
0.196267	0.702162	0.290691	0.069996	0.250000	0.415779	0.002491
0.206799	0.702162	0.290691	0.069996	0.250000	0.415779	0.002491
0.216672	0.702162	0.290691	0.069996	0.250000	0.415779	0.002491
0.226439	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.236160	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.246152	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.256708	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.268518	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.276322	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.286101	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.296115	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.306535	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.316246	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.326988	0.706713	0.290692	0.073907	0.250000	0.409395	0.002285
0.336728	0.714389	0.292781	0.085890	0.250000	0.481184	0.002841
0.346078	0.714389	0.292781	0.085890	0.250000	0.481184	0.002841
0.356167	0.714389	0.292781	0.085890	0.250000	0.481184	0.002841
0.366399	0.714389	0.292781	0.085890	0.250000	0.481184	0.002841
0.376751	0.714389	0.292781	0.085890	0.250000	0.481184	0.002841
0.386228	0.714389	0.292781	0.085890	0.250000	0.481184	0.002841
0.396136	0.714389	0.292781	0.085890	0.250000	0.481184	0.002841
0.406178	0.725992	0.295925	0.108833	0.250000	0.591997	0.004132
0.416105	0.725992	0.295925	0.108833	0.250000	0.591997	0.004132
0.426530	0.725992	0.295925	0.108833	0.250000	0.591997	0.004132
0.436322	0.725992	0.295925	0.108833	0.250000	0.591997	0.004132
0.447109	0.725992	0.295925	0.108833	0.250000	0.591997	0.004132
0.457077	0.725992	0.295925	0.108833	0.250000	0.591997	0.004132
0.466568	0.725992	0.295925	0.108833	0.250000	0.591997	0.004132
