x(i)	y(i)	theta(i)
0.251741	0.205323	-0.335117
0.255290	0.204105	-0.326254
0.258829	0.202925	-0.317337
0.262358	0.201783	-0.308368
0.265878	0.200680	-0.299347
0.269388	0.199614	-0.290275
0.272889	0.198585	-0.281155
0.276380	0.197594	-0.271988
0.279862	0.196640	-0.262775
0.283334	0.195724	-0.253517
0.286797	0.194844	-0.244217
0.290251	0.194000	-0.234876
0.293695	0.193193	-0.225496
0.297131	0.192422	-0.216078
0.300557	0.191687	-0.206624
0.303973	0.190987	-0.197136
0.307381	0.190324	-0.187616
0.310780	0.189695	-0.178066
0.314169	0.189102	-0.168488
0.317550	0.188543	-0.158884
0.320921	0.188020	-0.149256
0.324284	0.187531	-0.139606
0.327637	0.187076	-0.129935
0.330982	0.186655	-0.120247
0.334318	0.186269	-0.110544
0.337645	0.185916	-0.100827
0.340964	0.185596	-0.091099
0.344273	0.185310	-0.081362
0.347574	0.185057	-0.071618
0.350867	0.184837	-0.061870
0.354151	0.184650	-0.052119
0.357426	0.184495	-0.042369
0.360693	0.184372	-0.032621
0.363951	0.184282	-0.022878
0.367201	0.184223	-0.013142
0.370442	0.184197	-0.003415
0.373675	0.184201	0.006300
0.376900	0.184237	0.016002
0.380116	0.184304	0.025687
0.383324	0.184402	0.035354
0.386524	0.184531	0.045001
0.389716	0.184690	0.054624
0.392899	0.184879	0.064223
0.396075	0.185099	0.073795
0.399242	0.185348	0.083337
0.402401	0.185627	0.092848
0.405553	0.185936	0.102325
0.408696	0.186273	0.111768
0.411832	0.186640	0.121172
0.414959	0.187036	0.130538
0.418079	0.187460	0.139862
0.421191	0.187913	0.149142
0.424295	0.188394	0.158378
0.427392	0.188904	0.167567
0.430480	0.189441	0.176708
0.433561	0.190005	0.185798
0.436635	0.190597	0.194837
0.439701	0.191217	0.203822
0.442759	0.191863	0.212752
0.445810	0.192536	0.221625
0.448854	0.193236	0.230441
0.451890	0.193963	0.239198
0.454919	0.194715	0.247894
0.457940	0.195494	0.256528
0.460954	0.196298	0.265099
0.463961	0.197128	0.273606
0.466960	0.197984	0.282048
0.469952	0.198865	0.290423
0.472938	0.199770	0.298731
0.475916	0.200701	0.306971
0.478887	0.201656	0.315142
0.481851	0.202636	0.323242
0.484808	0.203639	0.331272
0.487758	0.204667	0.339231
0.490701	0.205719	0.347117
0.493637	0.206794	0.354930
0.496566	0.207893	0.362670
0.499489	0.209014	0.370336
0.502404	0.210159	0.377927
0.505313	0.211327	0.385444
0.508216	0.212517	0.392885
0.511111	0.213730	0.400250
0.514000	0.214964	0.407540
0.516883	0.216221	0.414753
0.519759	0.217500	0.421890
0.522628	0.218800	0.428951
0.525491	0.220121	0.435934
0.528347	0.221464	0.442840
0.531197	0.222828	0.449670
0.534041	0.224212	0.456422
0.536879	0.225617	0.463097
0.539710	0.227042	0.469695
0.542535	0.228488	0.476216
0.545353	0.229953	0.482660
0.548166	0.231438	0.489027
0.550972	0.232943	0.495317
0.553773	0.234467	0.501531
0.556567	0.236011	0.507668
0.559355	0.237573	0.513728
0.562137	0.239154	0.519713
0.564914	0.240753	0.525622
0.567684	0.242371	0.531455
0.570449	0.244007	0.537213
0.573207	0.245661	0.542896
0.575960	0.247333	0.548504
0.578708	0.249022	0.554038
0.581449	0.250728	0.559497
0.584185	0.252452	0.564883
0.586915	0.254193	0.570196
0.589640	0.255950	0.575436
0.592359	0.257724	0.580603
0.595073	0.259514	0.585697
0.597781	0.261320	0.590720
0.600483	0.263142	0.595672
0.603181	0.264980	0.600552
0.605872	0.266833	0.605362
0.608559	0.268702	0.610102
0.611240	0.270586	0.614772
0.613916	0.272484	0.619372
0.616587	0.274398	0.623904
0.619253	0.276325	0.628368
0.621913	0.278268	0.632763
0.624568	0.280224	0.637091
0.627219	0.282194	0.641352
0.629864	0.284178	0.645546
0.632504	0.286175	0.649674
0.635140	0.288185	0.653736
0.637770	0.290209	0.657733
0.640396	0.292246	0.661665
0.643017	0.294295	0.665533
0.645633	0.296356	0.669337
0.648244	0.298430	0.673077
0.650850	0.300516	0.676754
0.653452	0.302614	0.680369
0.656049	0.304724	0.683921
0.658642	0.306844	0.687412
0.661230	0.308977	0.690841
0.663813	0.311120	0.694209
0.666392	0.313274	0.697517
0.668967	0.315439	0.700765
0.671537	0.317614	0.703953
0.674103	0.319799	0.707081
0.676664	0.321995	0.710151
0.679221	0.324200	0.713162
0.681774	0.326415	0.716116
0.684323	0.328639	0.719011
0.686867	0.330873	0.721849
0.689407	0.333116	0.724630
0.691944	0.335367	0.727354
0.694476	0.337627	0.730022
0.697004	0.339896	0.732634
0.699528	0.342172	0.735191
0.702048	0.344457	0.737692
0.704564	0.346750	0.740138
0.707076	0.349050	0.742529
0.709585	0.351357	0.744866
0.712090	0.353672	0.747149
0.714591	0.355994	0.749379
0.717088	0.358323	0.751554
0.719581	0.360658	0.753677
0.722071	0.362999	0.755747
0.724557	0.365347	0.757764
0.727040	0.367701	0.759728
0.729519	0.370060	0.761641
0.731995	0.372425	0.763501
0.734467	0.374796	0.765310
0.736936	0.377172	0.767068
0.739401	0.379552	0.768774
0.741863	0.381938	0.770429
0.744322	0.384328	0.772033
0.746777	0.386722	0.773586
0.749229	0.389121	0.775089
0.751678	0.391523	0.776542
0.754124	0.393929	0.777944
0.756567	0.396339	0.779296
0.759006	0.398752	0.780599
0.761443	0.401169	0.781851
0.763877	0.403588	0.783054
0.766307	0.406010	0.784208
0.768735	0.408435	0.785312
0.771160	0.410862	0.786367
0.773582	0.413291	0.787372
0.776001	0.415722	0.788328
0.778417	0.418155	0.789236
0.780831	0.420589	0.790094
0.783242	0.423025	0.790903
0.785650	0.425461	0.791663
0.788055	0.427899	0.792375
0.790459	0.430338	0.793037
0.792859	0.432777	0.793650
0.795257	0.435216	0.794215
0.797653	0.437655	0.794731
0.800046	0.440095	0.795197
0.802436	0.442534	0.795615
0.804825	0.444972	0.795984
0.807211	0.447410	0.796307
0.809594	0.449847	0.796621
0.811976	0.452283	0.796932
0.814355	0.454719	0.797243
0.816732	0.457154	0.797552
0.819107	0.459587	0.797859
0.821479	0.462021	0.798165
0.823850	0.464453	0.798470
0.826218	0.466885	0.798773
0.828584	0.469316	0.799075
0.830948	0.471746	0.799376
0.833310	0.474175	0.799675
0.835669	0.476604	0.799972
0.838027	0.479032	0.800269
0.840383	0.481460	0.800563
0.842736	0.483887	0.800856
0.845088	0.486313	0.801148
0.847437	0.488738	0.801438
0.849785	0.491163	0.801727
0.852130	0.493587	0.802014
0.854474	0.496011	0.802300
0.856816	0.498434	0.802584
0.859156	0.500856	0.802867
0.861494	0.503278	0.803148
0.863830	0.505699	0.803427
0.866164	0.508120	0.803705
0.868496	0.510540	0.803982
0.870827	0.512959	0.804257
0.873156	0.515378	0.804530
0.875483	0.517797	0.804802
0.877808	0.520215	0.805072
0.880131	0.522632	0.805340
0.882453	0.525049	0.805607
0.884773	0.527465	0.805873
0.887092	0.529881	0.806136
0.889408	0.532297	0.806399
0.891723	0.534712	0.806659
0.894037	0.537126	0.806918
0.896349	0.539541	0.807175
0.898659	0.541954	0.807431
0.900968	0.544368	0.807685
0.903275	0.546780	0.807937
0.905580	0.549193	0.808187
0.907884	0.551605	0.808436
0.910187	0.554017	0.808683
0.912488	0.556428	0.808929
0.914787	0.558839	0.809173
0.917085	0.561250	0.809415
0.919382	0.563660	0.809655
0.921677	0.566070	0.809894
0.923971	0.568480	0.810131
0.926264	0.570889	0.810366
0.928555	0.573298	0.810600
0.930844	0.575707	0.810832
0.933133	0.578115	0.811062
0.935420	0.580523	0.811290
0.937706	0.582931	0.811516
0.939990	0.585339	0.811741
0.942274	0.587747	0.811964
0.944556	0.590154	0.812185
0.946837	0.592561	0.812405
0.949117	0.594968	0.812623
0.951395	0.597374	0.812838
0.953672	0.599781	0.813053
0.955949	0.602187	0.813265
0.958224	0.604593	0.813475
0.960498	0.606999	0.813684
0.962771	0.609405	0.813891
0.965042	0.611810	0.814096
0.967313	0.614216	0.814299
0.969583	0.616621	0.814500
0.971852	0.619026	0.814700
0.974119	0.621431	0.814898
0.976386	0.623837	0.815094
0.978652	0.626242	0.815288
0.980917	0.628646	0.815480
0.983181	0.631051	0.815670
0.985444	0.633456	0.815858
0.987706	0.635861	0.816045
0.989967	0.638266	0.816230
0.992228	0.640670	0.816413
0.994487	0.643075	0.816593
0.996746	0.645480	0.816773
0.999004	0.647885	0.816950
1.001261	0.650289	0.817125
1.003518	0.652694	0.817298
1.005773	0.655099	0.817470
1.008028	0.657504	0.817639
1.010283	0.659909	0.817807
1.012536	0.662314	0.817973
1.014789	0.664719	0.818137
1.017041	0.667124	0.818298
1.019293	0.669529	0.818458
1.021544	0.671935	0.818616
1.023795	0.674340	0.818773
1.026044	0.676746	0.818927
1.028294	0.679152	0.819079
1.030542	0.681558	0.819229
1.032791	0.683964	0.819378
1.035038	0.686370	0.819524
1.037286	0.688777	0.819668
1.039533	0.691183	0.819811
1.041779	0.693590	0.819951
1.044025	0.695997	0.820090
1.046270	0.698404	0.820227
1.048515	0.700812	0.820361
1.050760	0.703220	0.820494
1.053004	0.705628	0.820625
1.055248	0.708036	0.820753
1.057492	0.710445	0.820880
1.059736	0.712853	0.821005
1.061979	0.715263	0.821128
1.064222	0.717672	0.821249
1.066464	0.720082	0.821368
1.068707	0.722492	0.821484
1.070949	0.724902	0.821599
1.073191	0.727313	0.821712
1.075432	0.729724	0.821823
1.077674	0.732135	0.821932
1.079916	0.734547	0.822039
1.082157	0.736959	0.822144
1.084398	0.739372	0.822247
1.086639	0.741785	0.822348
1.088881	0.744199	0.822447
1.091122	0.746612	0.822543
1.093363	0.749027	0.822638
1.095604	0.751441	0.822731
1.097845	0.753856	0.822822
1.100086	0.756272	0.822911
1.102327	0.758688	0.822998
1.104568	0.761105	0.823083
1.106809	0.763522	0.823166
1.109051	0.765939	0.823247
1.111292	0.768357	0.823325
1.113534	0.770776	0.823402
1.115775	0.773195	0.823477
1.118017	0.775615	0.823550
1.120259	0.778035	0.823621
1.122502	0.780456	0.823690
1.124744	0.782877	0.823756
1.126987	0.785299	0.823821
1.129230	0.787722	0.823884
1.131473	0.790145	0.823945
1.133717	0.792569	0.824003
1.135961	0.794993	0.824060
1.138205	0.797418	0.824115
1.140450	0.799844	0.824168
1.142695	0.802270	0.824218
1.144940	0.804697	0.824267
1.147186	0.807125	0.824314
1.149432	0.809553	0.824358
1.151679	0.811982	0.824401
1.153926	0.814412	0.824442
1.156174	0.816842	0.824480
1.158422	0.819273	0.824517
1.160670	0.821705	0.824551
1.162919	0.824138	0.824584
1.165169	0.826571	0.824615
1.167419	0.829005	0.824643
1.169670	0.831440	0.824670
1.171922	0.833876	0.824695
1.174174	0.836312	0.824717
1.176427	0.838750	0.824738
1.178680	0.841188	0.824756
1.180934	0.843627	0.824773
