t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.002684	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.003159	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.014008	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.024004	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.033782	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.043679	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.053981	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.064158	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.073742	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.084224	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.093794	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.104070	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.113991	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.124790	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.133846	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.143573	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.153888	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.163603	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.173771	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.183199	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.193866	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.203677	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.213935	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.223775	1.264091	0.895475	1.049656	0.250000	0.098946	0.017799
0.234034	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.243221	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.253859	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.263373	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.274307	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.283875	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.294093	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.303386	1.263152	0.894649	1.050772	0.250000	0.091410	0.017241
0.313335	1.265440	0.898651	1.050427	0.250000	0.071418	0.016619
0.324147	1.265440	0.898651	1.050427	0.250000	0.071418	0.016619
0.334020	1.265440	0.898651	1.050427	0.250000	0.071418	0.016619
0.343806	1.265440	0.898651	1.050427	0.250000	0.071418	0.016619
0.353726	1.265440	0.898651	1.050427	0.250000	0.071418	0.016619
0.363939	1.265440	0.898651	1.050427	0.250000	0.071418	0.016619
0.373609	1.269497	0.904764	1.051209	0.250000	0.056048	0.016258
0.383246	1.269497	0.904764	1.051209	0.250000	0.056048	0.016258
0.393644	1.269497	0.904764	1.051209	0.250000	0.056048	0.016258
0.403424	1.269497	0.904764	1.051209	0.250000	0.056048	0.016258
0.413335	1.269497	0.904764	1.051209	0.250000	0.056048	0.016258
0.423231	1.269497	0.904764	1.051209	0.250000	0.056048	0.016258
0.433434	1.269497	0.904764	1.051209	0.250000	0.056048	0.016258
0.443280	1.278960	0.919733	1.047622	0.250000	0.025619	0.014666
0.453200	1.278960	0.919733	1.047622	0.250000	0.025619	0.014666
0.463227	1.278960	0.919733	1.047622	0.250000	0.025619	0.014666
0.473619	1.278960	0.919733	1.047622	0.250000	0.025619	0.014666
0.483263	1.278960	0.919733	1.047622	0.250000	0.025619	0.014666
0.493623	1.278960	0.919733	1.047622	0.250000	0.025619	0.014666
0.503248	1.278960	0.919733	1.047622	0.250000	0.025619	0.014666
0.513438	1.288357	0.934364	1.049247	0.250000	0.016092	0.012895
0.523746	1.288357	0.934364	1.049247	0.250000	0.016092	0.012895
0.533790	1.288357	0.934364	1.049247	0.250000	0.016092	0.012895
0.544557	1.288357	0.934364	1.049247	0.250000	0.016092	0.012895
0.553263	1.288357	0.934364	1.049247	0.250000	0.016092	0.012895
0.563383	1.288357	0.934364	1.049247	0.250000	0.016092	0.012895
0.573408	1.288357	0.934364	1.049247	0.250000	0.016092	0.012895
0.583647	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.593294	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.604071	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.613439	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.623295	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.633549	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.643722	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.653245	1.301058	0.954758	1.054082	0.250000	0.055106	0.010539
0.663278	1.313393	0.971513	1.063113	0.250000	0.192816	0.011535
0.673276	1.313393	0.971513	1.063113	0.250000	0.192816	0.011535
0.683249	1.313393	0.971513	1.063113	0.250000	0.192816	0.011535
0.693948	1.313393	0.971513	1.063113	0.250000	0.192816	0.011535
0.703939	1.313393	0.971513	1.063113	0.250000	0.192816	0.011535
0.713412	1.313393	0.971513	1.063113	0.250000	0.192816	0.011535
0.723262	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.734357	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.743692	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.753445	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.763242	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.773451	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.783381	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.793460	1.320668	0.980940	1.068105	0.250000	0.305726	0.013537
0.803301	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.813969	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.823720	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.833535	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.843226	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.854013	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.863228	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.873961	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.883236	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.894085	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.903728	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.913670	1.330750	0.995766	1.072277	0.250000	0.530223	0.018018
0.923400	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
0.934203	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
0.944129	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
0.953521	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
0.963300	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
0.973763	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
0.983406	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
0.993469	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
1.003486	1.341292	1.013183	1.078139	0.250000	0.769968	0.023709
1.013964	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.023548	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.033299	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.043714	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.053511	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.063278	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.075000	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.083275	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.094142	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.103238	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.114251	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.123348	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.133479	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.143195	1.356621	1.039292	1.083533	0.250000	1.096604	0.034216
1.153663	1.367986	1.060203	1.093634	0.250000	1.290705	0.041805
1.164052	1.367986	1.060203	1.093634	0.250000	1.290705	0.041805
1.173242	1.367986	1.060203	1.093634	0.250000	1.290705	0.041805
1.183711	1.367986	1.060203	1.093634	0.250000	1.290705	0.041805
1.193264	1.367986	1.060203	1.093634	0.250000	1.290705	0.041805
1.203203	1.367986	1.060203	1.093634	0.250000	1.290705	0.041805
1.213277	1.367986	1.060203	1.093634	0.250000	1.290705	0.041805
1.223417	1.383768	1.086656	1.123603	0.250000	1.456613	0.050996
1.233229	1.383768	1.086656	1.123603	0.250000	1.456613	0.050996
1.243901	1.383768	1.086656	1.123603	0.250000	1.456613	0.050996
1.253953	1.383768	1.086656	1.123603	0.250000	1.456613	0.050996
1.263912	1.383768	1.086656	1.123603	0.250000	1.456613	0.050996
1.274574	1.383768	1.086656	1.123603	0.250000	1.456613	0.050996
1.284895	1.383768	1.086656	1.123603	0.250000	1.456613	0.050996
1.293747	1.399026	1.112485	1.168653	0.250000	1.594217	0.061686
1.303498	1.399026	1.112485	1.168653	0.250000	1.594217	0.061686
1.313332	1.399026	1.112485	1.168653	0.250000	1.594217	0.061686
1.323915	1.399026	1.112485	1.168653	0.250000	1.594217	0.061686
1.333412	1.399026	1.112485	1.168653	0.250000	1.594217	0.061686
1.343236	1.399026	1.112485	1.168653	0.250000	1.594217	0.061686
1.353513	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.363320	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.374142	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.383985	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.394038	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.403544	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.413839	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.423716	1.410736	1.134167	1.220908	0.250000	1.654153	0.069505
1.434031	1.409814	1.139166	1.266182	0.250000	1.654740	0.070846
1.443657	1.409814	1.139166	1.266182	0.250000	1.654740	0.070846
