x(i)	y(i)	theta(i)
1.251708	0.894122	0.528141
1.256079	0.896784	0.566670
1.260066	0.899437	0.608567
1.263687	0.902081	0.653969
1.266961	0.904717	0.702934
1.269904	0.907343	0.755413
1.272536	0.909962	0.811213
1.274875	0.912572	0.869964
1.276939	0.915173	0.931102
1.278746	0.917766	0.993863
1.280314	0.920350	1.057302
1.281662	0.922926	1.120340
1.282808	0.925494	1.181827
1.283770	0.928053	1.240622
1.284565	0.930604	1.295662
1.285214	0.933147	1.346019
1.285732	0.935682	1.390932
1.286140	0.938208	1.429810
1.286454	0.940726	1.462220
1.286694	0.943236	1.487856
1.286877	0.945739	1.506511
1.287022	0.948233	1.518040
1.287146	0.950719	1.522340
1.287269	0.953197	1.519331
1.287407	0.955667	1.508949
1.287580	0.958130	1.491154
1.287806	0.960584	1.465946
1.288102	0.963031	1.434028
1.288478	0.965470	1.401604
1.288933	0.967901	1.370257
1.289464	0.970325	1.340026
1.290069	0.972741	1.310937
1.290746	0.975149	1.283007
1.291492	0.977550	1.256242
1.292305	0.979943	1.230643
1.293182	0.982328	1.206202
1.294122	0.984707	1.182906
1.295122	0.987077	1.160737
1.296179	0.989441	1.139673
1.297292	0.991797	1.119690
1.298458	0.994145	1.100763
1.299674	0.996487	1.082862
1.300938	0.998821	1.065960
1.302249	1.001148	1.050027
1.303603	1.003468	1.035036
1.304998	1.005780	1.020958
1.306432	1.008086	1.007765
1.307903	1.010384	0.995431
1.309408	1.012676	0.983932
1.310946	1.014960	0.973243
1.312512	1.017237	0.963343
1.314106	1.019508	0.954209
1.315725	1.021772	0.945825
1.317367	1.024029	0.938171
1.319029	1.026279	0.931232
1.320709	1.028522	0.924995
1.322404	1.030759	0.919447
1.324113	1.032988	0.914578
1.325832	1.035212	0.910379
1.327561	1.037428	0.906844
1.329295	1.039638	0.903969
1.331034	1.041842	0.901749
1.332774	1.044039	0.900185
1.334513	1.046229	0.899277
1.336249	1.048413	0.899029
1.337980	1.050591	0.899445
1.339704	1.052762	0.900532
1.341417	1.054927	0.902300
1.343118	1.057086	0.904760
1.344804	1.059238	0.907927
1.346473	1.061384	0.911817
1.348123	1.063524	0.916448
1.349751	1.065658	0.921843
1.351355	1.067786	0.928025
1.352932	1.069908	0.935022
1.354481	1.072023	0.942863
1.355999	1.074133	0.951583
1.357483	1.076237	0.961217
1.358932	1.078334	0.971806
1.360343	1.080426	0.983392
1.361713	1.082513	0.996024
1.363040	1.084593	1.009752
1.364323	1.086667	1.024628
1.365558	1.088736	1.040712
1.366744	1.090799	1.058064
1.367877	1.092857	1.076748
1.368956	1.094908	1.096830
1.369978	1.096955	1.118378
1.370942	1.098995	1.141310
1.371845	1.101030	1.164774
1.372689	1.103060	1.188610
1.373475	1.105084	1.212795
1.374202	1.107103	1.237306
1.374872	1.109117	1.262116
1.375485	1.111125	1.287195
1.376041	1.113128	1.312513
1.376542	1.115125	1.338037
1.376987	1.117118	1.363732
1.377378	1.119105	1.389562
1.377715	1.121087	1.415489
1.377998	1.123064	1.441474
1.378229	1.125036	1.467480
1.378407	1.127003	1.493466
1.378533	1.128965	1.519394
1.378608	1.130922	1.545224
1.378633	1.132873	1.570920
1.378608	1.134821	1.596442
1.378534	1.136763	1.621757
1.378411	1.138700	1.646830
1.378239	1.140633	1.671629
1.378020	1.142561	1.696124
1.377754	1.144484	1.720287
1.377442	1.146403	1.744091
1.377083	1.148317	1.767515
1.376680	1.150226	1.790537
1.376232	1.152131	1.813139
1.375739	1.154031	1.835304
1.375204	1.155927	1.857020
1.374625	1.157818	1.878275
1.374004	1.159705	1.899060
1.373341	1.161588	1.919369
1.372638	1.163466	1.939196
1.371893	1.165340	1.958537
1.371109	1.167210	1.977393
1.370285	1.169076	1.995763
1.369422	1.170937	2.013648
1.368522	1.172794	2.031052
1.367583	1.174647	2.047979
1.366608	1.176496	2.064433
1.365596	1.178341	2.080420
1.364548	1.180182	2.095947
1.363465	1.182019	2.111022
1.362347	1.183852	2.125652
1.361195	1.185681	2.139846
1.360010	1.187507	2.153612
1.358791	1.189328	2.166959
1.357541	1.191146	2.179896
1.356258	1.192960	2.192433
1.354944	1.194770	2.204579
1.353600	1.196577	2.216343
1.352226	1.198380	2.227735
1.350822	1.200180	2.238764
1.349389	1.201975	2.249439
1.347928	1.203768	2.259769
1.346440	1.205557	2.269764
1.344924	1.207342	2.279432
1.343382	1.209124	2.288781
1.341814	1.210903	2.297821
1.340221	1.212678	2.306559
1.338603	1.214450	2.315003
1.336961	1.216219	2.323162
1.335295	1.217985	2.331042
1.333606	1.219747	2.338652
1.331895	1.221506	2.345997
1.330162	1.223262	2.353085
1.328408	1.225015	2.359923
1.326633	1.226765	2.366517
1.324838	1.228512	2.372872
1.323023	1.230257	2.378996
1.321190	1.231998	2.384892
1.319339	1.233736	2.390568
1.317469	1.235471	2.396028
1.315583	1.237204	2.401278
1.313680	1.238934	2.406321
1.311761	1.240661	2.411162
1.309827	1.242385	2.415807
1.307878	1.244107	2.420258
1.305915	1.245826	2.424520
1.303938	1.247542	2.428598
1.301948	1.249256	2.432493
1.299946	1.250967	2.436210
1.297932	1.252676	2.439752
1.295906	1.254383	2.443122
1.293870	1.256087	2.446323
1.291824	1.257789	2.449357
1.289768	1.259488	2.452227
1.287704	1.261185	2.454936
1.285631	1.262880	2.457485
1.283550	1.264572	2.459877
1.281462	1.266263	2.462114
1.279368	1.267951	2.464196
1.277268	1.269637	2.466127
1.275162	1.271321	2.467907
1.273051	1.273003	2.469538
