t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.009445	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.009879	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.020575	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.030280	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.042887	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.049993	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.060325	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.070350	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.080572	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.089945	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.099988	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.110750	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.120028	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.129905	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.140630	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.150333	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.160094	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.170832	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.180723	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.190475	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.200089	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.209928	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.219945	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.229944	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.239987	0.477094	0.266347	0.134883	0.250000	0.802839	0.014808
0.249918	0.481370	0.267228	0.143018	0.250000	0.823238	0.015841
0.260648	0.481370	0.267228	0.143018	0.250000	0.823238	0.015841
0.270390	0.481370	0.267228	0.143018	0.250000	0.823238	0.015841
0.280547	0.481370	0.267228	0.143018	0.250000	0.823238	0.015841
0.289920	0.481370	0.267228	0.143018	0.250000	0.823238	0.015841
0.300659	0.487436	0.268893	0.159094	0.250000	0.819093	0.015462
0.310427	0.487436	0.268893	0.159094	0.250000	0.819093	0.015462
0.320165	0.487436	0.268893	0.159094	0.250000	0.819093	0.015462
0.330586	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.340640	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.350425	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.359987	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.369955	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.380426	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.390450	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.400204	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.409952	0.498370	0.271793	0.185646	0.250000	0.873992	0.018403
0.420670	0.509559	0.275099	0.221403	0.250000	0.906725	0.020429
0.430452	0.509559	0.275099	0.221403	0.250000	0.906725	0.020429
0.440172	0.509559	0.275099	0.221403	0.250000	0.906725	0.020429
0.449953	0.521373	0.277868	0.249483	0.250000	0.968660	0.024610
0.459909	0.521373	0.277868	0.249483	0.250000	0.968660	0.024610
0.470037	0.521373	0.277868	0.249483	0.250000	0.968660	0.024610
0.480856	0.521373	0.277868	0.249483	0.250000	0.968660	0.024610
0.489956	0.533597	0.280761	0.283063	0.250000	1.020756	0.028705
0.499968	0.533597	0.280761	0.283063	0.250000	1.020756	0.028705
0.509950	0.533597	0.280761	0.283063	0.250000	1.020756	0.028705
0.520202	0.533597	0.280761	0.283063	0.250000	1.020756	0.028705
0.530112	0.542771	0.283760	0.310955	0.250000	1.037443	0.030427
0.540757	0.542771	0.283760	0.310955	0.250000	1.037443	0.030427
0.550507	0.542771	0.283760	0.310955	0.250000	1.037443	0.030427
0.561483	0.542771	0.283760	0.310955	0.250000	1.037443	0.030427
0.569956	0.542771	0.283760	0.310955	0.250000	1.037443	0.030427
0.580127	0.551929	0.287473	0.339439	0.250000	1.048140	0.031747
0.589873	0.551929	0.287473	0.339439	0.250000	1.048140	0.031747
0.600304	0.551929	0.287473	0.339439	0.250000	1.048140	0.031747
0.610029	0.551929	0.287473	0.339439	0.250000	1.048140	0.031747
0.620816	0.551929	0.287473	0.339439	0.250000	1.048140	0.031747
0.630503	0.551929	0.287473	0.339439	0.250000	1.048140	0.031747
0.640033	0.561202	0.291102	0.372082	0.250000	1.053847	0.033088
0.649970	0.561202	0.291102	0.372082	0.250000	1.053847	0.033088
0.659907	0.561202	0.291102	0.372082	0.250000	1.053847	0.033088
0.670024	0.561202	0.291102	0.372082	0.250000	1.053847	0.033088
0.681514	0.561202	0.291102	0.372082	0.250000	1.053847	0.033088
0.690025	0.571185	0.294583	0.397022	0.250000	1.119269	0.038565
0.700771	0.571185	0.294583	0.397022	0.250000	1.119269	0.038565
0.710553	0.571185	0.294583	0.397022	0.250000	1.119269	0.038565
0.720324	0.571185	0.294583	0.397022	0.250000	1.119269	0.038565
0.730008	0.571185	0.294583	0.397022	0.250000	1.119269	0.038565
0.740806	0.571185	0.294583	0.397022	0.250000	1.119269	0.038565
0.749898	0.571185	0.294583	0.397022	0.250000	1.119269	0.038565
0.760479	0.582594	0.300099	0.428409	0.250000	1.123266	0.039909
0.770192	0.582594	0.300099	0.428409	0.250000	1.123266	0.039909
0.780557	0.582594	0.300099	0.428409	0.250000	1.123266	0.039909
0.789888	0.582594	0.300099	0.428409	0.250000	1.123266	0.039909
0.800710	0.593055	0.306550	0.453220	0.250000	1.166559	0.043701
0.811116	0.593055	0.306550	0.453220	0.250000	1.166559	0.043701
0.819849	0.593055	0.306550	0.453220	0.250000	1.166559	0.043701
0.829946	0.593055	0.306550	0.453220	0.250000	1.166559	0.043701
0.839934	0.603364	0.312986	0.491238	0.250000	1.185573	0.046549
0.849985	0.603364	0.312986	0.491238	0.250000	1.185573	0.046549
0.859839	0.603364	0.312986	0.491238	0.250000	1.185573	0.046549
0.869938	0.611929	0.318473	0.523204	0.250000	1.185984	0.047841
0.880570	0.611929	0.318473	0.523204	0.250000	1.185984	0.047841
0.890279	0.611929	0.318473	0.523204	0.250000	1.185984	0.047841
0.899964	0.611929	0.318473	0.523204	0.250000	1.185984	0.047841
0.910685	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.920460	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.930168	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.939908	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.950010	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.960494	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.970221	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.980433	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
0.990054	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
1.000448	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
1.010262	0.617364	0.322989	0.544712	0.250000	1.201682	0.049663
1.019965	0.627152	0.329303	0.578445	0.250000	1.235647	0.053782
1.029953	0.627152	0.329303	0.578445	0.250000	1.235647	0.053782
1.039971	0.627152	0.329303	0.578445	0.250000	1.235647	0.053782
1.050319	0.627152	0.329303	0.578445	0.250000	1.235647	0.053782
1.059949	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.070758	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.080788	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.089982	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.099964	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.110160	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.120508	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.130251	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.140043	0.636922	0.335884	0.616166	0.250000	1.231519	0.055181
1.149969	0.647685	0.344405	0.662260	0.250000	1.240088	0.057739
1.160176	0.647685	0.344405	0.662260	0.250000	1.240088	0.057739
1.170344	0.647685	0.344405	0.662260	0.250000	1.240088	0.057739
1.180403	0.647685	0.344405	0.662260	0.250000	1.240088	0.057739
1.189938	0.655805	0.353396	0.686327	0.250000	1.275396	0.060820
1.200553	0.655805	0.353396	0.686327	0.250000	1.275396	0.060820
1.210303	0.655805	0.353396	0.686327	0.250000	1.275396	0.060820
1.220036	0.655805	0.353396	0.686327	0.250000	1.275396	0.060820
1.230990	0.666292	0.363037	0.737315	0.250000	1.276715	0.062902
1.239990	0.666292	0.363037	0.737315	0.250000	1.276715	0.062902
1.250459	0.666292	0.363037	0.737315	0.250000	1.276715	0.062902
1.260084	0.666292	0.363037	0.737315	0.250000	1.276715	0.062902
1.269972	0.666292	0.363037	0.737315	0.250000	1.276715	0.062902
1.283690	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
1.290334	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
1.300092	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
1.310049	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
1.320735	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
1.330425	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
1.340110	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
1.349893	0.675446	0.371130	0.780517	0.250000	1.297894	0.066457
