x(i)	y(i)	theta(i)
0.500942	0.243185	0.241350
0.505227	0.244283	0.260350
0.509456	0.245452	0.279436
0.513629	0.246693	0.298596
0.517747	0.248004	0.317816
0.521810	0.249384	0.337083
0.525818	0.250832	0.356381
0.529771	0.252348	0.375697
0.533671	0.253929	0.395016
0.537517	0.255577	0.414325
0.541309	0.257288	0.433608
0.545049	0.259064	0.452851
0.548736	0.260902	0.472042
0.552371	0.262802	0.491165
0.555954	0.264762	0.510207
0.559486	0.266783	0.529156
0.562967	0.268863	0.547998
0.566397	0.271000	0.566721
0.569776	0.273195	0.585313
0.573106	0.275447	0.603764
0.576385	0.277753	0.622061
0.579616	0.280114	0.640196
0.582797	0.282529	0.658159
0.585930	0.284996	0.675941
0.589015	0.287515	0.693533
0.592052	0.290084	0.710928
0.595041	0.292704	0.728119
0.597984	0.295372	0.745100
0.600879	0.298089	0.761865
0.603728	0.300852	0.778409
0.606531	0.303662	0.794727
0.609289	0.306517	0.810815
0.612001	0.309416	0.826672
0.614668	0.312359	0.842292
0.617291	0.315345	0.857676
0.619869	0.318372	0.872820
0.622403	0.321439	0.887724
0.624894	0.324546	0.902387
0.627342	0.327693	0.916809
0.629747	0.330877	0.930990
0.632109	0.334098	0.944930
0.634430	0.337355	0.958630
0.636709	0.340648	0.972093
0.638946	0.343975	0.985318
0.641142	0.347335	0.998308
0.643298	0.350727	1.011065
0.645414	0.354151	1.023592
0.647489	0.357606	1.035890
0.649526	0.361090	1.047962
0.651523	0.364603	1.059812
0.653481	0.368144	1.071442
0.655400	0.371712	1.082856
0.657282	0.375306	1.094056
0.659126	0.378925	1.105046
0.660932	0.382568	1.115829
0.662702	0.386234	1.126409
0.664435	0.389923	1.136790
0.666131	0.393633	1.146984
0.667792	0.397364	1.157163
0.669415	0.401114	1.167394
0.671001	0.404883	1.177682
0.672548	0.408669	1.188034
0.674057	0.412473	1.198456
0.675525	0.416292	1.208953
0.676954	0.420127	1.219533
0.678341	0.423975	1.230202
0.679686	0.427837	1.240965
0.680989	0.431711	1.251829
0.682248	0.435596	1.262801
0.683464	0.439492	1.273886
0.684635	0.443397	1.285092
0.685761	0.447311	1.296424
0.686840	0.451233	1.307889
0.687873	0.455161	1.319494
0.688859	0.459095	1.331246
0.689796	0.463034	1.343150
0.690684	0.466977	1.355215
0.691523	0.470923	1.367446
0.692312	0.474871	1.379850
0.693050	0.478821	1.392434
0.693736	0.482771	1.405206
0.694370	0.486720	1.418172
0.694950	0.490668	1.431338
0.695477	0.494613	1.444712
0.695950	0.498555	1.458301
0.696367	0.502493	1.472112
0.696730	0.506425	1.485093
0.697046	0.510352	1.495861
0.697322	0.514271	1.504394
0.697569	0.518183	1.510674
0.697796	0.522085	1.514685
0.698010	0.525978	1.516410
0.698222	0.529861	1.515832
0.698440	0.533731	1.512930
0.698673	0.537590	1.507683
0.698930	0.541434	1.500069
0.699219	0.545265	1.490063
0.699551	0.549080	1.477645
0.699934	0.552879	1.462795
0.700376	0.556661	1.445498
0.700887	0.560425	1.425748
0.701476	0.564170	1.403548
0.702151	0.567895	1.378918
0.702922	0.571599	1.351893
0.703798	0.575282	1.322534
0.704787	0.578942	1.290924
0.705898	0.582579	1.257179
0.707141	0.586191	1.221445
