t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.000370	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.001734	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.010875	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.020986	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.030836	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.040967	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.050885	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.060968	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.072351	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.081101	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.090864	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.101584	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.110760	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.121111	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.130826	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.140964	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.150923	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.161159	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.170831	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.180883	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.191361	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.201131	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.210900	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.221608	0.728578	0.209217	1.733321	0.250000	-0.954665	-0.041193
0.231300	0.729443	0.212467	1.710519	0.250000	-0.931380	-0.038970
0.241174	0.729443	0.212467	1.710519	0.250000	-0.931380	-0.038970
0.250972	0.729443	0.212467	1.710519	0.250000	-0.931380	-0.038970
0.260846	0.729443	0.212467	1.710519	0.250000	-0.931380	-0.038970
0.270886	0.729443	0.212467	1.710519	0.250000	-0.931380	-0.038970
0.281121	0.729443	0.212467	1.710519	0.250000	-0.931380	-0.038970
0.290855	0.729443	0.212467	1.710519	0.250000	-0.931380	-0.038970
0.300806	0.729615	0.221059	1.685381	0.250000	-0.978942	-0.040078
0.310871	0.729615	0.221059	1.685381	0.250000	-0.978942	-0.040078
0.321245	0.729615	0.221059	1.685381	0.250000	-0.978942	-0.040078
0.330820	0.729615	0.221059	1.685381	0.250000	-0.978942	-0.040078
0.341701	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.351424	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.361226	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.370940	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.381705	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.391475	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.401229	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.410831	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.421712	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.430851	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.441239	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.450948	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.461802	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.471563	0.728005	0.233506	1.641050	0.250000	-1.001456	-0.040909
0.481238	0.727509	0.250959	1.597871	0.250000	-1.053577	-0.043267
0.490851	0.727509	0.250959	1.597871	0.250000	-1.053577	-0.043267
0.501473	0.727509	0.250959	1.597871	0.250000	-1.053577	-0.043267
0.511544	0.727509	0.250959	1.597871	0.250000	-1.053577	-0.043267
