x(i)	y(i)	theta(i)
0.755062	0.195534	1.889958
0.753476	0.200463	1.873886
0.751997	0.205331	1.857431
0.750623	0.210141	1.840595
0.749353	0.214891	1.823378
0.748186	0.219584	1.805781
0.747120	0.224219	1.787809
0.746154	0.228798	1.769465
0.745287	0.233322	1.750756
0.744518	0.237790	1.731690
0.743845	0.242205	1.712277
0.743267	0.246566	1.692527
0.742784	0.250875	1.672453
0.742393	0.255131	1.652072
0.742094	0.259337	1.631398
0.741885	0.263492	1.610452
0.741766	0.267598	1.589253
0.741734	0.271655	1.567823
0.741790	0.275663	1.546186
0.741930	0.279625	1.524368
0.742155	0.283540	1.502396
0.742463	0.287409	1.480298
0.742853	0.291233	1.458104
0.743323	0.295013	1.435843
0.743873	0.298749	1.413547
0.744501	0.302442	1.391249
0.745206	0.306094	1.368979
0.745986	0.309704	1.346770
0.746841	0.313274	1.324655
0.747769	0.316804	1.302665
0.748770	0.320295	1.280831
0.749841	0.323748	1.259183
0.750981	0.327163	1.237751
0.752190	0.330542	1.216563
0.753467	0.333885	1.195646
0.754809	0.337192	1.175024
0.756216	0.340465	1.154722
0.757686	0.343704	1.134762
0.759218	0.346911	1.115164
0.760812	0.350085	1.095947
0.762465	0.353228	1.077127
0.764177	0.356340	1.058718
0.765947	0.359422	1.040735
0.767772	0.362476	1.023189
0.769653	0.365500	1.006089
0.771587	0.368498	0.989443
0.773573	0.371468	0.973259
0.775611	0.374412	0.957540
0.777699	0.377331	0.942292
0.779835	0.380225	0.927516
0.782020	0.383095	0.913214
0.784250	0.385943	0.899387
0.786526	0.388768	0.886033
0.788846	0.391571	0.873151
0.791208	0.394353	0.860740
0.793612	0.397116	0.848796
0.796056	0.399859	0.837316
0.798539	0.402584	0.826296
0.801059	0.405291	0.815731
0.803617	0.407980	0.805618
0.806210	0.410654	0.795950
0.808836	0.413312	0.786724
0.811496	0.415955	0.777933
0.814188	0.418585	0.769572
0.816909	0.421201	0.761636
0.819661	0.423804	0.754120
0.822440	0.426396	0.747017
0.825246	0.428977	0.740322
0.828077	0.431547	0.734031
0.830933	0.434109	0.728137
0.833812	0.436661	0.722637
0.836713	0.439206	0.717524
0.839634	0.441743	0.712795
0.842575	0.444274	0.708445
0.845535	0.446799	0.704469
0.848511	0.449319	0.700863
0.851503	0.451835	0.697624
0.854509	0.454348	0.694748
0.857529	0.456858	0.692232
0.860561	0.459366	0.690072
0.863604	0.461873	0.688266
0.866657	0.464380	0.686811
0.869718	0.466887	0.685704
0.872786	0.469395	0.684944
0.875860	0.471905	0.684528
0.878939	0.474418	0.684455
0.882022	0.476934	0.684724
0.885107	0.479454	0.685334
0.888193	0.481979	0.686283
0.891279	0.484510	0.687572
0.894364	0.487048	0.689199
0.897446	0.489592	0.691164
0.900524	0.492145	0.693469
0.903597	0.494706	0.696112
0.906664	0.497276	0.699094
0.909724	0.499857	0.702417
0.912774	0.502449	0.706080
0.915815	0.505052	0.710085
0.918845	0.507669	0.714434
0.921863	0.510298	0.719127
0.924867	0.512941	0.724166
0.927856	0.515599	0.729552
0.930829	0.518273	0.735288
0.933785	0.520962	0.741375
0.936722	0.523669	0.747815
0.939640	0.526394	0.754610
0.942537	0.529137	0.761762
0.945412	0.531900	0.769273
0.948263	0.534682	0.777144
0.951090	0.537485	0.785378
0.953891	0.540310	0.793977
0.956665	0.543158	0.802940
0.959411	0.546028	0.812085
0.962128	0.548921	0.821279
0.964817	0.551836	0.830524
0.967475	0.554774	0.839822
0.970104	0.557733	0.849176
0.972703	0.560714	0.858588
0.975270	0.563717	0.868059
0.977807	0.566740	0.877591
0.980311	0.569785	0.887187
0.982784	0.572850	0.896848
0.985224	0.575936	0.906576
0.987631	0.579041	0.916374
0.990004	0.582166	0.926243
0.992344	0.585311	0.936185
0.994649	0.588476	0.946202
0.996919	0.591659	0.956297
0.999154	0.594861	0.966470
1.001354	0.598081	0.976725
1.003517	0.601320	0.987062
1.005644	0.604577	0.997483
1.007734	0.607851	1.007991
1.009786	0.611143	1.018587
1.011801	0.614452	1.029273
1.013777	0.617777	1.040051
1.015714	0.621120	1.050921
1.017613	0.624479	1.061887
1.019471	0.627854	1.072949
1.021290	0.631244	1.084109
1.023068	0.634651	1.095368
1.024805	0.638072	1.106728
1.026500	0.641509	1.118191
1.028154	0.644960	1.129757
1.029766	0.648426	1.141427
1.031334	0.651906	1.153203
1.032860	0.655400	1.165086
1.034342	0.658908	1.177077
1.035780	0.662429	1.189177
1.037173	0.665964	1.201386
1.038521	0.669511	1.213705
1.039825	0.673071	1.226135
1.041082	0.676644	1.238677
1.042293	0.680228	1.251329
1.043457	0.683824	1.264093
1.044574	0.687432	1.276969
1.045644	0.691052	1.289957
1.046665	0.694682	1.303056
1.047638	0.698323	1.316266
1.048563	0.701974	1.329587
1.049437	0.705636	1.343018
1.050262	0.709308	1.356557
1.051037	0.712990	1.370205
1.051761	0.716681	1.383960
1.052434	0.720381	1.397820
1.053056	0.724090	1.411784
1.053625	0.727808	1.425850
1.054142	0.731534	1.440017
1.054606	0.735269	1.454282
1.055017	0.739011	1.468643
1.055374	0.742761	1.483097
1.055677	0.746518	1.497642
1.055925	0.750282	1.512275
1.056118	0.754053	1.526974
1.056257	0.757831	1.541243
1.056343	0.761614	1.554859
1.056378	0.765404	1.567821
1.056366	0.769200	1.580132
1.056308	0.773001	1.591792
1.056207	0.776807	1.602804
1.056065	0.780619	1.613172
1.055884	0.784434	1.622900
1.055668	0.788255	1.631991
1.055417	0.792079	1.640450
1.055134	0.795908	1.648281
1.054823	0.799740	1.655490
1.054484	0.803575	1.662081
1.054121	0.807413	1.668057
1.053736	0.811255	1.673425
1.053330	0.815099	1.678187
1.052908	0.818945	1.682347
1.052469	0.822793	1.685908
1.052018	0.826643	1.688875
1.051556	0.830494	1.691248
1.051087	0.834347	1.693031
1.050611	0.838200	1.694224
1.050131	0.842055	1.694829
1.049650	0.845909	1.694847
1.049170	0.849764	1.694278
1.048694	0.853619	1.693121
1.048223	0.857474	1.691376
1.047761	0.861327	1.689041
1.047309	0.865180	1.686115
1.046869	0.869032	1.682595
1.046445	0.872883	1.678478
1.046038	0.876731	1.673762
1.045650	0.880578	1.668443
1.045285	0.884422	1.662517
1.044944	0.888264	1.655981
1.044630	0.892104	1.648830
1.044345	0.895940	1.641060
1.044091	0.899773	1.632667
1.043871	0.903602	1.623794
1.043685	0.907428	1.614755
1.043535	0.911248	1.605558
1.043420	0.915064	1.596199
1.043341	0.918874	1.586674
1.043299	0.922677	1.576979
1.043294	0.926473	1.567112
1.043327	0.930262	1.557068
1.043398	0.934042	1.546844
1.043508	0.937814	1.536436
1.043657	0.941577	1.525840
1.043846	0.945330	1.515054
1.044076	0.949072	1.504073
1.044346	0.952803	1.492894
1.044658	0.956522	1.481513
1.045011	0.960230	1.469928
1.045407	0.963924	1.458135
