t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.002944	0.518654	0.223786	1.585294	0.250000	0.360094	0.019096
0.003922	0.518654	0.223786	1.585294	0.250000	0.378256	0.020145
0.013470	0.518654	0.223786	1.585294	0.250000	0.378256	0.020145
0.023490	0.518654	0.223786	1.585294	0.250000	0.378256	0.020145
0.033404	0.518654	0.223786	1.585294	0.250000	0.378256	0.020145
0.044476	0.518447	0.223686	1.591524	0.250000	0.360094	0.019096
0.053436	0.518447	0.223686	1.591524	0.250000	0.360094	0.019096
0.063643	0.518447	0.223686	1.591524	0.250000	0.360094	0.019096
0.073381	0.518447	0.223686	1.591524	0.250000	0.360094	0.019096
0.083373	0.518447	0.223686	1.591524	0.250000	0.360094	0.019096
0.093827	0.518446	0.223721	1.597229	0.250000	0.345571	0.018324
0.103359	0.518446	0.223721	1.597229	0.250000	0.345571	0.018324
0.113396	0.518446	0.223721	1.597229	0.250000	0.345571	0.018324
0.124154	0.518446	0.223721	1.597229	0.250000	0.345571	0.018324
0.133903	0.518446	0.223721	1.597229	0.250000	0.345571	0.018324
0.143710	0.518446	0.223721	1.597229	0.250000	0.345571	0.018324
0.153398	0.518446	0.223721	1.597229	0.250000	0.345571	0.018324
0.164154	0.518239	0.223621	1.603459	0.250000	0.327264	0.017271
0.173894	0.518239	0.223621	1.603459	0.250000	0.327264	0.017271
0.184180	0.518239	0.223621	1.603459	0.250000	0.327264	0.017271
0.193412	0.518239	0.223621	1.603459	0.250000	0.327264	0.017271
0.203436	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.213733	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.223452	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.233412	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.243349	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.253898	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.263789	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.273469	0.517944	0.224276	1.604923	0.250000	0.320381	0.016801
0.283423	0.517580	0.229864	1.610632	0.250000	0.307957	0.016599
0.293965	0.517580	0.229864	1.610632	0.250000	0.307957	0.016599
0.304934	0.517580	0.229864	1.610632	0.250000	0.307957	0.016599
0.313549	0.517580	0.229864	1.610632	0.250000	0.307957	0.016599
0.323444	0.517577	0.239306	1.629295	0.250000	0.266279	0.015440
0.333481	0.517577	0.239306	1.629295	0.250000	0.266279	0.015440
0.343447	0.517577	0.239306	1.629295	0.250000	0.266279	0.015440
0.353530	0.517577	0.239306	1.629295	0.250000	0.266279	0.015440
0.363391	0.517036	0.247827	1.643493	0.250000	0.224016	0.014173
0.374074	0.517036	0.247827	1.643493	0.250000	0.224016	0.014173
0.383460	0.517036	0.247827	1.643493	0.250000	0.224016	0.014173
0.393432	0.517036	0.247827	1.643493	0.250000	0.224016	0.014173
0.403421	0.517036	0.247827	1.643493	0.250000	0.224016	0.014173
0.413420	0.517036	0.247827	1.643493	0.250000	0.224016	0.014173
0.423779	0.516054	0.253710	1.665108	0.250000	0.153820	0.010971
0.433533	0.516054	0.253710	1.665108	0.250000	0.153820	0.010971
0.444318	0.516054	0.253710	1.665108	0.250000	0.153820	0.010971
0.457068	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.463738	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.473542	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.483501	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.494034	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.503431	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.513566	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.523383	0.513553	0.260121	1.677750	0.250000	0.086789	0.007460
0.533427	0.510955	0.272101	1.703309	0.250000	-0.029639	0.002454
0.543385	0.510955	0.272101	1.703309	0.250000	-0.029639	0.002454
0.553544	0.510955	0.272101	1.703309	0.250000	-0.029639	0.002454
0.564270	0.510955	0.272101	1.703309	0.250000	-0.029639	0.002454
0.573446	0.510955	0.272101	1.703309	0.250000	-0.029639	0.002454
0.583836	0.510955	0.272101	1.703309	0.250000	-0.029639	0.002454
0.593554	0.507889	0.286259	1.731449	0.250000	-0.182538	-0.003808
0.604304	0.507889	0.286259	1.731449	0.250000	-0.182538	-0.003808
0.613397	0.507889	0.286259	1.731449	0.250000	-0.182538	-0.003808
0.623492	0.507889	0.286259	1.731449	0.250000	-0.182538	-0.003808
0.633496	0.507889	0.286259	1.731449	0.250000	-0.182538	-0.003808
0.643407	0.507889	0.286259	1.731449	0.250000	-0.182538	-0.003808
0.653436	0.507889	0.286259	1.731449	0.250000	-0.182538	-0.003808
0.663888	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.673559	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.683413	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.694124	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.712351	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.713488	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.723451	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.734113	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.743884	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.756584	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.763354	0.504832	0.301423	1.760127	0.250000	-0.345578	-0.010411
0.773651	0.500272	0.321240	1.770575	0.250000	-0.525248	-0.017060
0.783430	0.500272	0.321240	1.770575	0.250000	-0.525248	-0.017060
0.793683	0.500272	0.321240	1.770575	0.250000	-0.525248	-0.017060
0.803393	0.500272	0.321240	1.770575	0.250000	-0.525248	-0.017060
0.813371	0.500272	0.321240	1.770575	0.250000	-0.525248	-0.017060
0.823441	0.500272	0.321240	1.770575	0.250000	-0.525248	-0.017060
0.833821	0.495927	0.339566	1.766624	0.250000	-0.688740	-0.022865
0.843440	0.495927	0.339566	1.766624	0.250000	-0.688740	-0.022865
0.853408	0.495927	0.339566	1.766624	0.250000	-0.688740	-0.022865
0.863482	0.495927	0.339566	1.766624	0.250000	-0.688740	-0.022865
0.877999	0.492411	0.354800	1.754009	0.250000	-0.822287	-0.027528
0.883437	0.492411	0.354800	1.754009	0.250000	-0.822287	-0.027528
0.893461	0.492411	0.354800	1.754009	0.250000	-0.822287	-0.027528
0.903420	0.492411	0.354800	1.754009	0.250000	-0.822287	-0.027528
0.913460	0.492411	0.354800	1.754009	0.250000	-0.822287	-0.027528
0.924409	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
0.936163	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
0.943964	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
0.953650	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
0.963444	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
0.973600	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
0.983441	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
0.993457	0.490895	0.364604	1.746781	0.250000	-0.897779	-0.029955
1.003446	0.488992	0.376906	1.729653	0.250000	-0.978072	-0.032460
1.014207	0.488992	0.376906	1.729653	0.250000	-0.978072	-0.032460
1.023990	0.488992	0.376906	1.729653	0.250000	-0.978072	-0.032460
1.033699	0.488992	0.376906	1.729653	0.250000	-0.978072	-0.032460
1.043822	0.488992	0.376906	1.729653	0.250000	-0.978072	-0.032460
1.054221	0.488992	0.376906	1.729653	0.250000	-0.978072	-0.032460
1.063471	0.488992	0.376906	1.729653	0.250000	-0.978072	-0.032460
1.073775	0.486884	0.393647	1.695249	0.250000	-1.087341	-0.036150
1.083508	0.486884	0.393647	1.695249	0.250000	-1.087341	-0.036150
1.094300	0.486884	0.393647	1.695249	0.250000	-1.087341	-0.036150
1.104002	0.486884	0.393647	1.695249	0.250000	-1.087341	-0.036150
1.113747	0.486884	0.393647	1.695249	0.250000	-1.087341	-0.036150
1.123533	0.486884	0.393647	1.695249	0.250000	-1.087341	-0.036150
