t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.010008	0.306505	0.213212	0.117694	0.250000	-0.413242	-0.037847
0.011331	0.306113	0.215942	0.132769	0.250000	-0.413242	-0.037847
0.020648	0.306113	0.215942	0.132769	0.250000	-0.475045	-0.042649
0.030642	0.306113	0.215942	0.132769	0.250000	-0.475045	-0.042649
0.040989	0.306113	0.215942	0.132769	0.250000	-0.475045	-0.042649
0.050915	0.306113	0.215942	0.132769	0.250000	-0.475045	-0.042649
0.061816	0.306089	0.215544	0.129122	0.250000	-0.462945	-0.041764
0.070556	0.306089	0.215544	0.129122	0.250000	-0.462945	-0.041764
0.080493	0.306089	0.215544	0.129122	0.250000	-0.462945	-0.041764
0.090582	0.306089	0.215544	0.129122	0.250000	-0.462945	-0.041764
0.100546	0.306482	0.212815	0.114048	0.250000	-0.400723	-0.036959
0.110543	0.306482	0.212815	0.114048	0.250000	-0.400723	-0.036959
0.120605	0.306482	0.212815	0.114048	0.250000	-0.400723	-0.036959
0.130565	0.306482	0.212815	0.114048	0.250000	-0.400723	-0.036959
0.140684	0.306482	0.212815	0.114048	0.250000	-0.400723	-0.036959
0.151302	0.306458	0.212417	0.110401	0.250000	-0.388125	-0.036069
0.160544	0.306458	0.212417	0.110401	0.250000	-0.388125	-0.036069
0.171057	0.306458	0.212417	0.110401	0.250000	-0.388125	-0.036069
0.180577	0.306458	0.212417	0.110401	0.250000	-0.388125	-0.036069
0.191248	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.200863	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.210808	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.220536	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.231305	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.241099	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.250826	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.260577	0.308530	0.211015	0.104454	0.250000	-0.349659	-0.033519
0.271288	0.314429	0.213389	0.102553	0.250000	-0.354989	-0.034846
0.280539	0.314429	0.213389	0.102553	0.250000	-0.354989	-0.034846
0.290764	0.314429	0.213389	0.102553	0.250000	-0.354989	-0.034846
0.300541	0.314429	0.213389	0.102553	0.250000	-0.354989	-0.034846
0.312762	0.323794	0.213282	0.076858	0.250000	-0.264024	-0.029823
0.321032	0.323794	0.213282	0.076858	0.250000	-0.264024	-0.029823
0.330794	0.323794	0.213282	0.076858	0.250000	-0.264024	-0.029823
0.343558	0.323794	0.213282	0.076858	0.250000	-0.264024	-0.029823
0.350570	0.333520	0.214766	0.057318	0.250000	-0.189215	-0.026550
0.360598	0.333520	0.214766	0.057318	0.250000	-0.189215	-0.026550
0.370852	0.333520	0.214766	0.057318	0.250000	-0.189215	-0.026550
0.380565	0.333520	0.214766	0.057318	0.250000	-0.189215	-0.026550
0.390445	0.333520	0.214766	0.057318	0.250000	-0.189215	-0.026550
0.400509	0.341442	0.213904	0.034463	0.250000	-0.103264	-0.021484
0.411362	0.341442	0.213904	0.034463	0.250000	-0.103264	-0.021484
0.420639	0.341442	0.213904	0.034463	0.250000	-0.103264	-0.021484
0.430477	0.341442	0.213904	0.034463	0.250000	-0.103264	-0.021484
0.441129	0.341442	0.213904	0.034463	0.250000	-0.103264	-0.021484
0.450840	0.341442	0.213904	0.034463	0.250000	-0.103264	-0.021484
0.460626	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.471343	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.481158	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.490751	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.500537	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.510501	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.521104	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.530916	0.355213	0.211973	0.010898	0.250000	0.033665	-0.013554
0.540627	0.371295	0.211527	-0.013608	0.250000	0.164343	-0.006692
0.551367	0.371295	0.211527	-0.013608	0.250000	0.164343	-0.006692
0.561088	0.371295	0.211527	-0.013608	0.250000	0.164343	-0.006692
0.571982	0.388932	0.210071	-0.041263	0.250000	0.348714	0.003057
0.580692	0.388932	0.210071	-0.041263	0.250000	0.348714	0.003057
0.591216	0.388932	0.210071	-0.041263	0.250000	0.348714	0.003057
0.601235	0.388932	0.210071	-0.041263	0.250000	0.348714	0.003057
0.611040	0.388932	0.210071	-0.041263	0.250000	0.348714	0.003057
0.620846	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.630489	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.640551	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.650502	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.660768	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.670874	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.681196	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.690942	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.700519	0.399579	0.211821	-0.061304	0.250000	0.432193	0.006366
0.710501	0.411356	0.211079	-0.076024	0.250000	0.533750	0.011377
0.720481	0.411356	0.211079	-0.076024	0.250000	0.533750	0.011377
0.730481	0.411356	0.211079	-0.076024	0.250000	0.533750	0.011377
0.741251	0.424633	0.210267	-0.079604	0.250000	0.647995	0.016580
0.750582	0.424633	0.210267	-0.079604	0.250000	0.647995	0.016580
