x(i)	y(i)	theta(i)
0.300980	0.203842	-0.363629
0.304171	0.202649	-0.351968
0.307350	0.201503	-0.339989
0.310517	0.200405	-0.327708
0.313677	0.199353	-0.315143
0.316829	0.198347	-0.302313
0.319977	0.197388	-0.289240
0.323121	0.196475	-0.275947
0.326265	0.195607	-0.262459
0.329409	0.194786	-0.248802
0.332556	0.194009	-0.235004
0.335708	0.193278	-0.221093
0.338866	0.192591	-0.207098
0.342032	0.191949	-0.193050
0.345208	0.191351	-0.178978
0.348397	0.190797	-0.164914
0.351600	0.190287	-0.150887
0.354818	0.189821	-0.136927
0.358055	0.189398	-0.123064
0.361311	0.189018	-0.109325
0.364588	0.188681	-0.095738
0.367889	0.188386	-0.082329
0.371215	0.188134	-0.069122
0.374569	0.187924	-0.056139
0.377951	0.187755	-0.043402
0.381365	0.187629	-0.030930
0.384812	0.187543	-0.018741
0.388293	0.187499	-0.006849
0.391811	0.187495	0.004731
0.395367	0.187532	0.015989
0.398964	0.187609	0.026914
0.402603	0.187727	0.037499
0.406287	0.187884	0.047737
0.410016	0.188081	0.057623
0.413794	0.188317	0.067156
0.417621	0.188592	0.076334
0.421500	0.188906	0.085156
0.425433	0.189259	0.093623
0.429421	0.189650	0.101739
0.433467	0.190079	0.109506
0.437572	0.190546	0.116928
0.441738	0.191050	0.124012
0.445968	0.191592	0.130762
0.450262	0.192171	0.137216
0.454619	0.192787	0.143615
0.459030	0.193439	0.150035
0.463488	0.194128	0.156507
0.467986	0.194853	0.163060
0.472516	0.195614	0.169724
0.477069	0.196410	0.176531
0.481640	0.197242	0.183509
0.486219	0.198108	0.190690
0.490799	0.199010	0.198107
0.495372	0.199946	0.205795
0.499931	0.200917	0.213791
0.504468	0.201921	0.222135
0.508975	0.202960	0.230872
0.513445	0.204032	0.240048
0.517870	0.205138	0.249718
0.522242	0.206276	0.259942
0.526554	0.207448	0.270786
0.530798	0.208652	0.282326
0.534966	0.209889	0.294648
0.539050	0.211157	0.307849
0.543044	0.212458	0.322044
0.546938	0.213790	0.337361
0.550727	0.215154	0.353951
0.554401	0.216548	0.371992
0.557953	0.217974	0.391688
0.561375	0.219430	0.413283
0.564660	0.220916	0.437065
0.567801	0.222433	0.463375
0.570789	0.223980	0.492619
0.573616	0.225556	0.525283
0.576276	0.227161	0.561948
0.578760	0.228796	0.603303
0.581061	0.230460	0.650170
0.583170	0.232152	0.703506
0.585081	0.233873	0.764410
0.586786	0.235622	0.834091
0.588277	0.237398	0.913791
0.589546	0.239203	1.004626
0.590585	0.241034	1.107314
0.591388	0.242893	1.221784
0.591946	0.244779	1.346744
0.592251	0.246691	1.479400
0.592296	0.248630	1.615579
0.592073	0.250595	1.750397
0.591575	0.252586	1.879248
0.590795	0.254603	1.997027
0.589738	0.256645	2.095517
0.588422	0.258712	2.176299
0.586864	0.260804	2.242303
0.585083	0.262921	2.296189
0.583095	0.265062	2.340179
0.580918	0.267227	2.376055
0.578570	0.269416	2.405212
0.576068	0.271629	2.428735
0.573429	0.273865	2.447464
0.570672	0.276125	2.462041
0.567813	0.278407	2.472959
0.564871	0.280712	2.480586
0.561862	0.283040	2.485192
0.558805	0.285389	2.486965
0.555717	0.287761	2.486022
0.552615	0.290154	2.482417
0.549517	0.292569	2.476147
0.546441	0.295005	2.467150
0.543403	0.297462	2.455311
0.540422	0.299939	2.440848
0.537505	0.302437	2.425922
0.534652	0.304955	2.410899
0.531863	0.307493	2.395789
0.529136	0.310051	2.380601
0.526471	0.312628	2.365344
0.523867	0.315224	2.350028
0.521324	0.317838	2.334662
0.518840	0.320472	2.319258
0.516415	0.323124	2.303826
0.514048	0.325793	2.288375
0.511739	0.328481	2.272919
0.509486	0.331186	2.257466
0.507289	0.333908	2.242029
0.505148	0.336647	2.226619
0.503061	0.339403	2.211246
0.501028	0.342176	2.195921
0.499048	0.344964	2.180657
0.497120	0.347769	2.165463
0.495243	0.350589	2.150350
0.493418	0.353424	2.135330
0.491642	0.356275	2.120412
0.489916	0.359140	2.105606
0.488238	0.362020	2.090922
0.486609	0.364914	2.076371
0.485026	0.367822	2.061960
0.483490	0.370744	2.047699
0.481999	0.373680	2.033597
0.480554	0.376628	2.019661
0.479152	0.379590	2.005899
0.477794	0.382565	1.992319
0.476479	0.385551	1.978927
0.475206	0.388550	1.965730
0.473974	0.391561	1.952734
0.472782	0.394584	1.939945
0.471630	0.397618	1.927367
0.470517	0.400663	1.915006
0.469443	0.403719	1.902866
0.468406	0.406785	1.890952
0.467406	0.409862	1.879265
0.466442	0.412949	1.867811
0.465513	0.416045	1.856592
0.464619	0.419151	1.845609
0.463759	0.422266	1.834867
0.462931	0.425391	1.824366
0.462137	0.428524	1.814108
0.461374	0.431665	1.804095
0.460642	0.434815	1.794327
