t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.002783	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.009742	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.013494	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.025114	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.034041	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.043809	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.053562	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.064602	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.074041	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.083607	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.093469	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.104045	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.113877	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.123743	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.135658	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.144152	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.153812	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.164496	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.175078	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.183507	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.194098	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.203825	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.213556	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.224227	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.234231	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.244066	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.253768	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.263610	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.273430	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.283706	0.239665	0.157050	0.210661	0.250000	0.774874	0.023631
0.293502	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.306489	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.314349	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.324092	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.333984	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.343670	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.353455	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.363294	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.376889	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.384729	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.394089	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.404295	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.413655	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.423485	0.243191	0.158792	0.205870	0.250000	0.775468	0.023254
0.434012	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.445065	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.454065	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.463356	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.473808	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.483503	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.493538	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.503472	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.514010	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.523779	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.533495	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.544389	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.553981	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.563734	0.252610	0.162158	0.218801	0.250000	0.802926	0.024894
0.573735	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.584257	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.593988	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.603711	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.613783	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.624240	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.633984	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.644533	0.272299	0.167146	0.263071	0.250000	0.844718	0.028512
0.653425	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.671656	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.674174	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.683681	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.693509	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.703454	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.713868	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.723789	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.733505	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.743472	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
0.753767	0.297296	0.173651	0.321545	0.250000	0.943438	0.036151
