x(i)	y(i)	theta(i)
0.251839	0.138808	0.411958
0.255680	0.140514	0.423993
0.259537	0.142282	0.435772
0.263408	0.144112	0.447318
0.267291	0.146002	0.458651
0.271183	0.147951	0.469793
0.275083	0.149959	0.480762
0.278989	0.152023	0.491576
0.282899	0.154143	0.502253
0.286810	0.156318	0.512809
0.290720	0.158547	0.523260
0.294629	0.160829	0.533622
0.298532	0.163162	0.543909
0.302429	0.165546	0.554135
0.306318	0.167980	0.564315
0.310196	0.170463	0.574461
0.314062	0.172993	0.584588
0.317913	0.175569	0.594708
0.321747	0.178191	0.604834
0.325562	0.180857	0.614979
0.329357	0.183567	0.625155
0.333129	0.186318	0.635376
0.336876	0.189111	0.645652
0.340597	0.191944	0.655999
0.344288	0.194816	0.666426
0.347949	0.197727	0.676949
0.351576	0.200674	0.687579
0.355169	0.203657	0.698330
0.358725	0.206675	0.709215
0.362241	0.209726	0.720247
0.365717	0.212811	0.731442
0.369150	0.215927	0.742812
0.372537	0.219073	0.754374
0.375877	0.222250	0.766141
0.379168	0.225454	0.778131
0.382408	0.228687	0.790358
0.385595	0.231945	0.802840
0.388726	0.235229	0.815594
0.391800	0.238538	0.828638
0.394815	0.241869	0.841990
0.397768	0.245223	0.855671
0.400658	0.248598	0.869700
0.403483	0.251993	0.884098
0.406240	0.255407	0.898888
0.408927	0.258839	0.914091
0.411543	0.262287	0.929731
0.414086	0.265752	0.945833
0.416553	0.269231	0.962421
0.418942	0.272725	0.979522
0.421251	0.276230	0.997163
0.423479	0.279748	1.015372
0.425623	0.283276	1.034177
0.427682	0.286813	1.053607
0.429652	0.290359	1.073692
0.431533	0.293913	1.094462
0.433322	0.297473	1.115947
0.435017	0.301038	1.138178
0.436616	0.304607	1.161184
0.438117	0.308179	1.184995
0.439520	0.311754	1.208420
0.440831	0.315330	1.229971
0.442060	0.318909	1.249533
0.443216	0.322488	1.267010
0.444308	0.326069	1.282322
0.445345	0.329651	1.295402
0.446336	0.333234	1.306198
0.447289	0.336817	1.314668
0.448215	0.340400	1.320782
0.449123	0.343984	1.324517
0.450020	0.347568	1.325862
0.450917	0.351151	1.324811
0.451823	0.354734	1.321366
0.452745	0.358316	1.315539
0.453695	0.361898	1.307350
0.454680	0.365478	1.296825
0.455710	0.369057	1.284005
0.456794	0.372634	1.268940
0.457940	0.376209	1.251694
0.459159	0.379783	1.232344
0.460458	0.383354	1.210984
