t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.0005	0.2000	0.2000	0.0000	0.2500	0.9650	0.0249
0.0014	0.2000	0.2000	0.0000	0.2500	0.9650	0.0249
0.0119	0.2000	0.2000	0.0000	0.2500	0.9650	0.0249
0.0212	0.2000	0.2000	0.0000	0.2500	0.9650	0.0249
0.0310	0.2000	0.2000	0.0000	0.2500	0.9650	0.0249
0.0421	0.2100	0.2002	0.0421	0.2500	1.0472	0.0277
0.0517	0.2102	0.2002	0.0432	0.2500	1.0453	0.0276
0.0660	0.2102	0.2002	0.0432	0.2500	1.0453	0.0276
0.0711	0.2102	0.2002	0.0432	0.2500	1.0453	0.0276
0.0825	0.2102	0.2002	0.0432	0.2500	1.0453	0.0276
0.0913	0.2215	0.2010	0.0906	0.2500	1.0638	0.0277
0.1013	0.2215	0.2010	0.0906	0.2500	1.0638	0.0277
0.1111	0.2215	0.2010	0.0906	0.2500	1.0638	0.0277
0.1217	0.2215	0.2010	0.0906	0.2500	1.0638	0.0277
0.1322	0.2215	0.2010	0.0906	0.2500	1.0638	0.0277
0.1417	0.2319	0.2021	0.1349	0.2500	1.0873	0.0285
0.1516	0.2319	0.2021	0.1349	0.2500	1.0873	0.0285
0.1608	0.2319	0.2021	0.1349	0.2500	1.0873	0.0285
0.1722	0.2319	0.2021	0.1349	0.2500	1.0873	0.0285
0.1815	0.2319	0.2021	0.1349	0.2500	1.0873	0.0285
0.1922	0.2435	0.2040	0.1844	0.2500	1.1493	0.0320
0.2015	0.2435	0.2040	0.1844	0.2500	1.1493	0.0320
0.2115	0.2435	0.2040	0.1844	0.2500	1.1493	0.0320
0.2213	0.2435	0.2040	0.1844	0.2500	1.1493	0.0320
0.2312	0.2435	0.2040	0.1844	0.2500	1.1493	0.0320
0.2412	0.2545	0.2063	0.2318	0.2500	1.1638	0.0332
0.2516	0.2545	0.2063	0.2318	0.2500	1.1638	0.0332
0.2612	0.2545	0.2063	0.2318	0.2500	1.1638	0.0332
0.2712	0.2545	0.2063	0.2318	0.2500	1.1638	0.0332
0.2813	0.2545	0.2063	0.2318	0.2500	1.1638	0.0332
0.2913	0.2652	0.2091	0.2781	0.2500	1.2237	0.0379
0.3018	0.2652	0.2091	0.2781	0.2500	1.2237	0.0379
0.3115	0.2652	0.2091	0.2781	0.2500	1.2237	0.0379
0.3219	0.2652	0.2091	0.2781	0.2500	1.2237	0.0379
0.3313	0.2652	0.2091	0.2781	0.2500	1.2237	0.0379
0.3420	0.2745	0.2119	0.3192	0.2500	1.2442	0.0404
0.3521	0.2745	0.2119	0.3192	0.2500	1.2442	0.0404
0.3612	0.2745	0.2119	0.3192	0.2500	1.2442	0.0404
0.3720	0.2745	0.2119	0.3192	0.2500	1.2442	0.0404
0.3815	0.2745	0.2119	0.3192	0.2500	1.2442	0.0404
0.3912	0.2860	0.2161	0.3709	0.2500	1.2463	0.0424
0.4012	0.2860	0.2161	0.3709	0.2500	1.2463	0.0424
0.4113	0.2860	0.2161	0.3709	0.2500	1.2463	0.0424
0.4213	0.2860	0.2161	0.3709	0.2500	1.2463	0.0424
0.4312	0.2950	0.2198	0.4119	0.2500	1.2635	0.0454
0.4419	0.2950	0.2198	0.4119	0.2500	1.2635	0.0454
0.4512	0.2950	0.2198	0.4119	0.2500	1.2635	0.0454
0.4615	0.2950	0.2198	0.4119	0.2500	1.2635	0.0454
0.4712	0.2950	0.2198	0.4119	0.2500	1.2635	0.0454
0.4815	0.3059	0.2249	0.4625	0.2500	1.3022	0.0512
0.4918	0.3059	0.2249	0.4625	0.2500	1.3022	0.0512
0.5018	0.3059	0.2249	0.4625	0.2500	1.3022	0.0512
0.5112	0.3059	0.2249	0.4625	0.2500	1.3022	0.0512
0.5212	0.3145	0.2294	0.5036	0.2500	1.3141	0.0547
0.5317	0.3145	0.2294	0.5036	0.2500	1.3141	0.0547
0.5416	0.3145	0.2294	0.5036	0.2500	1.3141	0.0547
0.5512	0.3145	0.2294	0.5036	0.2500	1.3141	0.0547
0.5622	0.3230	0.2343	0.5447	0.2500	1.2730	0.0547
0.5718	0.3234	0.2345	0.5468	0.2500	1.3207	0.0583
0.5816	0.3234	0.2345	0.5468	0.2500	1.3207	0.0583
0.5912	0.3234	0.2345	0.5468	0.2500	1.3207	0.0583
0.6019	0.3234	0.2345	0.5468	0.2500	1.3207	0.0583
0.6113	0.3325	0.2403	0.5921	0.2500	1.3223	0.0617
0.6250	0.3325	0.2403	0.5921	0.2500	1.3223	0.0617
0.6314	0.3325	0.2403	0.5921	0.2500	1.3223	0.0617
0.6411	0.3325	0.2403	0.5921	0.2500	1.3223	0.0617
0.6513	0.3402	0.2458	0.6321	0.2500	1.3290	0.0656
0.6613	0.3404	0.2459	0.6332	0.2500	1.3275	0.0656
0.6724	0.3404	0.2459	0.6332	0.2500	1.3275	0.0656
0.6812	0.3404	0.2459	0.6332	0.2500	1.3275	0.0656
0.6915	0.3404	0.2459	0.6332	0.2500	1.3275	0.0656
0.7013	0.3484	0.2520	0.6753	0.2500	1.3289	0.0694
0.7114	0.3484	0.2520	0.6753	0.2500	1.3289	0.0694
0.7212	0.3484	0.2520	0.6753	0.2500	1.3289	0.0694
0.7313	0.3484	0.2520	0.6753	0.2500	1.3289	0.0694
0.7416	0.3570	0.2592	0.7227	0.2500	1.3204	0.0728
0.7515	0.3570	0.2592	0.7227	0.2500	1.3204	0.0728
0.7615	0.3570	0.2592	0.7227	0.2500	1.3204	0.0728
0.7718	0.3570	0.2592	0.7227	0.2500	1.3204	0.0728
0.7812	0.3570	0.2592	0.7227	0.2500	1.3204	0.0728
0.7911	0.3654	0.2670	0.7712	0.2500	1.3080	0.0762
0.8015	0.3654	0.2670	0.7712	0.2500	1.3080	0.0762
0.8112	0.3654	0.2670	0.7712	0.2500	1.3080	0.0762
0.8211	0.3654	0.2670	0.7712	0.2500	1.3080	0.0762
0.8313	0.3654	0.2670	0.7712	0.2500	1.3080	0.0762
0.8414	0.3726	0.2743	0.8144	0.2500	1.3241	0.0828
0.8519	0.3726	0.2743	0.8144	0.2500	1.3241	0.0828
0.8616	0.3726	0.2743	0.8144	0.2500	1.3241	0.0828
0.8714	0.3726	0.2743	0.8144	0.2500	1.3241	0.0828
0.8815	0.3790	0.2814	0.8544	0.2500	1.3159	0.0864
0.8914	0.3790	0.2814	0.8544	0.2500	1.3159	0.0864
0.9021	0.3790	0.2814	0.8544	0.2500	1.3159	0.0864
0.9111	0.3790	0.2814	0.8544	0.2500	1.3159	0.0864
0.9216	0.3857	0.2894	0.8987	0.2500	1.2991	0.0895
0.9312	0.3860	0.2898	0.9008	0.2500	1.2962	0.0894
0.9412	0.3860	0.2898	0.9008	0.2500	1.2962	0.0894
0.9513	0.3860	0.2898	0.9008	0.2500	1.2962	0.0894
0.9644	0.3860	0.2898	0.9008	0.2500	1.2962	0.0894
0.9714	0.3927	0.2986	0.9472	0.2500	1.2736	0.0921
0.9814	0.3927	0.2986	0.9472	0.2500	1.2736	0.0921
0.9923	0.3927	0.2986	0.9472	0.2500	1.2736	0.0921
1.0011	0.3927	0.2986	0.9472	0.2500	1.2736	0.0921
1.0118	0.3927	0.2986	0.9472	0.2500	1.2736	0.0921
1.0225	0.3988	0.3075	0.9925	0.2500	1.2665	0.0973
1.0312	0.3988	0.3075	0.9925	0.2500	1.2665	0.0973
1.0415	0.3988	0.3075	0.9925	0.2500	1.2665	0.0973
1.0517	0.3988	0.3075	0.9925	0.2500	1.2665	0.0973
1.0624	0.4044	0.3166	1.0378	0.2500	1.2375	0.0993
1.0717	0.4047	0.3170	1.0399	0.2500	1.2346	0.0991
1.0829	0.4047	0.3170	1.0399	0.2500	1.2346	0.0991
1.0912	0.4047	0.3170	1.0399	0.2500	1.2346	0.0991
1.1014	0.4047	0.3170	1.0399	0.2500	1.2346	0.0991
1.1114	0.4102	0.3269	1.0873	0.2500	1.2131	0.1030
1.1212	0.4102	0.3269	1.0873	0.2500	1.2131	0.1030
1.1315	0.4102	0.3269	1.0873	0.2500	1.2131	0.1030
1.1412	0.4102	0.3269	1.0873	0.2500	1.2131	0.1030
1.1515	0.4150	0.3367	1.1336	0.2500	1.1746	0.1039
1.1614	0.4150	0.3367	1.1336	0.2500	1.1746	0.1039
1.1716	0.4150	0.3367	1.1336	0.2500	1.1746	0.1039
1.1846	0.4150	0.3367	1.1336	0.2500	1.1746	0.1039
1.1911	0.4150	0.3367	1.1336	0.2500	1.1746	0.1039
1.2025	0.4192	0.3461	1.1768	0.2500	1.1473	0.1067
1.2118	0.4198	0.3475	1.1831	0.2500	1.1384	0.1061
1.2215	0.4198	0.3475	1.1831	0.2500	1.1384	0.1061
1.2315	0.4198	0.3475	1.1831	0.2500	1.1384	0.1061
1.2413	0.4198	0.3475	1.1831	0.2500	1.1384	0.1061
1.2518	0.4230	0.3559	1.2211	0.2500	1.1033	0.1066
1.2614	0.4230	0.3559	1.2211	0.2500	1.1033	0.1066
1.2712	0.4230	0.3559	1.2211	0.2500	1.1033	0.1066
1.2814	0.4230	0.3559	1.2211	0.2500	1.1033	0.1066
1.2918	0.4263	0.3656	1.2643	0.2500	1.0640	0.1077
1.3014	0.4263	0.3656	1.2643	0.2500	1.0640	0.1077
1.3113	0.4263	0.3656	1.2643	0.2500	1.0640	0.1077
1.3212	0.4263	0.3656	1.2643	0.2500	1.0640	0.1077
1.3312	0.4263	0.3656	1.2643	0.2500	1.0640	0.1077
1.3426	0.4294	0.3761	1.3106	0.2500	1.0129	0.1076
1.3512	0.4295	0.3764	1.3117	0.2500	1.0113	0.1074
1.3651	0.4295	0.3764	1.3117	0.2500	1.0113	0.1074
1.3715	0.4295	0.3764	1.3117	0.2500	1.0113	0.1074
1.3817	0.4295	0.3764	1.3117	0.2500	1.0113	0.1074
1.3919	0.4317	0.3854	1.3507	0.2500	0.9620	0.1058
1.4011	0.4317	0.3854	1.3507	0.2500	0.9620	0.1058
1.4116	0.4317	0.3854	1.3507	0.2500	0.9620	0.1058
1.4213	0.4317	0.3854	1.3507	0.2500	0.9620	0.1058
1.4313	0.4317	0.3854	1.3507	0.2500	0.9620	0.1058
1.4412	0.4340	0.3971	1.4012	0.2500	0.8953	0.1033
1.4525	0.4340	0.3971	1.4012	0.2500	0.8953	0.1033
1.4613	0.4340	0.3971	1.4012	0.2500	0.8953	0.1033
1.4711	0.4340	0.3971	1.4012	0.2500	0.8953	0.1033
1.4821	0.4356	0.4080	1.4476	0.2500	0.8300	0.1002
1.4922	0.4357	0.4085	1.4497	0.2500	0.8267	0.1000
1.5020	0.4357	0.4085	1.4497	0.2500	0.8267	0.1000
1.5119	0.4357	0.4085	1.4497	0.2500	0.8267	0.1000
1.5257	0.4366	0.4182	1.4908	0.2500	0.7635	0.0960
1.5312	0.4366	0.4182	1.4908	0.2500	0.7635	0.0960
1.5415	0.4366	0.4182	1.4908	0.2500	0.7635	0.0960
1.5517	0.4366	0.4182	1.4908	0.2500	0.7635	0.0960
1.5612	0.4366	0.4182	1.4908	0.2500	0.7635	0.0960
1.5718	0.4373	0.4287	1.5350	0.2500	0.6920	0.0914
1.5814	0.4373	0.4287	1.5350	0.2500	0.6920	0.0914
1.5919	0.4373	0.4287	1.5350	0.2500	0.6920	0.0914
1.6013	0.4373	0.4287	1.5350	0.2500	0.6920	0.0914
1.6112	0.4373	0.4287	1.5350	0.2500	0.6920	0.0914
1.6213	0.4374	0.4397	1.5814	0.2500	0.6118	0.0855
1.6317	0.4374	0.4397	1.5814	0.2500	0.6118	0.0855
1.6440	0.4374	0.4397	1.5814	0.2500	0.6118	0.0855
1.6513	0.4374	0.4397	1.5814	0.2500	0.6118	0.0855
1.6614	0.4370	0.4514	1.6309	0.2500	0.5197	0.0784
1.6712	0.4370	0.4514	1.6309	0.2500	0.5197	0.0784
1.6812	0.4370	0.4514	1.6309	0.2500	0.5197	0.0784
1.6917	0.4370	0.4514	1.6309	0.2500	0.5197	0.0784
1.7018	0.4370	0.4514	1.6309	0.2500	0.5197	0.0784
1.7120	0.4361	0.4619	1.6748	0.2500	0.4339	0.0717
1.7220	0.4361	0.4619	1.6748	0.2500	0.4339	0.0717
1.7318	0.4361	0.4619	1.6748	0.2500	0.4339	0.0717
1.7416	0.4361	0.4619	1.6748	0.2500	0.4339	0.0717
1.7513	0.4361	0.4619	1.6748	0.2500	0.4339	0.0717
1.7620	0.4349	0.4723	1.7111	0.2500	0.3580	0.0655
1.7712	0.4349	0.4723	1.7111	0.2500	0.3580	0.0655
1.7815	0.4349	0.4723	1.7111	0.2500	0.3580	0.0655
1.7913	0.4349	0.4723	1.7111	0.2500	0.3580	0.0655
1.8020	0.4332	0.4829	1.7416	0.2500	0.2846	0.0592
1.8116	0.4332	0.4829	1.7416	0.2500	0.2846	0.0592
1.8213	0.4332	0.4829	1.7416	0.2500	0.2846	0.0592
1.8313	0.4332	0.4829	1.7416	0.2500	0.2846	0.0592
1.8420	0.4332	0.4829	1.7416	0.2500	0.2846	0.0592
1.8515	0.4312	0.4940	1.7658	0.2500	0.2255	0.0542
1.8616	0.4312	0.4940	1.7658	0.2500	0.2255	0.0542
1.8713	0.4312	0.4940	1.7658	0.2500	0.2255	0.0542
1.8813	0.4312	0.4940	1.7658	0.2500	0.2255	0.0542
1.8919	0.4291	0.5038	1.7831	0.2500	0.1782	0.0500
1.9018	0.4291	0.5038	1.7831	0.2500	0.1782	0.0500
1.9116	0.4291	0.5038	1.7831	0.2500	0.1782	0.0500
1.9216	0.4291	0.5038	1.7831	0.2500	0.1782	0.0500
1.9319	0.4291	0.5038	1.7831	0.2500	0.1782	0.0500
1.9416	0.4270	0.5133	1.7960	0.2500	0.1384	0.0463
1.9515	0.4270	0.5133	1.7960	0.2500	0.1384	0.0463
1.9613	0.4270	0.5133	1.7960	0.2500	0.1384	0.0463
1.9714	0.4270	0.5133	1.7960	0.2500	0.1384	0.0463
1.9814	0.4244	0.5243	1.8081	0.2500	0.0917	0.0417
1.9914	0.4244	0.5243	1.8081	0.2500	0.0917	0.0417
2.0012	0.4244	0.5243	1.8081	0.2500	0.0917	0.0417
2.0123	0.4244	0.5243	1.8081	0.2500	0.0917	0.0417
