x(i)	y(i)	theta(i)
0.2014	0.1957	-0.0967
0.2069	0.1952	-0.0759
0.2123	0.1949	-0.0542
0.2175	0.1946	-0.0318
0.2227	0.1945	-0.0084
0.2276	0.1946	0.0157
0.2325	0.1947	0.0408
0.2373	0.1950	0.0668
0.2419	0.1953	0.0937
0.2464	0.1958	0.1214
0.2508	0.1964	0.1501
0.2551	0.1971	0.1797
0.2593	0.1979	0.2101
0.2633	0.1989	0.2414
0.2673	0.1999	0.2735
0.2711	0.2011	0.3064
0.2748	0.2023	0.3400
0.2785	0.2037	0.3742
0.2820	0.2051	0.4090
0.2854	0.2067	0.4443
0.2887	0.2083	0.4800
0.2919	0.2101	0.5161
0.2950	0.2119	0.5523
0.2981	0.2138	0.5887
0.3010	0.2159	0.6250
0.3038	0.2180	0.6613
0.3066	0.2202	0.6974
0.3092	0.2225	0.7331
0.3118	0.2249	0.7684
0.3142	0.2274	0.8033
0.3166	0.2299	0.8375
0.3189	0.2325	0.8711
0.3211	0.2353	0.9040
0.3232	0.2380	0.9361
0.3253	0.2409	0.9674
0.3272	0.2439	0.9978
0.3291	0.2469	1.0272
0.3309	0.2500	1.0558
0.3327	0.2531	1.0834
0.3343	0.2564	1.1101
0.3359	0.2597	1.1358
0.3374	0.2630	1.1606
0.3388	0.2665	1.1845
0.3402	0.2699	1.2074
0.3415	0.2735	1.2294
0.3428	0.2771	1.2506
0.3439	0.2808	1.2708
0.3451	0.2845	1.2903
0.3461	0.2883	1.3089
0.3471	0.2922	1.3267
0.3480	0.2960	1.3438
0.3489	0.3000	1.3601
0.3497	0.3040	1.3757
0.3505	0.3080	1.3906
0.3512	0.3121	1.4049
0.3519	0.3163	1.4185
0.3525	0.3204	1.4315
0.3531	0.3247	1.4439
0.3536	0.3289	1.4557
0.3541	0.3332	1.4669
0.3545	0.3376	1.4777
0.3549	0.3419	1.4879
0.3552	0.3464	1.4976
0.3555	0.3508	1.5069
0.3558	0.3553	1.5157
0.3560	0.3598	1.5240
0.3562	0.3643	1.5319
0.3564	0.3689	1.5394
0.3565	0.3735	1.5465
0.3566	0.3781	1.5532
0.3567	0.3827	1.5596
0.3567	0.3873	1.5655
0.3567	0.3920	1.5711
0.3567	0.3967	1.5764
0.3567	0.4014	1.5813
0.3566	0.4061	1.5859
0.3565	0.4109	1.5901
0.3564	0.4156	1.5941
0.3563	0.4204	1.5977
0.3562	0.4251	1.6010
0.3560	0.4299	1.6040
0.3558	0.4347	1.6067
0.3557	0.4395	1.6092
0.3555	0.4443	1.6113
0.3553	0.4490	1.6131
0.3551	0.4538	1.6147
0.3549	0.4586	1.6160
0.3546	0.4634	1.6169
0.3544	0.4682	1.6176
0.3542	0.4729	1.6181
0.3540	0.4777	1.6182
0.3537	0.4825	1.6180
0.3535	0.4872	1.6176
0.3533	0.4919	1.6169
0.3531	0.4966	1.6158
0.3529	0.5013	1.6145
0.3527	0.5060	1.6130
0.3525	0.5107	1.6115
0.3523	0.5153	1.6101
0.3521	0.5200	1.6087
0.3519	0.5246	1.6072
0.3518	0.5292	1.6059
0.3516	0.5338	1.6045
0.3515	0.5383	1.6032
0.3513	0.5429	1.6018
0.3512	0.5474	1.6006
0.3511	0.5520	1.5993
0.3509	0.5565	1.5981
0.3508	0.5610	1.5968
0.3507	0.5655	1.5957
0.3506	0.5700	1.5945
0.3505	0.5744	1.5934
0.3504	0.5789	1.5923
0.3503	0.5833	1.5912
0.3502	0.5878	1.5902
0.3501	0.5922	1.5892
0.3500	0.5966	1.5882
0.3500	0.6010	1.5872
0.3499	0.6054	1.5863
0.3498	0.6098	1.5854
0.3498	0.6141	1.5846
0.3497	0.6185	1.5837
0.3497	0.6228	1.5829
0.3496	0.6272	1.5822
0.3496	0.6315	1.5815
0.3495	0.6359	1.5808
0.3495	0.6402	1.5801
0.3494	0.6445	1.5795
0.3494	0.6488	1.5789
0.3494	0.6531	1.5783
0.3493	0.6574	1.5778
0.3493	0.6617	1.5774
0.3493	0.6660	1.5769
0.3492	0.6703	1.5765
0.3492	0.6746	1.5761
0.3492	0.6789	1.5758
0.3492	0.6831	1.5755
0.3492	0.6874	1.5752
0.3491	0.6917	1.5750
0.3491	0.6959	1.5748
0.3491	0.7002	1.5747
0.3491	0.7045	1.5745
0.3491	0.7087	1.5745
0.3491	0.7130	1.5744
0.3490	0.7172	1.5744
0.3490	0.7215	1.5745
0.3490	0.7257	1.5745
0.3490	0.7300	1.5747
0.3490	0.7343	1.5748
0.3490	0.7385	1.5750
0.3489	0.7428	1.5752
0.3489	0.7470	1.5755
0.3489	0.7513	1.5758
0.3489	0.7556	1.5761
0.3489	0.7598	1.5765
0.3488	0.7641	1.5769
0.3488	0.7684	1.5773
0.3488	0.7726	1.5778
0.3488	0.7769	1.5783
0.3487	0.7812	1.5789
0.3487	0.7855	1.5795
0.3486	0.7898	1.5801
0.3486	0.7941	1.5808
0.3486	0.7984	1.5814
0.3485	0.8027	1.5822
0.3485	0.8070	1.5829
0.3484	0.8113	1.5837
0.3483	0.8157	1.5846
0.3483	0.8200	1.5854
0.3482	0.8243	1.5863
0.3482	0.8287	1.5873
0.3481	0.8331	1.5882
0.3480	0.8374	1.5892
0.3479	0.8418	1.5902
0.3478	0.8462	1.5913
0.3477	0.8506	1.5924
0.3476	0.8550	1.5935
0.3475	0.8594	1.5946
0.3474	0.8638	1.5958
0.3473	0.8683	1.5970
0.3472	0.8727	1.5982
0.3471	0.8772	1.5995
0.3469	0.8816	1.6008
0.3468	0.8861	1.6021
0.3467	0.8906	1.6034
0.3465	0.8951	1.6048
0.3463	0.8997	1.6061
0.3462	0.9042	1.6072
0.3460	0.9088	1.6079
0.3458	0.9133	1.6084
0.3457	0.9179	1.6085
0.3455	0.9225	1.6083
0.3453	0.9271	1.6078
0.3452	0.9317	1.6070
0.3450	0.9363	1.6059
0.3448	0.9409	1.6045
0.3447	0.9455	1.6028
0.3445	0.9501	1.6008
0.3444	0.9547	1.5984
0.3443	0.9594	1.5958
0.3442	0.9640	1.5929
0.3441	0.9686	1.5897
0.3440	0.9732	1.5861
0.3439	0.9779	1.5823
0.3439	0.9825	1.5781
0.3439	0.9871	1.5737
0.3439	0.9918	1.5689
0.3439	0.9964	1.5638
0.3439	1.0010	1.5583
0.3440	1.0056	1.5526
0.3441	1.0102	1.5465
0.3442	1.0148	1.5400
0.3444	1.0194	1.5333
0.3446	1.0240	1.5262
0.3448	1.0285	1.5187
0.3451	1.0331	1.5109
0.3453	1.0376	1.5027
0.3457	1.0422	1.4942
0.3460	1.0467	1.4853
0.3465	1.0512	1.4760
0.3469	1.0557	1.4663
0.3474	1.0602	1.4563
0.3479	1.0646	1.4458
0.3485	1.0691	1.4350
0.3491	1.0735	1.4237
0.3498	1.0779	1.4121
0.3505	1.0823	1.4000
0.3513	1.0866	1.3875
0.3522	1.0910	1.3746
0.3531	1.0953	1.3613
0.3540	1.0996	1.3476
0.3550	1.1039	1.3334
0.3561	1.1081	1.3191
0.3572	1.1123	1.3048
0.3584	1.1165	1.2905
0.3596	1.1207	1.2761
0.3609	1.1249	1.2617
0.3622	1.1290	1.2472
0.3636	1.1330	1.2327
0.3651	1.1371	1.2181
0.3666	1.1411	1.2035
0.3682	1.1451	1.1888
0.3698	1.1490	1.1741
0.3715	1.1530	1.1593
0.3732	1.1568	1.1444
0.3750	1.1607	1.1295
0.3768	1.1645	1.1144
0.3787	1.1683	1.0993
0.3806	1.1720	1.0841
0.3826	1.1757	1.0688
0.3847	1.1794	1.0535
0.3868	1.1830	1.0380
0.3889	1.1865	1.0224
0.3911	1.1901	1.0067
0.3933	1.1936	0.9910
0.3956	1.1970	0.9751
0.3980	1.2004	0.9591
0.4004	1.2037	0.9429
0.4028	1.2070	0.9267
0.4053	1.2103	0.9103
0.4078	1.2135	0.8938
0.4104	1.2167	0.8772
0.4130	1.2198	0.8604
0.4157	1.2228	0.8436
0.4184	1.2258	0.8265
0.4212	1.2288	0.8094
0.4240	1.2317	0.7921
0.4268	1.2345	0.7746
0.4297	1.2373	0.7570
0.4327	1.2400	0.7393
0.4357	1.2427	0.7214
0.4387	1.2453	0.7034
0.4418	1.2479	0.6852
0.4449	1.2504	0.6669
0.4480	1.2528	0.6484
0.4512	1.2552	0.6298
0.4545	1.2575	0.6110
0.4577	1.2597	0.5921
0.4611	1.2619	0.5730
0.4644	1.2641	0.5538
0.4678	1.2661	0.5345
0.4713	1.2681	0.5151
0.4747	1.2700	0.4955
0.4782	1.2719	0.4758
0.4818	1.2737	0.4559
0.4854	1.2754	0.4360
0.4890	1.2770	0.4159
0.4927	1.2786	0.3957
0.4964	1.2801	0.3754
0.5001	1.2815	0.3551
0.5039	1.2829	0.3346
0.5077	1.2842	0.3148
0.5115	1.2854	0.2959
0.5154	1.2865	0.2779
0.5193	1.2876	0.2610
0.5232	1.2886	0.2450
0.5272	1.2896	0.2300
0.5312	1.2905	0.2160
0.5352	1.2913	0.2030
0.5393	1.2921	0.1908
0.5433	1.2929	0.1796
0.5474	1.2936	0.1694
0.5515	1.2943	0.1600
0.5557	1.2950	0.1515
0.5598	1.2956	0.1439
0.5640	1.2962	0.1372
0.5681	1.2967	0.1313
0.5723	1.2973	0.1263
0.5765	1.2978	0.1221
0.5808	1.2983	0.1188
0.5850	1.2988	0.1162
0.5892	1.2993	0.1145
0.5935	1.2998	0.1136
0.5977	1.3003	0.1135
0.6020	1.3008	0.1142
0.6063	1.3012	0.1157
0.6105	1.3017	0.1180
0.6148	1.3023	0.1211
0.6191	1.3028	0.1250
0.6234	1.3033	0.1297
0.6276	1.3039	0.1352
0.6319	1.3045	0.1415
0.6362	1.3051	0.1486
0.6404	1.3058	0.1565
0.6447	1.3065	0.1653
0.6489	1.3072	0.1748
0.6531	1.3080	0.1852
0.6574	1.3088	0.1964
0.6616	1.3096	0.2084
0.6658	1.3106	0.2212
0.6699	1.3115	0.2349
0.6741	1.3125	0.2494
0.6782	1.3136	0.2648
0.6824	1.3148	0.2810
0.6865	1.3160	0.2980
0.6906	1.3173	0.3158
0.6946	1.3187	0.3340
0.6987	1.3201	0.3520
0.7027	1.3216	0.3696
0.7067	1.3232	0.3870
0.7107	1.3249	0.4041
0.7146	1.3266	0.4209
0.7185	1.3284	0.4375
0.7224	1.3303	0.4538
0.7263	1.3322	0.4698
0.7301	1.3342	0.4855
0.7340	1.3362	0.5010
0.7378	1.3384	0.5161
0.7415	1.3405	0.5311
0.7453	1.3428	0.5457
0.7490	1.3451	0.5601
0.7527	1.3474	0.5743
0.7564	1.3498	0.5881
0.7600	1.3523	0.6018
0.7636	1.3548	0.6152
0.7672	1.3574	0.6283
0.7708	1.3600	0.6413
0.7743	1.3627	0.6540
0.7778	1.3654	0.6664
0.7813	1.3682	0.6787
0.7847	1.3710	0.6907
0.7882	1.3739	0.7025
0.7916	1.3768	0.7142
0.7949	1.3797	0.7256
0.7982	1.3827	0.7368
0.8015	1.3857	0.7479
0.8048	1.3888	0.7588
0.8081	1.3919	0.7694
0.8113	1.3950	0.7800
0.8145	1.3982	0.7903
0.8176	1.4014	0.8005
0.8207	1.4047	0.8106
0.8238	1.4080	0.8204
0.8269	1.4113	0.8302
0.8299	1.4146	0.8398
0.8329	1.4180	0.8492
0.8358	1.4214	0.8586
0.8388	1.4248	0.8678
0.8417	1.4282	0.8769
0.8445	1.4317	0.8858
0.8473	1.4352	0.8947
0.8501	1.4387	0.9035
0.8529	1.4422	0.9121
0.8556	1.4458	0.9207
0.8583	1.4494	0.9291
0.8609	1.4529	0.9375
0.8636	1.4565	0.9458
0.8662	1.4601	0.9540
0.8687	1.4638	0.9621
0.8712	1.4674	0.9702
0.8737	1.4711	0.9782
0.8761	1.4747	0.9862
0.8785	1.4784	0.9940
