t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.1000	0.0000	0.0000	0.0000	0.1003	-0.2243	-0.0300
0.2000	0.0100	0.0000	-0.0167	0.1355	-0.2241	-0.0300
0.3000	0.0236	-0.0002	-0.0374	0.1669	-0.2063	-0.0300
0.4000	0.0403	-0.0008	-0.0601	0.1893	-0.1840	-0.0300
0.5000	0.0591	-0.0020	-0.0822	0.2059	-0.1592	-0.0301
0.6000	0.0797	-0.0037	-0.1026	0.2182	-0.1343	-0.0302
0.7000	0.1014	-0.0059	-0.1203	0.2272	-0.1108	-0.0302
0.8000	0.1239	-0.0086	-0.1351	0.2339	-0.0893	-0.0301
0.9000	0.1471	-0.0118	-0.1471	0.2388	-0.0701	-0.0301
1.0000	0.1707	-0.0153	-0.1564	0.2425	-0.0532	-0.0299
1.1000	0.1947	-0.0191	-0.1631	0.2452	-0.0380	-0.0299
1.2000	0.2189	-0.0230	-0.1676	0.2471	-0.0250	-0.0297
1.3000	0.2432	-0.0272	-0.1700	0.2486	-0.0134	-0.0296
1.4000	0.2677	-0.0314	-0.1706	0.2497	-0.0032	-0.0294
1.5000	0.2924	-0.0356	-0.1694	0.2505	0.0063	-0.0293
1.6000	0.3170	-0.0398	-0.1667	0.2510	0.0149	-0.0291
1.7000	0.3418	-0.0440	-0.1626	0.2515	0.0227	-0.0289
1.8000	0.3666	-0.0481	-0.1569	0.2518	0.0305	-0.0287
1.9000	0.3915	-0.0520	-0.1500	0.2520	0.0379	-0.0285
2.0000	0.4164	-0.0558	-0.1417	0.2522	0.0450	-0.0282
2.1000	0.4414	-0.0593	-0.1320	0.2523	0.0526	-0.0280
2.2000	0.4664	-0.0627	-0.1209	0.2524	0.0602	-0.0277
2.3000	0.4914	-0.0657	-0.1082	0.2525	0.0686	-0.0273
2.4000	0.5165	-0.0684	-0.0940	0.2525	0.0771	-0.0270
2.5000	0.5417	-0.0708	-0.0782	0.2525	0.0858	-0.0267
2.6000	0.5668	-0.0728	-0.0605	0.2525	0.0958	-0.0263
2.7000	0.5921	-0.0743	-0.0406	0.2526	0.1073	-0.0259
2.8000	0.6173	-0.0753	-0.0183	0.2526	0.1205	-0.0253
2.9000	0.6425	-0.0758	0.0066	0.2526	0.1342	-0.0248
3.0000	0.6678	-0.0756	0.0345	0.2526	0.1500	-0.0242
3.1000	0.6930	-0.0747	0.0655	0.2526	0.1665	-0.0236
3.2000	0.7182	-0.0731	0.1004	0.2526	0.1872	-0.0228
3.3000	0.7434	-0.0706	0.1394	0.2526	0.2085	-0.0221
3.4000	0.7684	-0.0671	0.1834	0.2525	0.2345	-0.0210
3.5000	0.7932	-0.0624	0.2326	0.2525	0.2606	-0.0201
3.6000	0.8178	-0.0566	0.2874	0.2525	0.2888	-0.0189
3.7000	0.8420	-0.0495	0.3481	0.2525	0.3185	-0.0177
3.8000	0.8657	-0.0409	0.4146	0.2525	0.3460	-0.0164
3.9000	0.8888	-0.0307	0.4861	0.2525	0.3701	-0.0153
4.0000	0.9112	-0.0189	0.5603	0.2525	0.3830	-0.0144
4.1000	0.9326	-0.0055	0.6353	0.2525	0.3862	-0.0134
4.2000	0.9529	0.0095	0.7088	0.2525	0.3795	-0.0126
4.3000	0.9721	0.0260	0.7794	0.2525	0.3658	-0.0120
4.4000	0.9900	0.0437	0.8461	0.2525	0.3473	-0.0114
4.5000	1.0068	0.0626	0.9081	0.2525	0.3245	-0.0112
4.6000	1.0223	0.0825	0.9655	0.2525	0.3020	-0.0107
4.7000	1.0366	0.1033	1.0183	0.2524	0.2790	-0.0103
4.8000	1.0499	0.1248	1.0665	0.2524	0.2561	-0.0100
4.9000	1.0621	0.1469	1.1104	0.2524	0.2338	-0.0098
5.0000	1.0733	0.1695	1.1503	0.2524	0.2134	-0.0095
5.1000	1.0836	0.1925	1.1865	0.2524	0.1938	-0.0093
5.2000	1.0931	0.2159	1.2191	0.2524	0.1753	-0.0091
5.3000	1.1018	0.2396	1.2486	0.2524	0.1586	-0.0090
5.4000	1.1098	0.2635	1.2752	0.2524	0.1434	-0.0087
5.5000	1.1171	0.2877	1.2991	0.2524	0.1291	-0.0086
5.6000	1.1239	0.3120	1.3206	0.2524	0.1162	-0.0085
5.7000	1.1301	0.3365	1.3399	0.2524	0.1041	-0.0084
5.8000	1.1359	0.3610	1.3572	0.2524	0.0935	-0.0082
5.9000	1.1413	0.3857	1.3726	0.2523	0.0835	-0.0081
6.0000	1.1462	0.4104	1.3863	0.2523	0.0744	-0.0080
6.1000	1.1509	0.4352	1.3984	0.2523	0.0658	-0.0080
6.2000	1.1552	0.4601	1.4092	0.2523	0.0581	-0.0079
6.3000	1.1592	0.4850	1.4186	0.2523	0.0510	-0.0078
